experiment,voltage_kv,target_mn_ratio,w_intersect,w_dist,distance_prune_pct,nodes,edges,mn_ratio,mean_degree,max_degree,mean_length_km,median_length_km,max_length_km,intersection_rate_pct,error_score,elapsed_s
mn1.35_wint25_wd0.8_pr98.0,345,1.35,25,0.8,98.0,259,350,1.3514,2.7,9,33.59,26.98,182.12,5.14,0.2209,3.5
mn1.35_wint0_wd1.242_pr95.0,345,1.35,0,1.242,95.0,259,350,1.3514,2.7,8,34.12,27.24,229.41,12.86,0.1481,3.8
mn1.35_wint0_wd1.242_pr98.0,345,1.35,0,1.242,98.0,259,350,1.3514,2.7,8,34.12,27.24,229.41,12.86,0.1481,3.9
mn1.35_wint0_wd0.8_pr95.0,345,1.35,0,0.8,95.0,259,350,1.3514,2.7,8,34.56,27.51,229.41,13.71,0.1657,3.2
mn1.35_wint0_wd0.8_pr98.0,345,1.35,0,0.8,98.0,259,350,1.3514,2.7,8,34.56,27.51,229.41,13.71,0.1657,3.1
mn1.45_wint500_wd1.242_pr95.0,345,1.45,500,1.242,95.0,259,380,1.4672,2.93,10,34.73,26.5,229.41,2.11,0.2488,3.3
mn1.45_wint500_wd1.242_pr98.0,345,1.45,500,1.242,98.0,259,380,1.4672,2.93,10,34.73,26.5,229.41,2.11,0.2488,3.6
mn1.45_wint500_wd0.8_pr95.0,345,1.45,500,0.8,95.0,259,380,1.4672,2.93,10,34.89,26.5,229.41,2.11,0.2477,3.4
mn1.45_wint500_wd0.8_pr98.0,345,1.45,500,0.8,98.0,259,380,1.4672,2.93,10,34.89,26.5,229.41,2.11,0.2477,3.4
mn1.45_wint100_wd1.242_pr95.0,345,1.45,100,1.242,95.0,259,380,1.4672,2.93,9,34.9,26.56,229.41,4.21,0.1973,3.4
mn1.45_wint100_wd1.242_pr98.0,345,1.45,100,1.242,98.0,259,380,1.4672,2.93,9,34.9,26.56,229.41,4.21,0.1973,3.4
mn1.45_wint100_wd0.8_pr95.0,345,1.45,100,0.8,95.0,259,380,1.4672,2.93,10,35.83,26.68,229.41,4.47,0.1849,3.4
mn1.45_wint100_wd0.8_pr98.0,345,1.45,100,0.8,98.0,259,380,1.4672,2.93,10,35.83,26.68,229.41,4.47,0.1849,3.4
mn1.45_wint25_wd1.242_pr95.0,345,1.45,25,1.242,95.0,259,380,1.4672,2.93,10,34.95,26.68,186.8,8.42,0.0962,3.4
mn1.45_wint25_wd1.242_pr98.0,345,1.45,25,1.242,98.0,259,380,1.4672,2.93,10,34.95,26.68,186.8,8.42,0.0962,3.5
mn1.45_wint25_wd0.8_pr95.0,345,1.45,25,0.8,95.0,259,380,1.4672,2.93,10,35.42,26.82,373.61,6.32,0.1435,3.7
mn1.45_wint25_wd0.8_pr98.0,345,1.45,25,0.8,98.0,259,380,1.4672,2.93,10,35.42,26.82,373.61,6.32,0.1435,3.5
mn1.45_wint0_wd1.242_pr95.0,345,1.45,0,1.242,95.0,259,380,1.4672,2.93,10,32.95,26.05,229.41,14.74,0.1633,3.5
