osm_id,osm_type,name,voltage_kv,operator,substation_type,lat,lon
38556629,way,Shingletown Substation,230.0,West Penn Power,distribution,40.759925,-77.836764
45891001,way,Patterson Street Substation,,The Pennsylvania State University,,40.789566,-77.871318
50979036,way,North Waverly Substation,115.0,NYSEG,transmission,42.037986,-76.528751
62075345,way,Glory Substation,115.0,Pennsylvania Electric Company,distribution,40.641036,-78.896909
62688963,way,Sabinsville Substation,115.0,Pennsylvania Electric Company,distribution,41.864975,-77.535509
62690390,way,Gold Substation,115.0,Pennsylvania Electric Company,,41.865654,-77.766594
62691187,way,Farmers Valley Substation,115.0,Penelec,,41.855007,-78.447592
62711068,way,Benette,115.0,NYSEG,yes,42.307213,-77.657322
64971451,way,Keystone Substation,500.0,,transmission,40.657213,-79.339254
86301524,way,Cortland Station,115.0,National Grid,distribution,42.594991,-76.151929
86301905,way,Etna Substation,115.0,NYSEG,,42.472066,-76.40563
98856452,way,Gobain Substation,138.0,West Penn Power,,40.584869,-79.767816
102141087,way,Big Pine Tap Station,138.0,West Penn Power,transmission,40.713638,-79.540756
102141088,way,,,,,40.800705,-79.698071
102141089,way,,138.0,West Penn Power,distribution,40.576397,-79.697384
102156673,way,South Bend Generation Station,500.0,,transmission,40.638601,-79.35039
102156674,way,South Bend Switching Station,500.0,,transmission,40.641684,-79.346259
102224372,way,Fawn Substation,138.0,West Penn Power,,40.618703,-79.755992
114037155,way,,115.0,,,42.02918,-76.622268
114751052,way,,115.0,,generation,42.679462,-76.950761
115576607,way,NYSEG - Robble Ave,115.0,NYSEG,yes,42.104943,-76.054382
115576626,way,,34.5,,minor_distribution,42.110712,-75.975125
115576639,way,,115.0,,transmission,42.111571,-75.975883
116755821,way,,69.0,PPL,minor_distribution,41.243492,-75.843834
117319563,way,Swoyersville Substation,66.0,UGI,minor_distribution,41.295499,-75.884615
117319566,way,Mountain Substation,230.0,UGI Corporation,distribution,41.26489,-75.965538
117322712,way,,66.0,,,41.202313,-76.068829
117325619,way,Salem Substation,69.0,PPL,minor_distribution,41.065977,-76.201605
117384815,way,Susquehanna Junction Substation,230.0,PPL,transmission,41.089228,-76.115858
117384817,way,Susquehanna Substation,500.0,PPL,transmission,41.087812,-76.149373
117384822,way,Susquehana T10 Yard,230.0,PPL,transmission,41.09116,-76.154533
117588009,way,Blytheburn Substation,69.0,PPL,minor_distribution,41.121431,-75.936715
117588011,way,,69.0,UGI,minor_distribution,41.211601,-75.927924
117588012,way,St. Johns Substation,69.0,PPL,minor_distribution,41.02941,-76.000693
117588018,way,,69.0,PPL,minor_distribution,41.263562,-75.836167
117588021,way,,69.0,,,41.049227,-75.985866
117588022,way,Jenkins Substation,230.0,PPL,distribution,41.281392,-75.817327
117588029,way,Wilkes-Barre Substation,69.0,,,41.202887,-75.900141
117731739,way,Lincoln Substation,66.0,UGI Utilities,minor_distribution,41.191142,-76.002358
120754262,way,Delameter Substation,115.0,,,42.662015,-79.001547
136778764,way,,66.0,UGI,minor_distribution,41.277016,-75.912063
140540233,way,Meyer Substation,230.0,NYSEG,,42.556666,-77.70938
141579737,way,,69.0,,,41.133551,-75.895065
141579804,way,,,,,41.127818,-75.879315
144817770,way,North Meshoppen Substation,230.0,Pennsylvania Electric Company,transmission,41.658167,-76.051729
144818026,way,North Meshoppen Substation,115.0,Pennsylvania Electric Company,distribution,41.658725,-76.050526
144818449,way,East Towanda Substation,230.0,FirstEnergy,transmission,41.759492,-76.431246
144818643,way,South Troy Substation,115.0,Pennsylvania Electric Company,distribution,41.771287,-76.789082
144818661,way,Grover Substation,230.0,FirstEnergy,,41.615531,-76.844518
144818662,way,South Troy Switching Station,115.0,Pennsylvania Electric Company,transmission,41.771737,-76.789175
144818664,way,North Meshoppen Substation,34.5,Penelec,minor_distribution,41.658716,-76.049602
144818666,way,Meshoppen Substation,34.5,Claverack Rural Electric Cooperative,minor_distribution,41.658811,-76.048764
144826381,way,Everts Drive Switching Station,115.0,Pennsylvania Electric Company,transmission,41.7861,-76.843001
144952232,way,,50.0,Penelec,minor_distribution,41.82337,-76.796939
144952233,way,,50.0,,industrial,41.823106,-76.797196
144952241,way,Tennessee Gas Pipeline Substation,115.0,,industrial,41.738382,-76.796632
144952251,way,Canton Substation,50.0,Penelec,minor_distribution,41.661887,-76.856948
144957600,way,,50.0,Penelec,minor_distribution,41.607723,-76.43268
144957601,way,Poplar Street Substation,50.0,Penelec,minor_distribution,41.766638,-76.452402
144957602,way,Plank Road Substation,50.0,Claverack Rural Electric Cooperative,minor_distribution,41.769381,-76.456179
144957603,way,,50.0,,industrial,41.788627,-76.445967
145225596,way,,,,,41.861356,-76.665645
145225599,way,,,,,41.8638,-76.631002
145225600,way,Milan Substation,34.5,Tri-County Cooperative,minor_distribution,41.894427,-76.575309
145225601,way,Milan Substation,34.5,Pennsylvania Electric Company,minor_distribution,41.907379,-76.525693
145225603,way,East Sayre Substation,115.0,Penelec,distribution,41.999271,-76.512121
146646819,way,Wethersfield Substation,230.0,NYSEG,transmission,42.726371,-78.191607
146647696,way,,230.0,,generation,42.669896,-78.227737
