gen_uid,plant_code,generator_id,lat,lon,nameplate_mw,summer_mw,winter_mw,min_load_mw,pmax_mw,fuel_code,fuel,prime_mover,unit_type,technology,grid_kv
EIA_2494_GT21,2494,GT21,40.6635,-74.0051,20.0,17.9,23.4,16.0,17.9,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2494_GT22,2494,GT22,40.6635,-74.0051,20.0,18.8,24.6,15.2,18.8,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2494_GT23,2494,GT23,40.6635,-74.0051,20.0,20.6,26.9,16.0,20.6,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2494_GT24,2494,GT24,40.6635,-74.0051,20.0,19.3,25.2,16.0,19.3,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2494_GT25,2494,GT25,40.6635,-74.0051,20.0,18.6,24.3,16.0,18.6,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2494_GT26,2494,GT26,40.6635,-74.0051,20.0,20.3,26.5,16.0,20.3,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2494_GT27,2494,GT27,40.6635,-74.0051,20.0,19.6,25.6,16.0,19.6,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2494_GT28,2494,GT28,40.6635,-74.0051,20.0,17.7,23.1,16.0,17.7,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2494_GT31,2494,GT31,40.6635,-74.0051,20.0,17.7,23.1,16.0,17.7,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2494_GT32,2494,GT32,40.6635,-74.0051,20.0,17.7,23.1,16.0,17.7,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2494_GT33,2494,GT33,40.6635,-74.0051,20.0,19.8,25.9,16.0,19.8,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2494_GT34,2494,GT34,40.6635,-74.0051,20.0,17.9,23.4,15.9,17.9,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2494_GT35,2494,GT35,40.6635,-74.0051,20.0,19.0,24.8,16.0,19.0,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2494_GT36,2494,GT36,40.6635,-74.0051,20.0,17.6,23.0,15.2,17.6,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
EIA_2494_GT37,2494,GT37,40.6635,-74.0051,20.0,18.1,23.6,16.0,18.1,NG,Gas,GT,GT,Natural Gas Fired Combustion Turbine,138.0
