from_sub,to_sub,voltage_kv,length_km,category,circuits,X_pu,MVAmax,intersects
6,187,115,0.565,mst,1,0.003419,174,False
11,13,115,1.374,mst,1,0.008313,174,False
8,156,115,1.448,mst,1,0.008760,174,False
32,356,115,0.388,mst,1,0.002345,174,False
26,601,115,1.406,mst,1,0.008507,174,False
31,601,115,0.084,mst,1,0.000506,174,False
10,11,115,1.858,delaunay,1,0.011240,174,False
8,11,115,1.740,delaunay,1,0.010523,174,False
12,13,115,2.079,delaunay,1,0.012578,174,False
20,170,115,1.995,delaunay,1,0.012066,174,False
6,174,115,2.055,delaunay,1,0.012432,174,False
6,151,115,2.022,delaunay,1,0.012230,174,False
17,19,115,1.490,mst,1,0.009013,174,False
7,155,115,1.454,mst,1,0.008794,174,False
5,174,115,0.612,mst,1,0.003702,174,False
151,157,115,1.061,mst,1,0.006417,174,False
10,155,115,1.462,mst,1,0.008846,174,False
150,157,115,1.418,mst,1,0.008580,174,False
11,14,115,2.416,neighbor_2,1,0.014612,174,False
5,155,115,2.957,neighbor_2,1,0.017885,174,False
44,356,115,2.179,neighbor_2,1,0.013182,174,False
17,18,115,2.880,neighbor_2,1,0.017424,174,False
33,356,115,2.363,neighbor_2,1,0.014295,174,False
12,15,115,2.741,neighbor_2,1,0.016579,174,False
39,44,115,1.597,mst,1,0.009660,174,False
2,149,115,1.447,mst,1,0.008751,174,False
14,18,115,1.224,mst,1,0.007406,174,False
201,423,115,1.500,mst,1,0.009075,174,False
33,35,115,1.535,mst,1,0.009288,174,False
15,20,115,1.609,mst,1,0.009735,174,False
27,44,115,2.326,delaunay,1,0.014071,174,False
149,195,115,2.090,delaunay,1,0.012640,174,False
30,41,115,2.214,delaunay,1,0.013393,174,False
3,5,115,2.303,delaunay,1,0.013933,174,False
4,174,115,2.163,neighbor_2,1,0.013087,174,False
149,152,115,2.317,delaunay,1,0.014016,174,False
26,39,115,1.698,mst,1,0.010271,174,False
36,41,115,1.669,mst,1,0.010097,174,False
30,43,115,1.719,mst,1,0.010400,174,False
15,16,115,1.620,mst,1,0.009802,174,False
25,43,115,1.707,mst,1,0.010323,174,False
35,159,115,1.747,mst,1,0.010565,174,False
