UID,From Bus,To Bus,R,X,B,Cont Rating
L1669_1679_345,1669,1679,0.0,0.07189686,0.0,2400
L32_41_345,32,41,0.0,0.00571164,0.0,2400
L1794_1832_345,1794,1832,0.0,0.02431887,0.0,2400
L2956_2981_345,2956,2981,0.0,0.00161963,0.0,2400
L1597_1601_345,1597,1601,0.0,0.00241949,0.0,2400
L3060_3061_345,3060,3061,0.0,0.00014885,0.0,999999
L1745_1891_345,1745,1891,0.0,0.0010897,0.0,2400
L1668_2013_345,1668,2013,0.0,8.24e-05,0.0,999999
L1223_1790_345,1223,1790,0.0,0.00289903,0.0,2400
L2935_2958_345,2935,2958,0.0,0.00436131,0.0,2400
L3018_3019_345,3018,3019,0.0,0.00220848,0.0,4800
L0_1957_345,0,1957,0.0,8.532e-05,0.0,999999
L58_868_345,58,868,0.0,0.00429247,0.0,2400
L521_1057_345,521,1057,0.0,0.0092667,0.0,2400
L1900_3032_345,1900,3032,0.0,0.00198376,0.0,4800
L801_813_345,801,813,0.0,0.01665441,0.0,2400
L801_802_345,801,802,0.0,0.00240104,0.0,2400
L2254_3087_345,2254,3087,0.0,0.00047344,0.0,9600
L2389_2390_345,2389,2390,0.0,0.00111085,0.0,2400
L1504_1918_345,1504,1918,0.0,0.00823994,0.0,2400
L1937_1938_345,1937,1938,0.0,6.102e-05,0.0,999999
L820_821_345,820,821,0.0,0.00016173,0.0,999999
L2067_2958_345,2067,2958,0.0,0.00238323,0.0,2400
L836_3006_345,836,3006,0.0,0.01502021,0.0,4800
L2423_2424_345,2423,2424,0.0,0.00255489,0.0,2400
L1801_1918_345,1801,1918,0.0,0.02092848,0.0,2400
L175_834_345,175,834,0.0,0.00029738,0.0,2400
L3039_3053_345,3039,3053,0.0,0.00015594,0.0,999999
L2329_2330_345,2329,2330,0.0,0.00016313,0.0,999999
L123_2206_345,123,2206,0.0,0.01190963,0.0,2400
L68_1593_345,68,1593,0.0,0.00799664,0.0,2400
L1549_1804_345,1549,1804,0.0,0.01356327,0.0,2400
L2936_3073_345,2936,3073,0.0,0.00963585,0.0,9600
L3016_3077_345,3016,3077,0.0,6.775e-05,0.0,999999
L5_162_345,5,162,0.0,0.01681416,0.0,2400
L3067_3070_345,3067,3070,0.0,0.00011548,0.0,999999
L1900_3058_345,1900,3058,0.0,0.00232778,0.0,4800
L55_1674_345,55,1674,0.0,0.00299294,0.0,2400
L1481_3019_345,1481,3019,0.0,0.00321128,0.0,9600
L1478_2349_345,1478,2349,0.0,0.00283164,0.0,2400
L2481_2482_345,2481,2482,0.0,0.00418887,0.0,2400
L3080_3091_345,3080,3091,0.0,7.785e-05,0.0,999999
L750_1563_345,750,1563,0.0,0.00013186,0.0,999999
L2955_3071_345,2955,3071,0.0,0.0025751,0.0,9600
L1561_3003_345,1561,3003,0.0,0.00050252,0.0,2400
L1828_2509_345,1828,2509,0.0,0.00699362,0.0,999999
L515_2705_345,515,2705,0.0,8.499e-05,0.0,999999
L1518_1519_345,1518,1519,0.0,0.00580214,0.0,2400
L3036_3054_345,3036,3054,0.0,0.00017848,0.0,999999
L2925_3005_345,2925,3005,0.0,0.0017291,0.0,2400
L1612_2327_345,1612,2327,0.0,0.01686017,0.0,2400
L1880_2150_345,1880,2150,0.0,0.00976885,0.0,2400
L1508_1775_345,1508,1775,0.0,0.01114178,0.0,2400
L2961_3064_345,2961,3064,0.0,0.0006134,0.0,9600
L1582_1586_345,1582,1586,0.0,0.00204669,0.0,2400
L1572_1573_345,1572,1573,0.0,0.01157909,0.0,2400
L847_3020_345,847,3020,0.0,0.00322258,0.0,9600
L1876_3035_345,1876,3035,0.0,0.00018403,0.0,999999
L2067_3076_345,2067,3076,0.0,0.00155645,0.0,9600
L3077_3078_345,3077,3078,0.0,0.00017021,0.0,999999
L3064_3065_345,3064,3065,0.0,4.566e-05,0.0,999999
L785_1104_345,785,1104,0.0,0.0137263,0.0,2400
L2294_2295_345,2294,2295,0.0,0.00148254,0.0,2400
L199_2109_345,199,2109,0.0,0.01280309,0.0,2400
L3028_3029_345,3028,3029,0.0,0.00014648,0.0,999999
L1484_1489_345,1484,1489,0.0,0.00860953,0.0,2400
L179_2295_345,179,2295,0.0,0.0063067,0.0,2400
L798_1621_345,798,1621,0.0,0.01396887,0.0,2400
L31_3029_345,31,3029,0.0,0.01290218,0.0,14400
L806_825_345,806,825,0.0,0.00425075,0.0,2400
L2408_2409_345,2408,2409,0.0,0.00098256,0.0,2400
L837_1645_345,837,1645,0.0,0.00427948,0.0,2400
L1725_3011_345,1725,3011,0.0,0.00083714,0.0,9600
L822_3025_345,822,3025,0.0,0.00161711,0.0,4800
L1543_1550_345,1543,1550,0.0,0.0131348,0.0,2400
L1949_2935_345,1949,2935,0.0,0.00151436,0.0,2400
L1590_1876_345,1590,1876,0.0,0.0232081,0.0,2400
L2244_2310_345,2244,2310,0.0,6.591e-05,0.0,999999
L1567_2094_345,1567,2094,0.0,0.01492965,0.0,2400
L803_2329_345,803,2329,0.0,0.00383593,0.0,2400
L1572_2386_345,1572,2386,0.0,0.0018698,0.0,2400
L199_805_345,199,805,0.0,0.00775123,0.0,2400
L516_806_345,516,806,0.0,0.00257371,0.0,2400
L1484_2397_345,1484,2397,0.0,0.00111686,0.0,2400
L512_1636_345,512,1636,0.0,0.0009715,0.0,2400
L3051_3052_345,3051,3052,0.0,9.083e-05,0.0,999999
L2966_3058_345,2966,3058,0.0,0.0023184,0.0,9600
L1609_2405_345,1609,2405,0.0,0.00730768,0.0,2400
L1634_1637_345,1634,1637,0.0,9.912e-05,0.0,999999
L1546_3010_345,1546,3010,0.0,0.00017674,0.0,999999
L2286_2412_345,2286,2412,0.0,0.00816531,0.0,2400
L1707_1736_345,1707,1736,0.0,0.0035757,0.0,2400
L1827_2234_345,1827,2234,0.0,0.01059023,0.0,2400
L785_2381_345,785,2381,0.0,0.00207925,0.0,2400
L92_328_345,92,328,0.0,0.00162545,0.0,2400
L707_2367_345,707,2367,0.0,0.00640385,0.0,2400
L1512_1668_345,1512,1668,0.0,0.00205722,0.0,2400
L1918_2757_345,1918,2757,0.0,0.00017656,0.0,999999
L1891_3014_345,1891,3014,0.0,0.00018711,0.0,999999
L829_835_345,829,835,0.0,0.00635831,0.0,2400
L1614_1681_345,1614,1681,0.0,0.00016533,0.0,999999
L2116_3008_345,2116,3008,0.0,0.00022533,0.0,999999
L834_2423_345,834,2423,0.0,0.00073558,0.0,2400
L1551_2936_345,1551,2936,0.0,0.01789674,0.0,2400
L817_2287_345,817,2287,0.0,7.159e-05,0.0,999999
L1008_1492_345,1008,1492,0.0,0.01877499,0.0,2400
L1625_3041_345,1625,3041,0.0,0.00028113,0.0,4800
L1870_2995_345,1870,2995,0.0,0.0009703,0.0,999999
L1577_2418_345,1577,2418,0.0,0.01180402,0.0,2400
L2981_3069_345,2981,3069,0.0,0.00100422,0.0,9600
L1890_3075_345,1890,3075,0.0,0.01680371,0.0,9600
L1668_1891_345,1668,1891,0.0,0.00403582,0.0,2400
L3005_3076_345,3005,3076,0.0,0.00286702,0.0,9600
L1832_3009_345,1832,3009,0.0,0.00823168,0.0,9600
L1622_3035_345,1622,3035,0.0,0.01547315,0.0,4800
L1587_2411_345,1587,2411,0.0,0.00010488,0.0,999999
L1801_1874_345,1801,1874,0.0,0.00845812,0.0,2400
L1489_2341_345,1489,2341,0.0,0.00541053,0.0,2400
L1476_1478_345,1476,1478,0.0,0.00400549,0.0,2400
