STORAGE UID,Bus ID,Discharge Rate MW,Charge Rate MW,Energy Capacity MWh,Initial SOC MWh,Charge Efficiency,Discharge Efficiency,_zone,_mwh_source
BESS_2691_1,376,290.7,290.7,2325.6,1162.8,0.8944,0.8944,,default_duration
BESS_2691_2,376,291.2,291.2,2329.6,1164.8,0.8944,0.8944,,default_duration
BESS_2691_3,376,291.7,291.7,2333.6,1166.8,0.8944,0.8944,,default_duration
BESS_2691_4,376,291.5,291.5,2332.0,1166.0,0.8944,0.8944,,default_duration
BESS_2692_1,390,20.0,20.0,160.0,80.0,0.8944,0.8944,,default_duration
BESS_2692_10,390,20.0,20.0,160.0,80.0,0.8944,0.8944,,default_duration
BESS_2692_11,390,20.0,20.0,160.0,80.0,0.8944,0.8944,,default_duration
BESS_2692_12,390,20.0,20.0,160.0,80.0,0.8944,0.8944,,default_duration
BESS_2692_2,390,20.0,20.0,160.0,80.0,0.8944,0.8944,,default_duration
BESS_2692_3,390,20.0,20.0,160.0,80.0,0.8944,0.8944,,default_duration
BESS_2692_4,390,20.0,20.0,160.0,80.0,0.8944,0.8944,,default_duration
BESS_2692_5,390,20.0,20.0,160.0,80.0,0.8944,0.8944,,default_duration
BESS_2692_7,390,20.0,20.0,160.0,80.0,0.8944,0.8944,,default_duration
BESS_2692_8,390,20.0,20.0,160.0,80.0,0.8944,0.8944,,default_duration
BESS_2692_9,390,20.0,20.0,160.0,80.0,0.8944,0.8944,,default_duration
BESS_57710_SRS1,377,20.0,20.0,80.0,40.0,0.96,0.96,,default_duration
BESS_61739_SYR1,613,1.0,1.0,4.0,2.0,0.96,0.96,,default_duration
BESS_62147_KNY1,375,20.0,20.0,80.0,40.0,0.96,0.96,,default_duration
BESS_62839_ESS98,126,1.8,1.8,7.2,3.6,0.96,0.96,,default_duration
BESS_62981_BESS,520,2.0,2.0,8.0,4.0,0.96,0.96,,default_duration
BESS_62999_BESS,538,3.0,3.0,12.0,6.0,0.96,0.96,,default_duration
BESS_63000_BESS,206,4.0,4.0,16.0,8.0,0.96,0.96,,default_duration
BESS_63238_WB1,531,20.0,20.0,80.0,40.0,0.96,0.96,,default_duration
BESS_63337_14320,593,3.0,3.0,12.0,6.0,0.96,0.96,,default_duration
BESS_63340_20660,144,3.0,3.0,12.0,6.0,0.96,0.96,,default_duration
BESS_63341_20660,144,3.0,3.0,12.0,6.0,0.96,0.96,,default_duration
BESS_63415_BATT,538,1.6,1.6,6.4,3.2,0.96,0.96,,default_duration
BESS_63585_NY3,207,3.0,3.0,12.0,6.0,0.96,0.96,,default_duration
BESS_63774_KISCB,453,0.5,0.5,2.0,1.0,0.96,0.96,,default_duration
BESS_64084_BR1S,161,5.0,5.0,20.0,10.0,0.96,0.96,,default_duration
BESS_64087_BR2S,161,5.0,5.0,20.0,10.0,0.96,0.96,,default_duration
BESS_64090_NR12S,161,5.0,5.0,20.0,10.0,0.96,0.96,,default_duration
BESS_64092_GLSS,161,5.0,5.0,20.0,10.0,0.96,0.96,,default_duration
BESS_64291_B1,127,1.0,1.0,4.0,2.0,0.96,0.96,,default_duration
BESS_64291_B2,127,1.0,1.0,4.0,2.0,0.96,0.96,,default_duration
BESS_64291_B3,127,1.0,1.0,4.0,2.0,0.96,0.96,,default_duration
BESS_64374_NRWCB,183,5.0,5.0,20.0,10.0,0.96,0.96,,default_duration
BESS_64442_MPES,450,0.7,0.7,2.8,1.4,0.96,0.96,,default_duration
BESS_64453_VOLES,171,3.0,3.0,12.0,6.0,0.96,0.96,,default_duration
BESS_64686_65002,52,20.0,20.0,80.0,40.0,0.96,0.96,,default_duration
BESS_64719_BESS,197,2.0,2.0,8.0,4.0,0.96,0.96,,default_duration
BESS_65035_ESSFH,130,7.5,7.5,30.0,15.0,0.96,0.96,,default_duration
BESS_65217_BESS,197,4.5,4.5,18.0,9.0,0.96,0.96,,default_duration
BESS_65692_NY6,4,20.0,20.0,80.0,40.0,0.96,0.96,,default_duration
BESS_65815_MPBS,425,1.0,1.0,4.0,2.0,0.96,0.96,,default_duration
BESS_66218_BAT,206,2.0,2.0,8.0,4.0,0.96,0.96,,default_duration
BESS_66222_BAT,354,4.0,4.0,16.0,8.0,0.96,0.96,,default_duration
BESS_66228_BAT,510,2.0,2.0,8.0,4.0,0.96,0.96,,default_duration
BESS_66232_BAT,89,2.0,2.0,8.0,4.0,0.96,0.96,,default_duration
BESS_66488_BAT,197,2.0,2.0,8.0,4.0,0.96,0.96,,default_duration
BESS_66501_CCBA1,85,5.0,5.0,20.0,10.0,0.96,0.96,,default_duration
BESS_66503_CCBA2,85,5.0,5.0,20.0,10.0,0.96,0.96,,default_duration
BESS_66764_3954B,28,2.5,2.5,10.0,5.0,0.96,0.96,,default_duration
BESS_66765_3595B,28,2.5,2.5,10.0,5.0,0.96,0.96,,default_duration
BESS_66767_4725B,520,2.5,2.5,10.0,5.0,0.96,0.96,,default_duration
BESS_66967_S049,126,4.8,4.8,19.2,9.6,0.96,0.96,,default_duration
BESS_67275_4072B,454,1.3,1.3,5.2,2.6,0.96,0.96,,default_duration
BESS_67745_4075B,454,5.0,5.0,20.0,10.0,0.96,0.96,,default_duration
BESS_67886_ND001,451,1.5,1.5,6.0,3.0,0.96,0.96,,default_duration
BESS_67886_ND002,451,1.5,1.5,6.0,3.0,0.96,0.96,,default_duration
