GEN,UnitOnT0State,PowerGeneratedT0
EIA_2576_3N,1000,1.6
EIA_2576_4N,1000,1.6
EIA_2578_1,1000,2.8
EIA_2579_1,1000,2.8
EIA_2579_2,1000,3.4
EIA_2580_1,1000,1.1
EIA_2580_2,1000,1.4
EIA_2581_1,1000,1.3
EIA_2581_2,1000,1.3
EIA_2581_3,1000,1.3
EIA_2582_1,1000,4.0
EIA_2582_2,1000,3.6
EIA_2583_1,1000,0.8
EIA_2586_1,1000,1.4
EIA_2586_2,1000,1.4
EIA_2586_3,1000,1.4
EIA_2586_4,1000,1.4
EIA_2586_5,1000,1.4
EIA_2588_1,1000,4.0
EIA_2588_2,1000,4.0
EIA_2589_1,1000,620.9
EIA_2589_2,1000,1272.1
EIA_2590_1,1000,5.1
EIA_2591_1,1000,2.2
EIA_2594_ST5,1000,807.0
EIA_2594_ST6,1000,808.2
EIA_2595_1,1000,1.4
EIA_2595_2,1000,1.4
EIA_2595_3,1000,1.4
EIA_2596_4,1000,0.9
EIA_2596_5,1000,0.9
EIA_2596_6,1000,0.4
EIA_2596_7,1000,0.4
EIA_2597_1,1000,2.3
EIA_2598_1,1000,1.6
EIA_2598_2,1000,0.6
EIA_2598_3,1000,0.6
EIA_2599_1,1000,18.3
EIA_2600_1,1000,24.0
EIA_2601_1,1000,2.3
EIA_2604_1,1000,1.2
EIA_2604_2,1000,1.2
EIA_2604_3,1000,0.8
EIA_2604_4,1000,0.2
EIA_2605_1,1000,7.5
EIA_2605_2,1000,5.9
EIA_2605_3,1000,6.1
EIA_2605_4,1000,6.6
EIA_2605_5,1000,10.8
EIA_2606_1,1000,4.0
EIA_2606_2,1000,4.1
EIA_2606_3,1000,3.8
EIA_2606_4,1000,4.0
EIA_2607_1,1000,1.5
EIA_2608_1,1000,1.1
EIA_2608_2,1000,1.1
EIA_2609_1,1000,6.7
EIA_2609_2,1000,7.0
EIA_2609_3,1000,7.0
EIA_2609_4,1000,7.2
EIA_2609_5,1000,7.7
EIA_2609_6,1000,1.3
EIA_2610_1,1000,7.2
EIA_2610_2,1000,7.2
EIA_2611_1,1000,19.8
EIA_2612_8,1000,8.5
EIA_2612_9,1000,46.0
EIA_2613_1,1000,23.3
EIA_2614_1,1000,37.5
EIA_2614_2,1000,2.5
EIA_2616_1,1000,2.1
EIA_2616_2,1000,2.0
EIA_2617_1,1000,1.1
EIA_2617_2,1000,0.9
EIA_2617_3,1000,1.1
EIA_2617_4,1000,1.3
EIA_2619_5,1000,8.1
EIA_2619_6,1000,8.1
EIA_2619_7,1000,9.7
EIA_2621_2,1000,1.4
EIA_2621_3,1000,1.4
EIA_2621_4,1000,1.4
EIA_2621_5,1000,1.4
EIA_2623_1,1000,1.8
EIA_2623_2,1000,2.0
EIA_2624_1,1000,0.4
EIA_2624_2,1000,0.2
EIA_2625_1,1000,586.0
EIA_2625_2,1000,573.6
EIA_2627_GRHM,1000,16.3
EIA_2628_GEN1,1000,33.1
EIA_2630_GEN1,1000,4.3
EIA_2630_GEN2,1000,1.1
EIA_2630_GEN3,1000,1.1
EIA_2630_GEN4,1000,1.1
EIA_2631_RIO,1000,10.1
EIA_2631_RIO2,1000,0.8
EIA_2632_SHOE,1000,33.0
EIA_2634_SWI2,1000,7.4
EIA_2634_SWI3,1000,1.2
EIA_2638_1,1000,3.0
EIA_2678_2,1000,2.2
EIA_2678_3,1000,2.0
EIA_2679_3,1000,16.8
EIA_2679_CT5,1000,49.0
EIA_2682_5,1000,22.5
EIA_2682_6,1000,22.5
EIA_2682_7,1000,42.0
EIA_2685_1,1000,2.8
EIA_2685_2,1000,2.8
EIA_2685_3,1000,3.0
EIA_2685_4,1000,3.0
EIA_2686_1,1000,2.8
EIA_2686_2,1000,2.8
EIA_2686_3,1000,3.0
EIA_2686_4,1000,3.0
EIA_2693_1,1000,187.3
EIA_2693_10,1000,187.3
EIA_2693_11,1000,187.3
EIA_2693_12,1000,187.3
EIA_2693_13,1000,187.3
EIA_2693_2,1000,187.3
EIA_2693_3,1000,187.3
EIA_2693_4,1000,187.3
EIA_2693_5,1000,187.3
EIA_2693_7,1000,187.3
EIA_2693_8,1000,187.3
EIA_2693_9,1000,187.3
EIA_2694_17,1000,53.5
EIA_2694_18,1000,53.5
EIA_2694_19,1000,53.5
EIA_2694_20,1000,53.5
EIA_2694_21,1000,53.5
EIA_2694_22,1000,53.5
EIA_2694_23,1000,53.5
EIA_2694_24,1000,53.5
EIA_2694_25,1000,53.5
EIA_2694_27,1000,53.5
EIA_2694_28,1000,53.5
EIA_2694_29,1000,53.5
EIA_2694_30,1000,53.5
EIA_2694_31,1000,53.5
EIA_2694_32,1000,53.5
EIA_2695_10,1000,3.2
EIA_2695_11,1000,5.2
EIA_2695_12,1000,5.5
EIA_2695_13,1000,5.5
EIA_2695_14,1000,6.2
EIA_2695_9,1000,3.2
EIA_2700_1,1000,2.1
EIA_2700_2,1000,2.1
EIA_2700_3,1000,2.1
EIA_6110_1,1000,831.3
EIA_6122_1,1000,580.3
EIA_6456_1,1000,1.3
EIA_6456_2,1000,0.6
EIA_6486_1,1000,1.0
EIA_6486_2,1000,1.2
EIA_6486_3,1000,3.8
EIA_6526_2,1000,1.3
EIA_6527_1,1000,10.2
EIA_6527_2,1000,10.4
EIA_7146_02,1000,76.9
EIA_7146_03,1000,81.7
EIA_7146_1,1000,82.0
EIA_7314_NA1,1000,135.5
EIA_7583_1,1000,0.7
EIA_7583_2,1000,0.1
EIA_7784_1,1000,40.0
EIA_7784_2,1000,20.0
EIA_7869_GT4,1000,42.6
EIA_7869_GT5,1000,42.5
EIA_7909_VG02,1000,40.0
EIA_7909_VG03,1000,39.9
EIA_7910_1,1000,40.0
EIA_7910_2,1000,39.9
EIA_7912_1,1000,45.5
EIA_7913_HG01,1000,39.9
EIA_7913_HG02,1000,40.0
EIA_7914_HR01,1000,39.9
EIA_7914_HR02,1000,40.0
EIA_7915_N01,1000,45.8
EIA_8006_1,1000,614.8
EIA_8006_2,1000,607.7
EIA_8007_1,1000,55.5
EIA_8007_10,1000,54.1
EIA_8007_2,1000,55.6
EIA_8007_3,1000,51.0
EIA_8007_4,1000,52.4
EIA_8007_5,1000,53.4
EIA_8007_6,1000,50.4
EIA_8007_7,1000,49.2
EIA_8007_8,1000,55.4
EIA_8007_9,1000,55.3
EIA_8053_N01,1000,45.1
EIA_8906_1,1000,15.7
EIA_8906_2,1000,177.0
EIA_8906_3,1000,369.9
EIA_8906_ST5,1000,376.3
EIA_10025_17TG,1000,15.0
EIA_10025_41TG,1000,25.6
EIA_10025_42TG,1000,25.6
EIA_10025_43TG,1000,25.6
EIA_10025_44TG,1000,25.6
EIA_10025_75TG,1000,2.2
EIA_10025_KPR1,1000,0.4
EIA_10116_05,1000,1.8
EIA_10124_HY2,1000,0.3
EIA_10190_GEN1,1000,67.7
EIA_10190_GEN2,1000,25.0
EIA_10196_GEN1,1000,12.1
EIA_10197_GEN1,1000,3.2
EIA_10214_GEN1,1000,3.0
EIA_10214_GEN2,1000,3.0
EIA_10214_GEN3,1000,0.3
EIA_10218_HY1,1000,2.9
EIA_10219_HY1,1000,1.1
EIA_10219_HY2,1000,1.1
EIA_10220_HY1,1000,3.0
EIA_10221_GEN1,1000,5.7
EIA_10221_GEN2,1000,5.7
EIA_10237_GEN1,1000,1.7
EIA_10238_GEN1,1000,5.2
EIA_10286_1,1000,0.5
EIA_10286_2,1000,1.1
EIA_10305_GEN1,1000,7.2
EIA_10467_1,1000,3.3
EIA_10490_1G,1000,1.5
EIA_10503_GEN1,1000,11.5
EIA_10511_GEN6,1000,23.0
