UID,From Bus,To Bus,R,X,B,Cont Rating
L230_398,230,398,0.0,9.669e-05,0.0,2400
L89_197,89,197,0.0,0.00482332,0.0,2400
L423_734,423,734,0.0,0.00070297,0.0,999999
L238_730,238,730,0.0,0.00280929,0.0,999999
L294_399,294,399,0.0,0.00630889,0.0,1200
L50_735,50,735,0.0,0.00012482,0.0,999999
L229_739,229,739,0.0,0.0046073,0.0,999999
L224_227,224,227,0.0,0.00361979,0.0,1200
L50_72,50,72,0.0,0.01894842,0.0,1200
L237_512,237,512,0.0,0.00011424,0.0,999999
L356_740,356,740,0.0,0.03339289,0.0,999999
L400_736,400,736,0.0,0.01060464,0.0,999999
L213_219,213,219,0.0,0.01750993,0.0,1200
L427_450,427,450,0.0,0.00631459,0.0,2400
L217_729,217,729,0.0,0.0094156,0.0,999999
L80_197,80,197,0.0,0.00055137,0.0,1200
L72_735,72,735,0.0,0.01894881,0.0,999999
L108_449,108,449,0.0,0.00497569,0.0,2400
L80_221,80,221,0.0,0.01051473,0.0,1200
L359_360,359,360,0.0,0.00020347,0.0,999999
L28_366,28,366,0.0,0.00232019,0.0,1200
L224_736,224,736,0.0,0.0002525,0.0,999999
L72_294,72,294,0.0,0.00058385,0.0,1200
L226_400,226,400,0.0,0.01092184,0.0,1200
L29_158,29,158,0.0,0.00900561,0.0,1200
L223_736,223,736,0.0,0.00076875,0.0,999999
L427_429,427,429,0.0,0.00649477,0.0,2400
L237_733,237,733,0.0,0.01434338,0.0,999999
L371_738,371,738,0.0,0.00234834,0.0,999999
L451_452,451,452,0.0,0.0005393,0.0,2400
L207_410,207,410,0.0,0.00085195,0.0,2000
L225_398,225,398,0.0,0.02773096,0.0,1200
L429_727,429,727,0.0,0.00267784,0.0,1200
L28_356,28,356,0.0,0.00815736,0.0,2400
L256_371,256,371,0.0,0.01226496,0.0,1200
L354_359,354,359,0.0,0.01076843,0.0,1200
L65_415,65,415,0.0,0.0192576,0.0,1200
L27_415,27,415,0.0,0.00012575,0.0,999999
L229_740,229,740,0.0,0.00059221,0.0,999999
L224_226,224,226,0.0,0.00019205,0.0,999999
L366_398,366,398,0.0,0.02863009,0.0,1200
L426_427,426,427,0.0,0.01159716,0.0,2400
L376_731,376,731,0.0,0.00041654,0.0,999999
L58_426,58,426,0.0,0.00600478,0.0,1200
L151_446,151,446,0.0,0.00197562,0.0,1200
L237_729,237,729,0.0,0.02206411,0.0,999999
L50_390,50,390,0.0,0.01020283,0.0,1200
L450_451,450,451,0.0,0.00628658,0.0,2400
L158_426,158,426,0.0,0.01370601,0.0,1200
L29_356,29,356,0.0,0.00502623,0.0,1200
L229_398,229,398,0.0,0.00014488,0.0,999999
L426_510,426,510,0.0,0.00035334,0.0,2400
L427_453,427,453,0.0,0.00479206,0.0,2400
L50_392,50,392,0.0,0.00733322,0.0,1200
L399_400,399,400,0.0,0.02678515,0.0,1200
L221_733,221,733,0.0,0.00397643,0.0,999999
L512_739,512,739,0.0,0.02294092,0.0,999999
L207_234,207,234,0.0,0.00191592,0.0,2400
L237_376,237,376,0.0,0.01335683,0.0,1200
L359_731,359,731,0.0,0.01388231,0.0,999999
L646_733,646,733,0.0,0.00400592,0.0,999999
L219_729,219,729,0.0,0.00030994,0.0,999999
L453_454,453,454,0.0,0.00353473,0.0,2400
L89_352,89,352,0.0,0.00584827,0.0,1200
L398_400,398,400,0.0,0.02062158,0.0,1200
L227_230,227,230,0.0,0.00403186,0.0,2400
L230_335,230,335,0.0,0.0083881,0.0,2400
L739_741,739,741,0.0,0.00207658,0.0,999999
L246_730,246,730,0.0,0.00017478,0.0,999999
L217_645,217,645,0.0,0.00230105,0.0,2400
L452_454,452,454,0.0,0.00361188,0.0,2400
L426_429,426,429,0.0,0.00513359,0.0,2400
L227_738,227,738,0.0,0.00236389,0.0,999999
L422_645,422,645,0.0,0.00223829,0.0,2400
L207_732,207,732,0.0,0.00325284,0.0,999999
L237_513,237,513,0.0,9.173e-05,0.0,999999
L29_365,29,365,0.0,0.00611121,0.0,1200
L390_735,390,735,0.0,0.01020444,0.0,999999
L238_400,238,400,0.0,0.00523889,0.0,2400
L224_225,224,225,0.0,0.00031225,0.0,1200
L108_410,108,410,0.0,0.00219548,0.0,2000
L230_740,230,740,0.0,2.361e-05,0.0,999999
L352_354,352,354,0.0,0.01092932,0.0,1200
L422_730,422,730,0.0,0.01123534,0.0,999999
L365_446,365,446,0.0,0.00477972,0.0,2400
L513_646,513,646,0.0,0.01027154,0.0,1200
L356_359,356,359,0.0,0.01038029,0.0,1200
L356_731,356,731,0.0,0.01280588,0.0,999999
L371_737,371,737,0.0,0.00045641,0.0,999999
L227_400,227,400,0.0,0.00716403,0.0,1200
L359_510,359,510,0.0,0.01551786,0.0,1200
L423_453,423,453,0.0,0.00392987,0.0,1200
L827_830,827,830,0.0,0.0002407,0.0,999999
L214_215,214,215,0.0,0.01379937,0.0,1200
L415_854,415,854,0.0,0.00087972,0.0,999999
L210_762,210,762,0.0,0.02293807,0.0,999999
L211_762,211,762,0.0,0.00078888,0.0,999999
L52_323,52,323,0.0,0.00993597,0.0,600
L751_761,751,761,0.0,0.00211947,0.0,999999
