STORAGE UID,Bus ID,Discharge Rate MW,Charge Rate MW,Energy Capacity MWh,Initial SOC MWh,Charge Efficiency,Discharge Efficiency,_zone,_mwh_source
L_463S_UNIT1,1197,10.0,10.0,20.0,10.0,0.96,0.96,SOUTH,fallback_2h
LOPENO_UNIT1,839,10.0,10.0,9.9,4.95,0.96,0.96,SOUTH,eia860
MAGNO_TN_UNIT1,1157,10.0,10.0,20.0,10.0,0.96,0.96,HOUSTON,fallback_2h
ODESW_UNIT1,1469,10.0,10.0,20.0,10.0,0.96,0.96,WEST,fallback_2h
PALE_ESS_BES1,2286,200.8,200.8,803.2,401.6,0.96,0.96,PANHANDLE,fallback_4h
PAVO_ESS_BESS1,450,87.9,87.9,175.0,87.5,0.96,0.96,WEST,eia860
PAVO_ESS_BESS2,450,87.9,87.9,175.0,87.5,0.96,0.96,WEST,eia860
PUEBLO_UNIT1,884,10.0,10.0,19.8,9.9,0.96,0.96,SOUTH,eia860
PUEBLO_UNIT2,884,10.0,10.0,19.8,9.9,0.96,0.96,SOUTH,eia860
K0_UNIT1,1346,10.0,10.0,20.0,10.0,0.96,0.96,SOUTH,fallback_2h
SWEENY_UNIT1,1148,10.0,10.0,9.9,4.95,0.96,0.96,COASTAL,eia860
TORT_ESS_BESS1,2112,50.3,50.3,100.6,50.3,0.96,0.96,COASTAL,fallback_2h
ZAPATA_UNIT1,1905,10.0,10.0,19.8,9.9,0.96,0.96,SOUTH,eia860
ZAPATA_UNIT2,1905,10.0,10.0,19.8,9.9,0.96,0.96,SOUTH,eia860
BKSL_ESS_BESS1,2007,103.3,103.3,413.2,206.6,0.96,0.96,PANHANDLE,fallback_4h
BYRDR_ES_BESS1,2112,55.2,55.2,50.0,25.0,0.96,0.96,COASTAL,eia860
CACH_ESS_BESS1,1346,205.5,205.5,822.0,411.0,0.96,0.96,SOUTH,fallback_4h
CLO_BESS1,1498,101.5,101.5,200.0,100.0,0.96,0.96,HOUSTON,eia860
CLO_BESS2,1498,101.5,101.5,200.0,100.0,0.96,0.96,HOUSTON,eia860
CAMWIND_BESS1,261,16.7,16.7,33.4,16.7,0.96,0.96,COASTAL,fallback_2h
CARN_ESS_BES1,1197,154.1,154.1,616.4,308.2,0.96,0.96,COASTAL,fallback_4h
CARRIZO_BESS1,2513,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
CASL_GAP_BATTERY1,414,9.9,9.9,19.8,9.9,0.96,0.96,WEST,fallback_2h
CATARINA_BESS,2513,10.0,10.0,9.9,4.95,0.96,0.96,SOUTH,eia860
CEDRVALE_BESS,467,10.0,10.0,20.0,10.0,0.96,0.96,WEST,fallback_2h
