STORAGE UID,Bus ID,Discharge Rate MW,Charge Rate MW,Energy Capacity MWh,Initial SOC MWh,Charge Efficiency,Discharge Efficiency,_zone,_mwh_source
OLMITO_BESS1,269,10.0,10.0,20.0,10.0,0.96,0.96,COASTAL,fallback_2h
PALMVIEW_BESS1,314,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
PINEFRST_BESS1,2418,200.7,200.7,802.8,401.4,0.96,0.96,NORTH,fallback_4h
PLATINUM_BES1,1610,152.9,152.9,611.6,305.8,0.96,0.96,NORTH,fallback_4h
PLATINUM_BES2,1610,157.0,157.0,628.0,314.0,0.96,0.96,NORTH,fallback_4h
POTEETS_BESS,1346,10.0,10.0,20.0,10.0,0.96,0.96,SOUTH,fallback_2h
RADN_SLR_BESS1,2401,78.3,78.3,156.6,78.3,0.96,0.96,NORTH,fallback_2h
RADN_SLR_BESS2,2401,82.0,82.0,164.0,82.0,0.96,0.96,NORTH,fallback_2h
RRC_WIND_BESS1,2401,75.2,75.2,150.4,75.2,0.96,0.96,NORTH,fallback_2h
RRC_WIND_BESS2,2401,75.2,75.2,150.4,75.2,0.96,0.96,NORTH,fallback_2h
SE_EDINB_BESS1,289,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
SEVNF_ES_BESS1,1482,102.7,102.7,410.8,205.4,0.96,0.96,SOUTH,fallback_4h
SLK_BESS_BESS1,129,203.9,203.9,815.6,407.8,0.96,0.96,WEST,fallback_4h
STRG_SLR_BESS1,1192,101.9,101.9,407.6,203.8,0.96,0.96,SOUTH,fallback_4h
SMTH_ESS_BESS_1,2418,125.4,125.4,501.6,250.8,0.96,0.96,NORTH,fallback_4h
TSECA_ES_BESS1,884,102.7,102.7,410.8,205.4,0.96,0.96,WEST,fallback_4h
TORR_BESS1,26,9.9,9.9,19.8,9.9,0.96,0.96,SOUTH,fallback_2h
WZRD_ESS_BES1,1157,150.8,150.8,603.2,301.6,0.96,0.96,HOUSTON,fallback_4h
AMADOR_STORAGE,2418,102.4,102.4,409.6,204.8,0.96,0.96,NORTH,fallback_4h
BARTON_BRANCH_IA,1192,203.6,203.6,814.4,407.2,0.96,0.96,NORTH,fallback_4h
BLUE_SUMMIT_ENERGY_STORAGE,802,154.0,154.0,616.0,308.0,0.96,0.96,WEST,fallback_4h
BUFFALO_CREEK_BESS,1221,251.4,251.4,1005.6,502.8,0.96,0.96,HOUSTON,fallback_4h
CROWNED_HERON_BESS_2,1221,154.2,154.2,616.8,308.4,0.96,0.96,HOUSTON,fallback_4h
DAMON_BESS_3,2112,10.0,10.0,20.0,10.0,0.96,0.96,COASTAL,fallback_2h
HARLINGEN_#1_BESS_1,261,10.0,10.0,20.0,10.0,0.96,0.96,COASTAL,fallback_2h
HIGHWAY_6_BESS,2229,9.9,9.9,19.8,9.9,0.96,0.96,NORTH,fallback_2h
MEADOW_PARK_BESS,798,10.0,10.0,20.0,10.0,0.96,0.96,NORTH,fallback_2h
MRG_GOODY_STORAGE,2418,52.3,52.3,104.6,52.3,0.96,0.96,NORTH,fallback_2h
NORTH_EDINBURG_BESS_1,291,10.0,10.0,20.0,10.0,0.96,0.96,SOUTH,fallback_2h
PADUA_GRID_BESS_UNIT_2,1346,150.9,150.9,603.6,301.8,0.96,0.96,SOUTH,fallback_4h
PINTAIL_PASS_BESS,1197,207.3,207.3,829.2,414.6,0.96,0.96,COASTAL,fallback_4h
