experiment,voltage_kv,nodes,edges,mn_ratio,mean_degree,max_degree,mean_length_km,median_length_km,intersection_rate_pct,meshedness,deg1_frac,deg2_frac,deg3plus_frac,degree_entropy,error_score,elapsed_s
exp4_decay0.7_fv25_fo50,345,259,405,1.5637,3.13,13,35.72,27.52,10.12,0.2865,0.0772,0.3243,0.5985,2.4203,0.1098,0.8
exp4_decay0.7_fv50_fo100,345,259,405,1.5637,3.13,13,35.72,27.52,10.12,0.2865,0.0772,0.3243,0.5985,2.4203,0.1098,0.8
exp5_pr90_K1,345,259,402,1.5521,3.1,16,33.09,27.7,11.44,0.2807,0.0965,0.2896,0.6139,2.4236,0.2131,1.4
exp5_pr90_K3,345,259,402,1.5521,3.1,15,34.01,27.34,10.7,0.2807,0.1197,0.278,0.6023,2.4586,0.2941,1.1
exp5_pr90_K5,345,259,405,1.5637,3.13,13,35.54,28.11,8.4,0.2865,0.1042,0.2664,0.6293,2.4544,0.2685,0.7
exp5_pr90_K10,345,259,410,1.583,3.17,12,34.94,28.42,6.1,0.2963,0.112,0.251,0.6371,2.5198,0.3535,0.6
exp5_pr95_K1,345,259,402,1.5521,3.1,13,33.28,27.53,12.69,0.2807,0.1042,0.2896,0.6062,2.4375,0.2589,2.3
exp5_pr95_K3,345,259,402,1.5521,3.1,17,34.3,28.43,9.45,0.2807,0.112,0.2664,0.6216,2.4412,0.2801,1.0
exp5_pr95_K5,345,259,405,1.5637,3.13,13,35.72,27.52,10.12,0.2865,0.0772,0.3243,0.5985,2.4203,0.1098,0.7
exp5_pr95_K10,345,259,410,1.583,3.17,14,36.85,28.56,7.32,0.2963,0.1197,0.2664,0.6139,2.5542,0.3507,0.5
exp5_pr98_K1,345,259,402,1.5521,3.1,15,34.48,27.61,12.69,0.2807,0.1004,0.2857,0.6139,2.4227,0.2417,1.4
exp5_pr98_K3,345,259,402,1.5521,3.1,16,35.34,28.34,9.7,0.2807,0.1158,0.2664,0.6178,2.4489,0.2875,1.1
exp5_pr98_K5,345,259,405,1.5637,3.13,13,36.7,28.11,7.9,0.2865,0.0927,0.2973,0.61,2.4628,0.21,0.7
exp5_pr98_K10,345,259,410,1.583,3.17,12,36.39,28.13,7.32,0.2963,0.1042,0.278,0.6178,2.5216,0.2873,0.5
exp5_pr100_K1,345,259,402,1.5521,3.1,15,34.48,27.61,12.69,0.2807,0.1004,0.2857,0.6139,2.4227,0.2417,1.4
exp5_pr100_K3,345,259,402,1.5521,3.1,13,37.06,28.04,11.44,0.2807,0.1197,0.2394,0.6409,2.443,0.3137,1.0
exp5_pr100_K5,345,259,405,1.5637,3.13,12,36.41,27.95,7.65,0.2865,0.1081,0.2934,0.5985,2.4946,0.2755,0.7
exp5_pr100_K10,345,259,410,1.583,3.17,11,36.86,28.04,8.29,0.2963,0.112,0.2896,0.5985,2.5625,0.2954,0.5
final_138kv,115,3270,5088,1.556,3.11,16,8.84,6.65,14.56,0.2783,0.1532,0.3199,0.5269,2.6445,0.811,31.9
