osm_id,osm_type,name,fuel,mw,operator,lat,lon
504635016,way,Inks Power Plant,hydro,15.0,Lower Colorado River Authority,30.731342,-98.385466
504849079,way,Phantom Solar,solar,15.4,Apex Clean Energy,31.113694,-97.848244
508684688,way,Marshall Ford Power Plant,hydro,108.0,Lower Colorado River Authority,30.390204,-97.907873
508764501,way,Tom Miller Power Plant,hydro,18.0,Lower Colorado River Authority,30.293639,-97.784871
509273328,way,Decker Creek Power Station,gas,611.0,Austin Energy,30.303792,-97.615012
510839027,way,Winchester Power Park,gas,242.0,Lower Colorado River Authority,30.024644,-96.993536
512042697,way,Red Gate Power Plant,gas,224.4,South Texas Electric Cooperative,26.450207,-98.177363
512644989,way,Frontera Energy Center,gas,529.0,Frontera Generation Limited Partnership,26.208022,-98.398548
513680414,way,Silas Ray Power Plant,gas,142.5,Brownsville Public Utilities Board,25.913829,-97.521758
514740376,way,Corpus Christi LNG Terminal,,,Cheniere Energy,27.887497,-97.270263
514740384,way,Ingleside Cogeneration Plant,gas,517.0,Chemours;Occidental Petroleum,27.883035,-97.24621
514740385,way,Gregory Cogeneration Plant,gas,432.0,NRG Energy,27.889335,-97.258576
515325972,way,Coleto Creek Power Station,coal,622.4,Dynegy,28.717188,-97.20691
515589164,way,Point Comfort Power Plant,gas,121.0,"Peaker Power, LLC",28.646972,-96.545404
515589171,way,Formosa Cogeneration Plant,gas,689.4,Formosa Plastics,28.694665,-96.543637
515589291,way,CFB Power Plant,gas,310.0,Formosa Plastics,28.650268,-96.539413
515655227,way,Sam Rayburn Power Plant,gas,215.2,South Texas Electric Cooperative,28.894863,-97.135465
515655407,way,Victoria Power Station,gas,376.9,Rockland Capital,28.787809,-97.010438
520305123,way,Sky Global Power One,gas,51.0,Sky Global Partners,29.550395,-96.538721
520385174,way,Newgulf Cogeneration Plant,gas,85.0,Wharton County Generation LLC,29.263827,-95.900136
520385241,way,Colorado Bend Power Plant,gas,580.1,Exelon,29.288454,-96.068469
521857228,way,Bacliff,gas,427.2,NRG Energy,29.49225,-94.984037
583388823,way,Sweeny Cogeneration,gas,572.0,Sweeny Cogeneration LP,29.072356,-95.744671
584370755,way,Green Power 2 Power Plant,gas,861.0,Marathon,29.378073,-94.934158
584370756,way,Texas City Power Plant,gas,450.0,Calpine,29.37873,-94.943418
584370758,way,Texas City Plant Union Carbide,steam,45.0,Union Carbide Corp-Texas City,29.376161,-94.946556
585023319,way,Johnson Space Center Combined Heat & Power,gas,11.9,National Aeronautics and Space Administration,29.562301,-95.08932
585050903,way,SunHub Generation Station,solar,2.0,Guadalupe Valley Electric Cooperative,29.54562,-97.756644
585622300,way,Bayou Cogen Plant,gas,318.4,Air Liquide Large Industries U S LP,29.625877,-95.047058
585787416,way,Friendswood Energy,gas,121.5,Quantum Utility Generation,29.647083,-95.451804
