GEOID,population,lat,lng
48027022001,4168,31.0868853,-97.6592782
48027022002,4769,31.1256858,-97.5256723
48027022101,4102,31.1251129,-97.699533
48027022103,5053,31.1337799,-97.6901392
48027022104,4212,31.1194295,-97.6776398
48027022105,2216,31.1253496,-97.67369
48027022200,3827,31.1114462,-97.6874668
48027022300,3811,31.0946367,-97.6917827
48027022401,5741,31.0926925,-97.7079001
48027022402,7003,31.0376347,-97.6839241
48027022403,4597,31.0656367,-97.7061578
48027022405,2183,31.0833392,-97.71356
48027022406,3979,31.0692359,-97.6871118
48027022407,3931,31.0586653,-97.6979194
48027022501,3573,31.1026877,-97.7240921
48027022503,5434,31.08135,-97.7256095
48027022504,8790,31.0480857,-97.7217378
48027022600,4242,31.1257066,-97.7207782
48027022801,2653,31.1304095,-97.7293447
48027022900,3649,31.1124242,-97.7366737
48027023001,6167,31.0619678,-97.757789
48027023002,4170,31.0911452,-97.7373872
48027023103,4450,31.0980156,-97.7527428
48027023104,3253,31.1070668,-97.755514
48027023109,3903,31.0868504,-97.7666883
48027023110,3832,31.0840946,-97.7537915
48027023111,5279,31.1090426,-97.8055532
48027023112,5062,31.1010817,-97.7904556
48027023113,5033,31.1040841,-97.7792911
48027023114,4350,31.0998007,-97.7700772
48027023115,4688,31.0908311,-97.7818555
48027023116,6188,31.0848784,-97.8082247
48027023117,5553,31.0720159,-97.7782104
48027023118,7404,31.0704862,-97.7994467
48027023201,1781,31.1273093,-97.7552967
48027023202,4915,31.1272747,-97.7767498
48027023203,2607,31.1177584,-97.7558206
48027023204,3731,31.1376057,-97.6690787
48027023301,5266,30.970882,-97.8062072
48027023302,4029,31.0079772,-97.7059348
48027023402,4990,30.9045112,-97.2971498
48027023404,4376,30.9037844,-97.5573946
48027023405,3225,30.9237335,-97.4617064
48027023406,3978,30.9950761,-97.5154365
48027023500,2149,31.1230501,-97.7332235
48027980001,346,31.0343851,-97.7885558
48027980002,0,31.0687798,-97.8290999
48027980003,1,31.1614806,-97.5990188
48029110100,3812,29.4261655,-98.4905264
48029110300,2401,29.4143199,-98.4808476
48029110500,2369,29.417071,-98.5090798
48029110600,7284,29.429211,-98.5078374
48029110700,1210,29.4389386,-98.5036913
48029111000,2356,29.4403477,-98.4708688
48029111100,4099,29.4406247,-98.4880242
48029120100,7464,29.4608965,-98.43834
48029120301,2989,29.484551,-98.4624194
48029120302,4371,29.4818167,-98.4711716
48029120401,2595,29.4752163,-98.4394574
48029120402,3365,29.4766443,-98.4510467
48029120502,5395,29.5045334,-98.407621
48029120503,3351,29.4902303,-98.4250679
48029120504,4876,29.4802095,-98.4092998
48029120601,2719,29.4904654,-98.4370039
48029120602,3927,29.4901762,-98.4507247
48029120701,5622,29.5128694,-98.4694577
48029120702,4699,29.5023634,-98.4721164
48029120800,7074,29.505174,-98.446265
48029120901,2079,29.5220154,-98.43737
48029120902,6928,29.505063,-98.42485
48029121000,6926,29.5322204,-98.4454653
48029121110,5175,29.5839096,-98.4146871
48029121111,6739,29.5676254,-98.3987467
48029121112,3995,29.5506479,-98.4207674
48029121115,5100,29.5755848,-98.4529264
48029121116,4845,29.5836611,-98.4651552
48029121117,4482,29.595707,-98.4622931
48029121118,5688,29.5964191,-98.4439245
48029121119,5325,29.5603056,-98.4519095
48029121120,5039,29.5575482,-98.4372455
48029121121,2843,29.5889924,-98.4322372
48029121122,5165,29.5751076,-98.4263308
48029121123,4528,29.5677653,-98.4725428
48029121124,2664,29.5675276,-98.4644949
48029121203,4769,29.5259958,-98.4004284
48029121204,8569,29.5294446,-98.4201274
48029121205,3603,29.5402233,-98.4076217
48029121206,7226,29.5538361,-98.391607
48029121300,6483,29.5196989,-98.3839956
48029121402,9534,29.493243,-98.367592
48029121403,5419,29.5033956,-98.3839005
48029121404,5145,29.4788025,-98.3925101
48029121501,9828,29.5401425,-98.3496953
48029121504,8233,29.5296986,-98.3625187
48029121505,5372,29.5231183,-98.3287891
48029121506,5795,29.5140381,-98.3453004
48029121507,5413,29.5133523,-98.3577773
48029121508,5312,29.5064099,-98.3583017
48029121601,4694,29.5465067,-98.302224
48029121604,9768,29.5299609,-98.3136329
48029121605,2161,29.5450746,-98.3301548
48029121606,5210,29.556471,-98.3365299
48029121701,3885,29.5561412,-98.2899064
48029121702,7093,29.5691658,-98.3147824
48029121802,10663,29.571575,-98.3539705
48029121803,4776,29.554509,-98.3657499
48029121804,6844,29.5670519,-98.3757437
48029121808,3132,29.5843036,-98.3897143
48029121809,4942,29.5780965,-98.3821413
48029121810,4322,29.5917124,-98.4031624
48029121811,5543,29.5948397,-98.3930616
48029121812,6136,29.5902083,-98.3673202
48029121813,1745,29.5993927,-98.3733467
48029121903,6040,29.6212645,-98.4316515
48029121904,3925,29.6371627,-98.4432638
48029121905,7517,29.6535643,-98.430274
48029121906,7183,29.6137745,-98.4505324
48029121908,3410,29.7060361,-98.398996
48029121909,8859,29.5903859,-98.3321236
48029121910,8817,29.6184796,-98.40456
48029121911,9375,29.6749931,-98.4305637
48029121912,12296,29.6516261,-98.379636
48029130200,1588,29.4158239,-98.4673756
48029130300,2945,29.4072451,-98.4672471
48029130401,3725,29.4080416,-98.4543969
48029130402,3879,29.4055239,-98.4405754
48029130500,4202,29.4192226,-98.4521675
48029130600,4585,29.4303224,-98.4521996
48029130700,2342,29.4395119,-98.4512971
48029130800,5220,29.432014,-98.4269439
48029130900,5456,29.4373402,-98.4086795
48029131000,5599,29.4174106,-98.4069528
48029131100,2500,29.4055968,-98.4268221
48029131200,3298,29.3981151,-98.4172868
48029131300,5678,29.3925287,-98.3976101
48029131401,12055,29.3722268,-98.3759345
48029131402,2964,29.4058288,-98.3699513
48029131503,3169,29.4643214,-98.3892136
48029131504,4213,29.4496619,-98.3911612
48029131505,5179,29.473548,-98.369044
48029131506,5953,29.4346963,-98.3723584
48029131507,5998,29.4632989,-98.3708009
48029131601,8623,29.503171,-98.2557058
48029131606,8086,29.4918067,-98.3069428
48029131608,5956,29.5124884,-98.3046249
48029131609,8531,29.5029018,-98.3284702
48029131610,5469,29.4949003,-98.3180134
48029131612,2306,29.464803,-98.321192
48029131614,5012,29.4743147,-98.3409376
48029131615,12439,29.4694965,-98.3518021
48029131616,7517,29.4842457,-98.3288887
48029131700,1282,29.529533,-98.2784252
48029131801,2732,29.4309467,-98.1780971
48029131802,7232,29.4265417,-98.2824493
48029140100,1324,29.406368,-98.4787815
48029140200,2405,29.3962021,-98.4810684
48029140300,2835,29.3868816,-98.483546
48029140400,3380,29.3967395,-98.4673513
48029140500,3682,29.3964053,-98.4549963
48029140600,2526,29.3927381,-98.4435778
48029140700,4571,29.387522,-98.4609819
48029140800,4886,29.3776566,-98.4696195
48029140900,1916,29.3798119,-98.4548664
48029141000,3344,29.3709842,-98.457346
48029141101,4084,29.3580352,-98.4555776
48029141102,3612,29.3626958,-98.445344
48029141200,6685,29.3802571,-98.4395548
48029141300,6678,29.3754769,-98.4136858
48029141402,6236,29.3436408,-98.4193021
48029141403,4773,29.3586573,-98.4272773
48029141404,4929,29.3667835,-98.4257028
48029141600,4525,29.3315404,-98.4391546
48029141700,6440,29.3250725,-98.3846828
48029141800,4924,29.2558402,-98.3627182
48029141900,6234,29.3289098,-98.3128977
48029150100,5016,29.4044041,-98.5050283
48029150300,3965,29.3881982,-98.5016596
48029150400,3814,29.3879675,-98.5173562
48029150501,4016,29.3790793,-98.5256037
48029150502,3734,29.3717614,-98.5254764
48029150600,4039,29.3752865,-98.5104989
48029150700,5601,29.3750237,-98.4963653
48029150800,3227,29.3636646,-98.4770644
48029150900,5933,29.362427,-98.4932268
48029151000,3204,29.3625271,-98.5102428
48029151100,6450,29.3620775,-98.5306827
48029151200,10797,29.3380619,-98.5437046
48029151301,5599,29.3471047,-98.525706
48029151302,3275,29.3290251,-98.5251025
48029151400,4487,29.3491456,-98.5099698
48029151500,2411,29.3525983,-98.4923256
48029151600,7358,29.3412032,-98.493781
48029151700,7173,29.3291186,-98.49995
48029151900,8156,29.2925232,-98.4710132
48029152000,4314,29.2845687,-98.5327496
48029152100,6829,29.2098315,-98.5374574
48029152201,9868,29.2071982,-98.4588926
48029152202,5964,29.1869042,-98.3927894
48029160100,6217,29.4088381,-98.5217808
48029160200,2490,29.399944,-98.5183695
48029160300,4928,29.3912299,-98.5263991
48029160400,4682,29.3903429,-98.5412402
48029160501,3936,29.4112778,-98.5387851
48029160502,3950,29.4027445,-98.5393755
48029160600,4440,29.4113725,-98.5537037
48029160701,3187,29.4063314,-98.5739064
48029160702,4972,29.3962513,-98.5569566
48029160901,2951,29.367606,-98.546091
48029160902,4144,29.3695546,-98.5570405
48029161000,3474,29.3425496,-98.5700238
48029161100,8449,29.3269538,-98.5762883
48029161200,3934,29.299477,-98.6037886
48029161302,5409,29.333521,-98.6121389
48029161303,4167,29.3428267,-98.6067221
48029161304,4738,29.3453415,-98.5935539
48029161400,9755,29.3866431,-98.6178725
48029161501,7717,29.3648482,-98.6073537
48029161503,5515,29.3558344,-98.6267718
48029161504,4724,29.3552605,-98.6170903
48029161600,4809,29.3991515,-98.5974264
48029161801,3895,29.3842018,-98.6478496
48029161802,9710,29.3349742,-98.6579585
48029161901,1247,29.308073,-98.6904808
48029161902,15735,29.3182348,-98.7631029
