section,row_num,unit_name,inr,unit_code,county,fuel,zone,in_service,installed_mw,apr2026_mora
Operational Resources (Thermal),4,COMANCHE PEAK U1,,CPSES_UNIT1,SOMERVELL,NUCLEAR,NORTH,1990,1269.0,1227.0
Operational Resources (Thermal),5,COMANCHE PEAK U2,,CPSES_UNIT2,SOMERVELL,NUCLEAR,NORTH,1993,1269.0,1214.0
Operational Resources (Thermal),6,SOUTH TEXAS U1,,STP_STP_G1,MATAGORDA,NUCLEAR,COASTAL,1988,1365.0,1323.2
Operational Resources (Thermal),7,SOUTH TEXAS U2,,STP_STP_G2,MATAGORDA,NUCLEAR,COASTAL,1989,1365.0,1310.0
Operational Resources (Thermal),8,COLETO CREEK,,COLETO_COLETOG1,GOLIAD,COAL,SOUTH,1980,655.0,655.0
Operational Resources (Thermal),9,FAYETTE POWER U1,,FPPYD1_FPP_G1,FAYETTE,COAL,SOUTH,1979,615.0,608.0
Operational Resources (Thermal),10,FAYETTE POWER U2,,FPPYD1_FPP_G2,FAYETTE,COAL,SOUTH,1980,615.0,608.0
Operational Resources (Thermal),11,FAYETTE POWER U3,,FPPYD2_FPP_G3,FAYETTE,COAL,SOUTH,1988,460.0,448.0
Operational Resources (Thermal),12,J K SPRUCE U1,,CALAVERS_JKS1,BEXAR,COAL,SOUTH,1992,560.0,560.0
Operational Resources (Thermal),13,J K SPRUCE U2,,CALAVERS_JKS2,BEXAR,COAL,SOUTH,2010,922.0,785.0
Operational Resources (Thermal),14,LIMESTONE U1,,LEG_LEG_G1,LIMESTONE,COAL,NORTH,1985,893.0,831.0
Operational Resources (Thermal),15,LIMESTONE U2,,LEG_LEG_G2,LIMESTONE,COAL,NORTH,1986,956.8,857.0
Operational Resources (Thermal),16,MARTIN LAKE U1,,MLSES_UNIT1,RUSK,COAL,NORTH,1977,893.0,815.0
Operational Resources (Thermal),17,MARTIN LAKE U2,,MLSES_UNIT2,RUSK,COAL,NORTH,1978,893.0,820.0
Operational Resources (Thermal),18,MARTIN LAKE U3,,MLSES_UNIT3,RUSK,COAL,NORTH,1979,893.0,820.0
Operational Resources (Thermal),19,OAK GROVE SES U1,,OGSES_UNIT1A,ROBERTSON,COAL,NORTH,2010,916.8,855.0
Operational Resources (Thermal),20,OAK GROVE SES U2,,OGSES_UNIT2,ROBERTSON,COAL,NORTH,2011,916.8,855.0
Operational Resources (Thermal),21,SAN MIGUEL U1,,SANMIGL_G1,ATASCOSA,COAL,SOUTH,1982,430.0,391.0
Operational Resources (Thermal),22,SANDY CREEK U1,,SCES_UNIT1,MCLENNAN,COAL,NORTH,2013,1008.0,932.6
Operational Resources (Thermal),23,TWIN OAKS U1,,TNP_ONE_TNP_O_1,ROBERTSON,COAL,NORTH,1990,174.6,155.0
Operational Resources (Thermal),24,TWIN OAKS U2,,TNP_ONE_TNP_O_2,ROBERTSON,COAL,NORTH,1991,174.6,155.0
Operational Resources (Thermal),25,W A PARISH U5,,WAP_WAP_G5,FORT BEND,COAL,HOUSTON,1977,734.1,664.0
Operational Resources (Thermal),26,W A PARISH U6,,WAP_WAP_G6,FORT BEND,COAL,HOUSTON,1978,734.1,663.0
Operational Resources (Thermal),27,W A PARISH U7,,WAP_WAP_G7,FORT BEND,COAL,HOUSTON,1980,614.6,577.0
Operational Resources (Thermal),28,W A PARISH U8,,WAP_WAP_G8,FORT BEND,COAL,HOUSTON,1982,654.0,610.0
Operational Resources (Thermal),29,ARTHUR VON ROSENBERG 1 CTG 1,,BRAUNIG_AVR1_CT1,BEXAR,GAS-CC,SOUTH,2000,189.0,178.9
Operational Resources (Thermal),30,ARTHUR VON ROSENBERG 1 CTG 2,,BRAUNIG_AVR1_CT2,BEXAR,GAS-CC,SOUTH,2000,189.0,178.9
Operational Resources (Thermal),31,ARTHUR VON ROSENBERG 1 STG,,BRAUNIG_AVR1_ST,BEXAR,GAS-CC,SOUTH,2000,222.0,199.9
Operational Resources (Thermal),32,ATKINS CTG 7,,ATKINS_ATKINSG7,BRAZOS,GAS-GT,NORTH,1973,21.0,19.0
Operational Resources (Thermal),33,BARNEY M DAVIS CTG 3,,B_DAVIS_B_DAVIG3,NUECES,GAS-CC,COASTAL,2010,189.6,161.0
Operational Resources (Thermal),34,BARNEY M DAVIS CTG 4,,B_DAVIS_B_DAVIG4,NUECES,GAS-CC,COASTAL,2010,189.6,161.0
Operational Resources (Thermal),35,BARNEY M DAVIS STG 1,,B_DAVIS_B_DAVIG1,NUECES,GAS-ST,COASTAL,1974,352.8,292.0
Operational Resources (Thermal),36,BARNEY M DAVIS STG 2,,B_DAVIS_B_DAVIG2,NUECES,GAS-CC,COASTAL,1976,351.0,322.0
Operational Resources (Thermal),37,BASTROP ENERGY CENTER CTG 1,,BASTEN_GTG1100,BASTROP,GAS-CC,SOUTH,2002,188.0,178.0
Operational Resources (Thermal),38,BASTROP ENERGY CENTER CTG 2,,BASTEN_GTG2100,BASTROP,GAS-CC,SOUTH,2002,188.0,178.0
Operational Resources (Thermal),39,BASTROP ENERGY CENTER STG,,BASTEN_ST0100,BASTROP,GAS-CC,SOUTH,2002,242.0,236.0
Operational Resources (Thermal),40,BEACHWOOD POWER STATION U1,,BCH_UNIT1,BRAZORIA,GAS-GT,COASTAL,2022,60.5,45.1
Operational Resources (Thermal),41,BEACHWOOD POWER STATION U2,,BCH_UNIT2,BRAZORIA,GAS-GT,COASTAL,2022,60.5,45.1
Operational Resources (Thermal),42,BEACHWOOD POWER STATION U3,,BCH_UNIT3,BRAZORIA,GAS-GT,COASTAL,2022,60.5,45.1
Operational Resources (Thermal),43,BEACHWOOD POWER STATION U4,,BCH_UNIT4,BRAZORIA,GAS-GT,COASTAL,2022,60.5,45.1
Operational Resources (Thermal),44,BEACHWOOD POWER STATION U5,,BCH_UNIT5,BRAZORIA,GAS-GT,COASTAL,2022,60.5,45.1
Operational Resources (Thermal),45,BEACHWOOD POWER STATION U6,,BCH_UNIT6,BRAZORIA,GAS-GT,COASTAL,2022,60.5,45.1
Operational Resources (Thermal),46,BEACHWOOD POWER STATION U7,,BCH_UNIT7,BRAZORIA,GAS-GT,COASTAL,2024,60.5,45.1
Operational Resources (Thermal),47,BEACHWOOD POWER STATION U8,,BCH_UNIT8,BRAZORIA,GAS-GT,COASTAL,2024,60.5,45.1
Operational Resources (Thermal),48,BOSQUE ENERGY CENTER CTG 1,,BOSQUESW_BSQSU_1,BOSQUE,GAS-CC,NORTH,2000,188.7,161.8
Operational Resources (Thermal),49,BOSQUE ENERGY CENTER CTG 2,,BOSQUESW_BSQSU_2,BOSQUE,GAS-CC,NORTH,2000,188.7,161.8
Operational Resources (Thermal),50,BOSQUE ENERGY CENTER CTG 3,,BOSQUESW_BSQSU_3,BOSQUE,GAS-CC,NORTH,2001,188.7,160.6
Operational Resources (Thermal),51,BOSQUE ENERGY CENTER STG 4,,BOSQUESW_BSQSU_4,BOSQUE,GAS-CC,NORTH,2001,95.0,83.6
Operational Resources (Thermal),52,BOSQUE ENERGY CENTER STG 5,,BOSQUESW_BSQSU_5,BOSQUE,GAS-CC,NORTH,2009,254.2,222.4
Operational Resources (Thermal),53,BRAZOS VALLEY CTG 1,,BVE_UNIT1,FORT BEND,GAS-CC,HOUSTON,2003,198.9,169.0
Operational Resources (Thermal),54,BRAZOS VALLEY CTG 2,,BVE_UNIT2,FORT BEND,GAS-CC,HOUSTON,2003,198.9,169.0
Operational Resources (Thermal),55,BRAZOS VALLEY STG 3,,BVE_UNIT3,FORT BEND,GAS-CC,HOUSTON,2003,275.6,270.0
Operational Resources (Thermal),56,BROTMAN POWER STATION U1,,BTM_UNIT1,BRAZORIA,GAS-GT,COASTAL,2023,60.5,45.1
Operational Resources (Thermal),57,BROTMAN POWER STATION U2,,BTM_UNIT2,BRAZORIA,GAS-GT,COASTAL,2023,60.5,45.1
Operational Resources (Thermal),58,BROTMAN POWER STATION U3,,BTM_UNIT3,BRAZORIA,GAS-GT,COASTAL,2023,60.5,45.1
Operational Resources (Thermal),59,BROTMAN POWER STATION U4,,BTM_UNIT4,BRAZORIA,GAS-GT,COASTAL,2023,60.5,45.1
Operational Resources (Thermal),60,BROTMAN POWER STATION U5,,BTM_UNIT5,BRAZORIA,GAS-GT,COASTAL,2023,60.5,45.1
Operational Resources (Thermal),61,BROTMAN POWER STATION U6,,BTM_UNIT6,BRAZORIA,GAS-GT,COASTAL,2023,60.5,45.1
Operational Resources (Thermal),62,BROTMAN POWER STATION U7,,BTM_UNIT7,BRAZORIA,GAS-GT,COASTAL,2023,60.5,42.0
Operational Resources (Thermal),63,BROTMAN POWER STATION U8,,BTM_UNIT8,BRAZORIA,GAS-GT,COASTAL,2023,60.5,45.1
Operational Resources (Thermal),64,CALENERGY-FALCON SEABOARD CTG 1,,FLCNS_UNIT1,HOWARD,GAS-GT,WEST,1987,75.0,70.0
Operational Resources (Thermal),65,CALENERGY-FALCON SEABOARD CTG 2,,FLCNS_UNIT2,HOWARD,GAS-GT,WEST,1987,75.0,70.0
Operational Resources (Thermal),66,CALHOUN (PORT COMFORT) CTG 1,,CALHOUN_UNIT1,CALHOUN,GAS-GT,COASTAL,2017,60.5,44.0
Operational Resources (Thermal),67,CALHOUN (PORT COMFORT) CTG 2,,CALHOUN_UNIT2,CALHOUN,GAS-GT,COASTAL,2017,60.5,44.0
Operational Resources (Thermal),68,CASTLEMAN CHAMON CTG 1,,CHAMON_CTG_0101,HARRIS,GAS-GT,HOUSTON,2016,60.5,43.0
Operational Resources (Thermal),69,CASTLEMAN CHAMON CTG 2,,CHAMON_CTG_0301,HARRIS,GAS-GT,HOUSTON,2017,60.5,43.0
Operational Resources (Thermal),70,CEDAR BAYOU 4 CTG 1,,CBY4_CT41,CHAMBERS,GAS-CC,HOUSTON,2009,205.0,157.0
Operational Resources (Thermal),71,CEDAR BAYOU 4 CTG 2,,CBY4_CT42,CHAMBERS,GAS-CC,HOUSTON,2009,205.0,157.0
Operational Resources (Thermal),72,CEDAR BAYOU 4 STG,,CBY4_ST04,CHAMBERS,GAS-CC,HOUSTON,2009,205.0,173.0
Operational Resources (Thermal),73,CEDAR BAYOU STG 1,,CBY_CBY_G1,CHAMBERS,GAS-ST,HOUSTON,1970,765.0,746.0
Operational Resources (Thermal),74,CEDAR BAYOU STG 2,,CBY_CBY_G2,CHAMBERS,GAS-ST,HOUSTON,1972,765.0,749.0
Operational Resources (Thermal),75,COLORADO BEND ENERGY CENTER CTG 1,,CBEC_GT1,WHARTON,GAS-CC,SOUTH,2007,86.5,83.2
Operational Resources (Thermal),76,COLORADO BEND ENERGY CENTER CTG 2,,CBEC_GT2,WHARTON,GAS-CC,SOUTH,2007,86.5,76.2
Operational Resources (Thermal),77,COLORADO BEND ENERGY CENTER CTG 3,,CBEC_GT3,WHARTON,GAS-CC,SOUTH,2008,86.5,83.6
Operational Resources (Thermal),78,COLORADO BEND ENERGY CENTER CTG 4,,CBEC_GT4,WHARTON,GAS-CC,SOUTH,2008,86.5,77.1
Operational Resources (Thermal),79,COLORADO BEND ENERGY CENTER STG 1,,CBEC_STG1,WHARTON,GAS-CC,SOUTH,2007,105.0,103.7
Operational Resources (Thermal),80,COLORADO BEND ENERGY CENTER STG 2,,CBEC_STG2,WHARTON,GAS-CC,SOUTH,2008,108.8,107.9
Operational Resources (Thermal),81,COLORADO BEND II CTG 7,,CBECII_CT7,WHARTON,GAS-CC,SOUTH,2017,360.9,332.1
Operational Resources (Thermal),82,COLORADO BEND II CTG 8,,CBECII_CT8,WHARTON,GAS-CC,SOUTH,2017,360.9,337.8
Operational Resources (Thermal),83,COLORADO BEND II STG 9,,CBECII_STG9,WHARTON,GAS-CC,SOUTH,2017,508.5,482.3
Operational Resources (Thermal),84,COLORADO BEND ENERGY CENTER CTG 11,,CBEC_GT11,WHARTON,GAS-GT,SOUTH,2023,41.7,39.0
Operational Resources (Thermal),85,COLORADO BEND ENERGY CENTER CTG 12,,CBEC_GT12,WHARTON,GAS-GT,SOUTH,2023,41.7,39.0
Operational Resources (Thermal),86,CVC CHANNELVIEW CTG 1,,CVC_CVC_G1,HARRIS,GAS-CC,HOUSTON,2002,192.1,181.0
Operational Resources (Thermal),87,CVC CHANNELVIEW CTG 2,,CVC_CVC_G2,HARRIS,GAS-CC,HOUSTON,2002,192.1,178.0
Operational Resources (Thermal),88,CVC CHANNELVIEW CTG 3,,CVC_CVC_G3,HARRIS,GAS-CC,HOUSTON,2002,192.1,178.0
Operational Resources (Thermal),89,CVC CHANNELVIEW STG 5,,CVC_CVC_G5,HARRIS,GAS-CC,HOUSTON,2002,150.0,144.0
Operational Resources (Thermal),90,DANSBY CTG 2,,DANSBY_DANSBYG2,BRAZOS,GAS-GT,NORTH,2004,48.0,46.5
Operational Resources (Thermal),91,DANSBY CTG 3,,DANSBY_DANSBYG3,BRAZOS,GAS-GT,NORTH,2010,50.0,48.5
Operational Resources (Thermal),92,DANSBY STG 1,,DANSBY_DANSBYG1,BRAZOS,GAS-ST,NORTH,1978,120.0,108.5
Operational Resources (Thermal),93,DECKER CREEK CTG 1,,DECKER_DPGT_1,TRAVIS,GAS-GT,SOUTH,1989,56.7,50.0
Operational Resources (Thermal),94,DECKER CREEK CTG 2,,DECKER_DPGT_2,TRAVIS,GAS-GT,SOUTH,1989,56.7,50.0
Operational Resources (Thermal),95,DECKER CREEK CTG 3,,DECKER_DPGT_3,TRAVIS,GAS-GT,SOUTH,1989,56.7,50.0
Operational Resources (Thermal),96,DECKER CREEK CTG 4,,DECKER_DPGT_4,TRAVIS,GAS-GT,SOUTH,1989,56.7,50.0
Operational Resources (Thermal),97,DECORDOVA CTG 1,,DCSES_CT10,HOOD,GAS-GT,NORTH,1990,89.5,71.0
Operational Resources (Thermal),98,DECORDOVA CTG 2,,DCSES_CT20,HOOD,GAS-GT,NORTH,1990,89.5,70.0
Operational Resources (Thermal),99,DECORDOVA CTG 3,,DCSES_CT30,HOOD,GAS-GT,NORTH,1990,89.5,70.0
Operational Resources (Thermal),100,DECORDOVA CTG 4,,DCSES_CT40,HOOD,GAS-GT,NORTH,1990,89.5,71.0
Operational Resources (Thermal),101,DEER PARK ENERGY CENTER CTG 1,,DDPEC_GT1,HARRIS,GAS-CC,HOUSTON,2002,203.0,190.0
Operational Resources (Thermal),102,DEER PARK ENERGY CENTER CTG 2,,DDPEC_GT2,HARRIS,GAS-CC,HOUSTON,2002,215.0,202.0
Operational Resources (Thermal),103,DEER PARK ENERGY CENTER CTG 3,,DDPEC_GT3,HARRIS,GAS-CC,HOUSTON,2002,203.0,190.0
Operational Resources (Thermal),104,DEER PARK ENERGY CENTER CTG 4,,DDPEC_GT4,HARRIS,GAS-CC,HOUSTON,2002,215.0,202.0
Operational Resources (Thermal),105,DEER PARK ENERGY CENTER CTG 6,,DDPEC_GT6,HARRIS,GAS-CC,HOUSTON,2014,199.0,174.0
Operational Resources (Thermal),106,DEER PARK ENERGY CENTER STG 1,,DDPEC_ST1,HARRIS,GAS-CC,HOUSTON,2002,290.0,290.0
Operational Resources (Thermal),107,DENTON ENERGY CENTER IC A,,DEC_AGR_A,DENTON,GAS-IC,NORTH,2018,56.5,56.5
Operational Resources (Thermal),108,DENTON ENERGY CENTER IC B,,DEC_AGR_B,DENTON,GAS-IC,NORTH,2018,56.5,56.5
Operational Resources (Thermal),109,DENTON ENERGY CENTER IC C,,DEC_AGR_C,DENTON,GAS-IC,NORTH,2018,56.5,56.5
Operational Resources (Thermal),110,DENTON ENERGY CENTER IC D,,DEC_AGR_D,DENTON,GAS-IC,NORTH,2018,56.5,56.5
Operational Resources (Thermal),111,ECTOR COUNTY ENERGY CTG 1,,ECEC_G1,ECTOR,GAS-GT,WEST,2015,181.0,181.0
Operational Resources (Thermal),112,ECTOR COUNTY ENERGY CTG 2,,ECEC_G2,ECTOR,GAS-GT,WEST,2015,181.0,181.0
Operational Resources (Thermal),113,ENNIS POWER STATION CTG 2,,ETCCS_CT1,ELLIS,GAS-CC,NORTH,2002,260.0,209.0
Operational Resources (Thermal),114,ENNIS POWER STATION STG 1,,ETCCS_UNIT1,ELLIS,GAS-CC,NORTH,2002,140.0,116.0
Operational Resources (Thermal),115,EXTEX LAPORTE GEN STN CTG 1,,AZ_AZ_G1,HARRIS,GAS-GT,HOUSTON,2009,40.0,36.0
Operational Resources (Thermal),116,EXTEX LAPORTE GEN STN CTG 2,,AZ_AZ_G2,HARRIS,GAS-GT,HOUSTON,2009,40.0,36.0
Operational Resources (Thermal),117,EXTEX LAPORTE GEN STN CTG 3,,AZ_AZ_G3,HARRIS,GAS-GT,HOUSTON,2009,40.0,36.0
Operational Resources (Thermal),118,EXTEX LAPORTE GEN STN CTG 4,,AZ_AZ_G4,HARRIS,GAS-GT,HOUSTON,2009,40.0,36.0
Operational Resources (Thermal),119,FERGUSON REPLACEMENT CTG 1,,FERGCC_FERGGT1,LLANO,GAS-CC,SOUTH,2014,185.3,176.0
Operational Resources (Thermal),120,FERGUSON REPLACEMENT CTG 2,,FERGCC_FERGGT2,LLANO,GAS-CC,SOUTH,2014,185.3,176.0
Operational Resources (Thermal),121,FERGUSON REPLACEMENT STG 1,,FERGCC_FERGST1,LLANO,GAS-CC,SOUTH,2014,204.0,189.0
Operational Resources (Thermal),122,FORNEY ENERGY CENTER CTG 11,,FRNYPP_GT11,KAUFMAN,GAS-CC,NORTH,2003,196.7,167.0
Operational Resources (Thermal),123,FORNEY ENERGY CENTER CTG 12,,FRNYPP_GT12,KAUFMAN,GAS-CC,NORTH,2003,196.7,159.0
Operational Resources (Thermal),124,FORNEY ENERGY CENTER CTG 13,,FRNYPP_GT13,KAUFMAN,GAS-CC,NORTH,2003,196.7,159.0
Operational Resources (Thermal),125,FORNEY ENERGY CENTER CTG 21,,FRNYPP_GT21,KAUFMAN,GAS-CC,NORTH,2003,196.7,167.0
Operational Resources (Thermal),126,FORNEY ENERGY CENTER CTG 22,,FRNYPP_GT22,KAUFMAN,GAS-CC,NORTH,2003,196.7,159.0
Operational Resources (Thermal),127,FORNEY ENERGY CENTER CTG 23,,FRNYPP_GT23,KAUFMAN,GAS-CC,NORTH,2003,196.7,159.0
Operational Resources (Thermal),128,FORNEY ENERGY CENTER STG 10,,FRNYPP_ST10,KAUFMAN,GAS-CC,NORTH,2003,422.0,408.0
Operational Resources (Thermal),129,FORNEY ENERGY CENTER STG 20,,FRNYPP_ST20,KAUFMAN,GAS-CC,NORTH,2003,422.0,408.0
Operational Resources (Thermal),130,FREESTONE ENERGY CENTER CTG 1,,FREC_GT1,FREESTONE,GAS-CC,NORTH,2002,179.4,156.2
Operational Resources (Thermal),131,FREESTONE ENERGY CENTER CTG 2,,FREC_GT2,FREESTONE,GAS-CC,NORTH,2002,179.4,156.2
Operational Resources (Thermal),132,FREESTONE ENERGY CENTER CTG 4,,FREC_GT4,FREESTONE,GAS-CC,NORTH,2002,179.4,156.5
Operational Resources (Thermal),133,FREESTONE ENERGY CENTER CTG 5,,FREC_GT5,FREESTONE,GAS-CC,NORTH,2002,179.4,156.5
Operational Resources (Thermal),134,FREESTONE ENERGY CENTER STG 3,,FREC_ST3,FREESTONE,GAS-CC,NORTH,2002,190.7,178.0
Operational Resources (Thermal),135,FREESTONE ENERGY CENTER STG 6,,FREC_ST6,FREESTONE,GAS-CC,NORTH,2002,190.7,177.1
Operational Resources (Thermal),136,FRIENDSWOOD G CTG 1 (FORMERLY TEJAS POWER GENERATION),,FEGC_UNIT1,HARRIS,GAS-GT,HOUSTON,2018,129.0,119.0
Operational Resources (Thermal),137,FRONTERA ENERGY CENTER CTG 1,,FRONT_EC_CT1,HIDALGO,GAS-CC,SOUTH,2023,177.0,177.0
Operational Resources (Thermal),138,FRONTERA ENERGY CENTER CTG 2,,FRONT_EC_CT2,HIDALGO,GAS-CC,SOUTH,2023,177.0,177.0
Operational Resources (Thermal),139,FRONTERA ENERGY CENTER STG,,FRONT_EC_ST,HIDALGO,GAS-CC,SOUTH,2023,184.5,184.5
Operational Resources (Thermal),140,GRAHAM STG 1,,GRSES_UNIT1,YOUNG,GAS-ST,WEST,1960,239.0,239.0
Operational Resources (Thermal),141,GRAHAM STG 2,,GRSES_UNIT2,YOUNG,GAS-ST,WEST,1969,390.0,390.0
Operational Resources (Thermal),142,GREENS BAYOU CTG 73,,GBY_GBYGT73,HARRIS,GAS-GT,HOUSTON,1976,72.0,58.0
Operational Resources (Thermal),143,GREENS BAYOU CTG 74,,GBY_GBYGT74,HARRIS,GAS-GT,HOUSTON,1976,72.0,55.0
Operational Resources (Thermal),144,GREENS BAYOU CTG 81,,GBY_GBYGT81,HARRIS,GAS-GT,HOUSTON,1976,72.0,56.0
Operational Resources (Thermal),145,GREENS BAYOU CTG 82,,GBY_GBYGT82,HARRIS,GAS-GT,HOUSTON,1976,72.0,48.0
Operational Resources (Thermal),146,GREENS BAYOU CTG 83,,GBY_GBYGT83,HARRIS,GAS-GT,HOUSTON,1976,72.0,63.0
Operational Resources (Thermal),147,GREENS BAYOU CTG 84,,GBY_GBYGT84,HARRIS,GAS-GT,HOUSTON,1976,72.0,58.0
Operational Resources (Thermal),148,GREENVILLE IC ENGINE PLANT IC 1,,STEAM_ENGINE_1,HUNT,GAS-IC,NORTH,2010,8.4,8.2
Operational Resources (Thermal),149,GREENVILLE IC ENGINE PLANT IC 2,,STEAM_ENGINE_2,HUNT,GAS-IC,NORTH,2010,8.4,8.2
Operational Resources (Thermal),150,GREENVILLE IC ENGINE PLANT IC 3,,STEAM_ENGINE_3,HUNT,GAS-IC,NORTH,2010,8.4,8.2
Operational Resources (Thermal),151,GREGORY POWER PARTNERS GT1,,LGE_LGE_GT1,SAN PATRICIO,GAS-CC,COASTAL,2000,185.0,152.0
Operational Resources (Thermal),152,GREGORY POWER PARTNERS GT2,,LGE_LGE_GT2,SAN PATRICIO,GAS-CC,COASTAL,2000,185.0,151.0
Operational Resources (Thermal),153,GREGORY POWER PARTNERS STG,,LGE_LGE_STG,SAN PATRICIO,GAS-CC,COASTAL,2000,100.0,75.0
Operational Resources (Thermal),154,GUADALUPE ENERGY CENTER CTG 1,,GUADG_GAS1,GUADALUPE,GAS-CC,SOUTH,2000,181.0,158.0
Operational Resources (Thermal),155,GUADALUPE ENERGY CENTER CTG 2,,GUADG_GAS2,GUADALUPE,GAS-CC,SOUTH,2000,181.0,158.0
Operational Resources (Thermal),156,GUADALUPE ENERGY CENTER CTG 3,,GUADG_GAS3,GUADALUPE,GAS-CC,SOUTH,2000,181.0,158.0
Operational Resources (Thermal),157,GUADALUPE ENERGY CENTER CTG 4,,GUADG_GAS4,GUADALUPE,GAS-CC,SOUTH,2000,181.0,158.0
Operational Resources (Thermal),158,GUADALUPE ENERGY CENTER STG 5,,GUADG_STM5,GUADALUPE,GAS-CC,SOUTH,2000,204.0,200.0
Operational Resources (Thermal),159,GUADALUPE ENERGY CENTER STG 6,,GUADG_STM6,GUADALUPE,GAS-CC,SOUTH,2000,204.0,200.0
Operational Resources (Thermal),160,HANDLEY STG 3,,HLSES_UNIT3,TARRANT,GAS-ST,NORTH,1963,395.0,375.0
Operational Resources (Thermal),161,HANDLEY STG 4,,HLSES_UNIT4,TARRANT,GAS-ST,NORTH,1976,435.0,435.0
Operational Resources (Thermal),162,HANDLEY STG 5,,HLSES_UNIT5,TARRANT,GAS-ST,NORTH,1977,435.0,435.0
Operational Resources (Thermal),163,HAYS ENERGY FACILITY CSG 1,,HAYSEN_HAYSENG1,HAYS,GAS-CC,SOUTH,2002,242.0,213.0
Operational Resources (Thermal),164,HAYS ENERGY FACILITY CSG 2,,HAYSEN_HAYSENG2,HAYS,GAS-CC,SOUTH,2002,242.0,214.0
Operational Resources (Thermal),165,HAYS ENERGY FACILITY CSG 3,,HAYSEN_HAYSENG3,HAYS,GAS-CC,SOUTH,2002,252.0,213.0
Operational Resources (Thermal),166,HAYS ENERGY FACILITY CSG 4,,HAYSEN_HAYSENG4,HAYS,GAS-CC,SOUTH,2002,252.0,216.0
Operational Resources (Thermal),167,HIDALGO ENERGY CENTER CTG 1,,DUKE_DUKE_GT1,HIDALGO,GAS-CC,SOUTH,2000,176.6,143.0
Operational Resources (Thermal),168,HIDALGO ENERGY CENTER CTG 2,,DUKE_DUKE_GT2,HIDALGO,GAS-CC,SOUTH,2000,176.6,143.0
Operational Resources (Thermal),169,HIDALGO ENERGY CENTER STG 1,,DUKE_DUKE_ST1,HIDALGO,GAS-CC,SOUTH,2000,198.1,172.0
Operational Resources (Thermal),170,JACK COUNTY GEN FACILITY CTG 1,,JACKCNTY_CT1,JACK,GAS-CC,NORTH,2006,198.9,150.0
Operational Resources (Thermal),171,JACK COUNTY GEN FACILITY CTG 2,,JACKCNTY_CT2,JACK,GAS-CC,NORTH,2006,198.9,150.0
Operational Resources (Thermal),172,JACK COUNTY GEN FACILITY CTG 3,,JCKCNTY2_CT3,JACK,GAS-CC,NORTH,2011,198.9,165.0
Operational Resources (Thermal),173,JACK COUNTY GEN FACILITY CTG 4,,JCKCNTY2_CT4,JACK,GAS-CC,NORTH,2011,198.9,165.0
Operational Resources (Thermal),174,JACK COUNTY GEN FACILITY STG 1,,JACKCNTY_STG,JACK,GAS-CC,NORTH,2006,320.6,275.0
Operational Resources (Thermal),175,JACK COUNTY GEN FACILITY STG 2,,JCKCNTY2_ST2,JACK,GAS-CC,NORTH,2011,320.6,294.0
Operational Resources (Thermal),176,JOHNSON COUNTY GEN FACILITY CTG 1,,TEN_CT1,JOHNSON,GAS-CC,NORTH,1997,185.0,163.0
Operational Resources (Thermal),177,JOHNSON COUNTY GEN FACILITY STG 1,,TEN_STG,JOHNSON,GAS-CC,NORTH,1997,107.0,106.0
Operational Resources (Thermal),178,LAKE HUBBARD STG 1,,LHSES_UNIT1,DALLAS,GAS-ST,NORTH,1970,397.0,392.0
Operational Resources (Thermal),179,LAKE HUBBARD STG 2,,LHSES_UNIT2A,DALLAS,GAS-ST,NORTH,1973,531.0,523.0
Operational Resources (Thermal),180,LAMAR ENERGY CENTER CTG 11,,LPCCS_CT11,LAMAR,GAS-CC,NORTH,2000,186.0,161.0
Operational Resources (Thermal),181,LAMAR ENERGY CENTER CTG 12,,LPCCS_CT12,LAMAR,GAS-CC,NORTH,2000,186.0,153.0
Operational Resources (Thermal),182,LAMAR ENERGY CENTER CTG 21,,LPCCS_CT21,LAMAR,GAS-CC,NORTH,2000,186.0,153.0
Operational Resources (Thermal),183,LAMAR ENERGY CENTER CTG 22,,LPCCS_CT22,LAMAR,GAS-CC,NORTH,2000,186.0,161.0
Operational Resources (Thermal),184,LAMAR ENERGY CENTER STG 1,,LPCCS_UNIT1,LAMAR,GAS-CC,NORTH,2000,216.0,204.0
Operational Resources (Thermal),185,LAMAR ENERGY CENTER STG 2,,LPCCS_UNIT2,LAMAR,GAS-CC,NORTH,2000,216.0,204.0
Operational Resources (Thermal),186,LAREDO CTG 4,,LARDVFTN_G4,WEBB,GAS-GT,SOUTH,2008,98.5,92.9
Operational Resources (Thermal),187,LAREDO CTG 5,,LARDVFTN_G5,WEBB,GAS-GT,SOUTH,2008,98.5,90.1
Operational Resources (Thermal),188,LEON CREEK PEAKER CTG 1,,LEON_CRK_LCPCT1,BEXAR,GAS-GT,SOUTH,2004,48.0,46.0
Operational Resources (Thermal),189,LEON CREEK PEAKER CTG 2,,LEON_CRK_LCPCT2,BEXAR,GAS-GT,SOUTH,2004,48.0,46.0
Operational Resources (Thermal),190,LEON CREEK PEAKER CTG 3,,LEON_CRK_LCPCT3,BEXAR,GAS-GT,SOUTH,2004,48.0,46.0
Operational Resources (Thermal),191,LEON CREEK PEAKER CTG 4,,LEON_CRK_LCPCT4,BEXAR,GAS-GT,SOUTH,2004,48.0,46.0
