osm_id,osm_type,name,voltage_kv,operator,substation_type,lat,lon
453123217,way,Sendero Substation,138.0,Exelon,transmission,27.159492,-98.952439
453123224,way,Falcon Switching Station,138.0,American Electric Power,transmission,26.543821,-99.095474
453123229,way,San Ygnacio Substation,138.0,American Electric Power,distribution,27.06873,-99.384497
453123230,way,Lopeno Substation,138.0,South Texas Electric Cooperative,distribution,26.687554,-99.109533
453265488,way,Tubular Substation,138.0,Entergy,industrial,30.368368,-96.089526
454919432,way,East Bell County Substation,345.0,Oncor,transmission,31.004636,-97.259834
455133210,way,,138.0,,transmission,29.480694,-95.630462
455496450,way,Sutton Substation,69.0,Brazos Electric,distribution,30.815259,-96.527777
459614010,way,Helios Substation,138.0,Consolidated Edison,transmission,29.226006,-99.699698
461457412,way,Steep Hollow Substation,138.0,Bryan Texas Utilities,distribution,30.687855,-96.269524
461754591,way,Temple Northwest Substation,138.0,Oncor,distribution,31.109369,-97.402406
461754601,way,Temple North Substation,138.0,Oncor,distribution,31.134121,-97.336077
462426674,way,,138.0,,distribution,31.130855,-97.830791
462426683,way,Killeen Clarke Road Substation,138.0,Oncor,transmission,31.110389,-97.843383
462426691,way,Killeen Clear Creek Substation,138.0,Oncor,distribution,31.109994,-97.821223
462426696,way,Killeen Fort Hood West Substation,138.0,Oncor,distribution,31.109152,-97.812845
462426701,way,Killeen South Substation,138.0,Oncor,distribution,31.062997,-97.76857
462426736,way,Cedar Valley Substation,138.0,Brazos Electric,distribution,30.929271,-97.686333
462426741,way,Ding Dong Substation,138.0,Brazos Electric,distribution,30.987281,-97.766676
462426742,way,Trimmer Substation,138.0,Brazos Electric,distribution,31.007859,-97.681587
462426808,way,Killeen Fort Hood Substation,138.0,Oncor,distribution,31.132528,-97.766642
462426818,way,Nolanville Substation,138.0,Oncor,distribution,31.087061,-97.544968
462426819,way,Harker Heights Substation,138.0,Oncor,distribution,31.097757,-97.671845
462426821,way,Killeen Taft Street Substation,138.0,Oncor,distribution,31.101191,-97.707669
462426850,way,Temple South Substation,138.0,Oncor,distribution,31.07673,-97.374415
462426857,way,Cameron Substation,69.0,Oncor,distribution,30.849338,-96.989482
462426858,way,Marak Substation,69.0,Oncor,distribution,30.893326,-97.049106
462426879,way,Panda Temple 1 Substation,345.0,Panda Power,transmission,31.057184,-97.315213
462426880,way,Panda Temple 2 Substation,345.0,Panda Power,transmission,31.05759,-97.316307
462426907,way,Knob Creek Switching Station,345.0,Oncor,transmission,31.0562,-97.312961
462426943,way,Silver City Substation,69.0,Brazos Electric,distribution,30.916889,-96.92765
