line,edge_betweenness,is_bridge,n_overloaded,max_overload_ratio,total_mw_over_rating,creates_island,category
L809_2358_345,0.007435,False,191.0,5.9521,28439.93,False,top_eb
L564_1623_345,0.007311,False,192.0,5.945,28705.3,False,top_eb
L1516_3239_345,0.007249,False,191.0,5.9523,28477.45,False,top_eb
L451_453_138,0.007201,False,189.0,5.9514,28434.83,False,top_eb
L454_3066_138,0.007189,False,192.0,5.964,28484.08,False,top_eb
L454_3060_138,0.007161,False,192.0,5.964,28484.31,False,top_eb
L1533_3308_138,0.007156,False,191.0,5.9522,28483.58,False,top_eb
L2168_2358_345,0.00715,False,191.0,5.9519,28451.87,False,top_eb
L451_3066_138,0.007143,False,189.0,5.9514,28435.16,False,top_eb
L1582_2566_345,0.007108,False,196.0,5.9509,28947.75,False,top_eb
L210_814_345,0.007055,False,191.0,5.9522,28483.84,False,top_eb
L1679_1822_345,0.006989,False,191.0,5.9522,28477.11,False,top_eb
L1006_3060_345,0.006933,False,192.0,5.964,28484.31,False,top_eb
L1533_2146_345,0.006858,False,191.0,5.9523,28492.57,False,top_eb
L2168_3751_345,0.006835,False,192.0,5.9521,28526.22,False,top_eb
L3751_3752_345,0.006828,False,191.0,5.9516,28578.31,False,top_eb
L1695_2986_345,0.006815,False,191.0,5.952,28626.51,False,top_eb
L3532_3616_345,0.006782,False,191.0,5.9522,28476.0,False,top_eb
L1997_3592_345,0.006702,False,190.0,5.9517,29046.51,False,top_eb
L193_221_138,0.000145,False,191.0,5.9522,28478.64,False,random
L2362_2530_138,0.000154,False,189.0,5.9523,28422.87,False,random
L2403_3820_138,3.5e-05,True,,,,True,random
L2983_3658_345,0.00038,False,196.0,5.9523,28907.56,False,random
L1464_1465_138,7.1e-05,False,191.0,5.9523,28477.35,False,random
L713_3423_138,3.5e-05,True,,,,True,random
L1443_3267_138,0.000159,False,191.0,5.9522,28476.94,False,random
L1317_3218_138,6.2e-05,False,191.0,5.9522,28475.36,False,random
L36_2495_345,0.001595,False,190.0,4.0417,29796.05,False,random
L518_3480_345,0.00013,False,191.0,5.9474,28487.54,False,random
L560_3563_345,0.003561,False,191.0,5.9522,28478.47,False,random
L2796_2797_138,0.000296,False,192.0,5.9522,28486.29,False,random
L2686_2687_138,0.000166,False,191.0,5.9522,28467.66,False,random
L954_3739_138,0.000351,False,191.0,5.9522,28488.93,False,random
L3003_3649_345,0.000685,False,191.0,5.9522,28481.5,False,random
L1220_1223_138,0.000349,False,191.0,5.9523,28483.54,False,random
L2973_3570_345,0.000334,True,,,,True,random
L2322_3782_138,0.000232,False,193.0,5.9522,29115.71,False,random
L758_3440_345,0.00365,False,194.0,5.9118,28340.16,False,random
L1336_1346_138,1e-06,False,191.0,5.9523,28556.08,False,random
L2339_2340_138,0.000132,False,191.0,5.9522,28479.98,False,random
L1506_2378_345,0.000856,False,191.0,5.9522,28471.58,False,random
L52_893_138,0.004628,False,190.0,5.979,28742.77,False,random
L37_2534_345,0.000103,False,193.0,5.9205,28648.27,False,random
L495_497_345,0.000299,True,,,,True,random
L444_445_138,5.4e-05,False,189.0,5.9527,28505.25,False,random
L2980_3662_138,1e-06,False,191.0,5.9522,28471.57,False,random
L3039_3043_138,7e-05,True,,,,True,random
L1045_2886_138,0.000414,False,191.0,5.9521,28582.7,False,random
L635_1622_345,0.001026,False,193.0,5.9501,28536.96,False,random
L470_471_138,0.000134,False,191.0,5.9526,28467.13,False,random
L769_3463_138,0.000103,False,191.0,5.9632,28613.15,False,random
L2258_2565_138,8.6e-05,False,191.0,5.9522,28475.79,False,random
L502_3484_138,0.000615,False,190.0,5.9667,28544.34,False,random
L1632_2842_345,0.000659,False,197.0,5.9522,30145.37,False,random
L2089_2090_138,3.5e-05,True,,,,True,random
L1547_3089_138,0.000538,False,191.0,5.9522,28474.86,False,random
L2207_2691_138,0.000274,False,192.0,5.9522,28623.92,False,random
L3812_3814_345,0.000368,False,191.0,5.9522,28476.93,False,random
L1280_1758_138,4.9e-05,False,192.0,5.9522,28886.81,False,random
L1871_3149_345,0.000251,False,190.0,5.9522,28605.43,False,random
L910_3371_138,0.00148,False,191.0,5.9522,28477.1,False,random
