Bus ID,Zone,lat,lng,is_split,MW_Load_pop
0,NORTH,32.39461,-97.48555,False,0.0
1,SOUTH,29.10827,-96.53158,False,0.37940863288338167
2,SOUTH,29.75668,-99.09483,False,0.5705301085665326
3,WEST,31.19347,-102.31375,False,1.2201443177934714
4,WEST,32.90681,-101.008,False,0.0
6,SOUTH,29.18991,-95.96696,False,0.0
7,NORTH,32.50302,-97.31587,False,5.690110247747355
10,SOUTH,29.51861,-98.658,False,52.24829496674443
11,NORTH,32.82183,-97.32468,False,66.83793468183475
12,WEST,32.02003,-102.05202,False,0.0
13,WEST,34.11726,-99.29535,False,3.247867999563235
15,NORTH,32.9396,-97.29704,False,66.83793468183475
16,SOUTH,30.44337,-97.70491,False,33.5486577508426
17,SOUTH,30.23147,-97.61587,False,0.0
19,WEST,31.79932,-101.46658,False,0.0
20,NORTH,31.85347,-96.62211,False,0.0
21,WEST,33.84327,-99.05749,False,0.0
22,WEST,34.46737,-102.06921,False,1.915298460076056
23,WEST,31.20782,-102.18197,False,0.0
24,NORTH,31.75125,-96.88933,False,0.0
25,SOUTH,28.05705,-97.44614,False,0.0
26,SOUTH,27.93223,-97.32054,False,1.7457841679476718
27,SOUTH,27.1104,-99.33898,False,0.0
28,SOUTH,30.25678,-97.73789,False,33.5486577508426
29,SOUTH,29.31324,-98.40926,False,52.24829496674443
30,SOUTH,29.35065,-100.56183,False,0.09535271446668224
31,SOUTH,27.61896,-98.83998,False,0.0
32,WEST,31.3328,-103.50382,False,4.063586746105587
33,WEST,31.42735,-103.49939,False,4.063586746105587
34,WEST,31.29177,-103.11726,False,3.0517597508622205
35,WEST,31.27538,-103.11789,False,3.0517597508622205
36,WEST,31.60194,-102.9336,False,0.0
37,WEST,31.78326,-103.63812,False,0.0
38,WEST,31.66658,-104.11898,False,0.550171390324636
39,WEST,31.79555,-103.73119,False,0.01627876513212053
40,WEST,31.50875,-103.61641,False,4.063586746105587
41,WEST,31.50972,-103.51744,False,4.063586746105587
42,WEST,31.64451,-103.66514,False,0.01627876513212053
43,WEST,31.81435,-103.98314,False,0.01627876513212053
44,WEST,31.98282,-104.06337,False,0.01627876513212053
45,WEST,31.87419,-103.86124,False,0.01627876513212053
46,WEST,31.80671,-103.86121,False,0.0
47,WEST,31.93065,-103.65181,False,0.01627876513212053
48,WEST,31.82805,-104.22651,False,0.550171390324636
49,WEST,31.51033,-103.46487,False,0.0
50,WEST,31.04672,-103.72086,False,4.063586746105587
51,WEST,31.03758,-103.72261,False,4.063586746105587
52,WEST,31.07176,-102.39358,False,1.2201443177934714
53,WEST,31.08298,-102.39373,False,1.2201443177934714
54,HOUSTON,29.76442,-95.35242,False,83.24698545643164
55,NORTH,32.33789,-97.7334,False,0.0
56,SOUTH,29.8005,-98.66501,False,1.2139984129550023
58,WEST,31.58797,-102.95529,False,3.0517597508622205
59,NORTH,32.75166,-97.07414,False,66.83793468183475
60,SOUTH,29.79013,-98.52769,False,0.0
61,WEST,31.84822,-103.88277,False,0.01627876513212053
62,SOUTH,29.45061,-98.32232,False,52.24829496674443
63,SOUTH,27.43943,-98.90668,False,0.0
64,NORTH,33.25006,-97.09884,False,28.703793366077598
66,SOUTH,29.41708,-98.80624,False,52.24829496674443
67,NORTH,33.81677,-96.56865,False,4.313444622902094
68,NORTH,31.81883,-98.66382,False,0.0
69,NORTH,31.68432,-98.60377,False,0.0
70,NORTH,31.56758,-94.67882,False,2.0515557358728462
71,NORTH,31.60853,-94.6764,False,2.0515557358728462
72,NORTH,31.57891,-94.63905,False,2.0515557358728462
73,NORTH,31.51964,-94.35217,False,0.2688540279009102
74,WEST,32.62797,-100.54544,False,0.0
75,NORTH,31.33648,-94.39783,False,2.7477894999988077
76,NORTH,31.50842,-95.45852,False,0.7273308966817555
77,NORTH,31.61789,-95.48812,False,1.8323557852097014
78,NORTH,31.36924,-94.73903,False,2.7477894999988077
79,NORTH,31.22456,-94.71646,False,2.7477894999988077
80,NORTH,31.35835,-94.67945,False,2.7477894999988077
81,NORTH,31.41974,-94.67875,False,2.7477894999988077
83,NORTH,31.37078,-95.47703,False,0.7273308966817555
84,NORTH,31.42224,-95.66805,False,0.7273308966817555
85,NORTH,31.46013,-95.68741,False,0.7273308966817555
86,NORTH,31.35824,-95.31864,False,0.7273308966817555
87,NORTH,31.36444,-95.42513,False,0.7273308966817555
88,NORTH,31.23785,-95.58263,False,0.7273308966817555
89,NORTH,31.38188,-94.86745,False,2.7477894999988077
90,NORTH,31.35218,-96.01663,False,0.5431231369291531
91,NORTH,31.32937,-95.88879,False,0.5431231369291531
92,NORTH,31.1749,-95.85259,False,0.5431231369291531
93,NORTH,31.64738,-96.29671,False,0.624381020980241
94,NORTH,31.40082,-96.42652,False,0.7421827858555514
95,NORTH,31.35608,-96.16031,False,0.5431231369291531
96,NORTH,31.66542,-95.90613,False,0.624381020980241
97,NORTH,31.10489,-96.29459,False,0.5368530429922415
98,SOUTH,26.44478,-98.47748,False,0.0
99,SOUTH,29.53115,-97.14045,False,0.5240628871997584
100,WEST,31.33816,-103.50298,False,4.063586746105587
101,HOUSTON,29.96804,-95.48554,False,83.24698545643164
102,HOUSTON,29.99011,-95.45773,False,83.24698545643164
103,HOUSTON,29.93987,-95.532,False,0.0
104,HOUSTON,29.60677,-95.44696,False,83.24698545643164
105,HOUSTON,29.62692,-95.04858,False,6.020115713443166
106,HOUSTON,29.62874,-95.04513,False,6.020115713443166
107,HOUSTON,29.62347,-95.04538,False,6.020115713443166
108,HOUSTON,29.68151,-95.02151,False,0.8039219932001462
109,HOUSTON,29.68004,-95.01184,False,0.8039219932001462
110,HOUSTON,29.60152,-95.0145,False,6.020115713443166
111,HOUSTON,29.5977,-95.03135,False,6.020115713443166
112,HOUSTON,29.64605,-95.05363,False,6.020115713443166
113,HOUSTON,29.62312,-95.04194,False,6.020115713443166
114,HOUSTON,29.64326,-95.04051,False,6.020115713443166
115,HOUSTON,29.62272,-95.1178,False,83.24698545643164
116,HOUSTON,29.49159,-94.98456,False,6.020115713443166
117,HOUSTON,29.48898,-95.10952,False,6.020115713443166
118,HOUSTON,29.51551,-95.04268,False,6.020115713443166
120,HOUSTON,29.9126,-95.72465,False,0.9720824363924637
121,HOUSTON,29.46015,-95.25779,False,0.0
122,HOUSTON,29.06439,-95.73525,False,6.546081180420749
123,HOUSTON,29.48922,-95.46674,False,14.28207741068179
124,HOUSTON,29.70192,-95.84669,False,14.28207741068179
125,HOUSTON,30.08496,-95.9823,False,0.9720824363924637
126,HOUSTON,30.04819,-95.92693,False,0.9720824363924637
127,HOUSTON,30.15603,-95.92642,False,0.9720824363924637
128,HOUSTON,30.15967,-95.81008,False,0.9720824363924637
129,WEST,33.64465,-99.42083,False,0.0
130,SOUTH,26.52224,-97.65547,False,0.0
131,SOUTH,27.58909,-97.53485,False,8.906260766834833
132,WEST,32.88617,-101.09472,False,4.248503343778268
133,WEST,32.86387,-101.00965,False,0.0
