from_sub,to_sub,voltage_kv,length_km,category,circuits,X_pu,MVAmax,intersects
120437,120462,345,0.13574677873039284,mst,1,7.447397312408865e-05,1082,False
120440,120471,345,0.15216162716876017,mst,1,8.34795568504099e-05,1082,False
140353,140329,345,0.25133989277484736,mst,1,0.00013789115730474718,1082,False
111179,111370,345,0.29337296318553874,mst,1,0.00016095151855505715,1082,False
120468,120462,345,0.30739558834832464,mst,1,0.0001686446706082386,1082,False
111179,111332,345,3.4396747898271363,delaunay,1,0.0018870889626188781,1082,False
111317,110417,345,3.591596130619172,delaunay,1,0.0019704366925388105,1082,False
150521,150440,345,6.478764667496534,delaunay,1,0.003554407332808432,1082,False
120437,120471,345,8.111532345268477,delaunay,1,0.004450183256845466,1082,False
120440,120462,345,8.135792821602596,delaunay,1,0.004463493142202474,1082,False
111362,111389,345,0.3327920112179174,mst,1,0.00018257776376836806,1082,False
150521,150475,345,0.4750757412614815,mst,1,0.00026063806682944545,1082,False
111353,111293,345,1.0465290204650695,mst,1,0.0005741511870310359,1082,False
111279,111353,345,1.067932442683005,mst,1,0.0005858936232488992,1082,False
220141,220160,345,1.0837904906635887,mst,1,0.0005945937327480138,1082,False
111179,110417,345,19.876120655711993,neighbor_2,1,0.010904521561167764,1082,False
111179,111317,345,21.247470371412465,neighbor_2,1,0.011656877254805579,1082,False
111332,110417,345,21.49834049617859,neighbor_2,1,0.011794510685994217,1082,False
111332,111346,345,23.420318501066117,neighbor_2,1,0.012848954405541839,1082,False
190170,190178,345,23.435985729877004,neighbor_2,1,0.012857549827019268,1082,False
160252,160188,345,1.083951499688534,mst,1,0.000594682066201733,1082,False
111337,111207,345,1.26810879488588,mst,1,0.0006957152220629948,1082,False
210323,210326,345,1.3496566233137823,mst,1,0.0007404543373441714,1082,False
200171,200167,345,1.423558529107022,mst,1,0.0007809987141414707,1082,False
160247,160256,345,1.6998032309382236,mst,1,0.0009325532533523714,1082,False
150443,150475,345,8.199223559388457,delaunay,1,0.004498292782424418,1082,False
111323,111346,345,9.425962118771213,delaunay,1,0.005171311290533588,1082,False
111310,110417,345,10.33989779573965,delaunay,1,0.005672718555444649,1082,False
200193,200167,345,12.383145691549466,delaunay,1,0.00679369387656526,1082,False
160276,160256,345,13.64532008000796,delaunay,1,0.007486153339420455,1082,False
110417,111269,345,1.8600171743409812,mst,1,0.0010204505060656675,1082,False
111317,111269,345,2.6782811766342243,mst,1,0.001469369971301952,1082,False
130354,130329,345,4.105393576947654,mst,1,0.00225231842532814,1082,False
111035,111189,345,4.485774874002393,mst,1,0.0024610048248045057,1082,False
160264,160215,345,4.607603331784166,mst,1,0.0025278428696954925,1082,False
111332,110440,345,25.68940078598923,neighbor_2,1,0.014093827946440636,1082,False
111393,111346,345,28.51938315360727,neighbor_2,1,0.015646424868141603,1082,False
120415,270206,345,30.797302627233417,neighbor_2,1,0.01689614670496402,1082,False
120415,120462,345,31.048398724334643,neighbor_2,1,0.01703390411005295,1082,False
111332,111393,345,32.23520173508775,neighbor_2,1,0.017685013008201893,1082,False
170562,170479,345,5.245554098740736,mst,1,0.002877838123484731,1082,False
150479,150487,345,6.465418539430149,mst,1,0.003547085323459683,1082,False
111300,111284,345,6.491545658080961,mst,1,0.003561419294036435,1082,False
210335,210275,345,6.789562333240125,mst,1,0.003724918465537326,1082,False
170538,170548,345,7.924321035888141,mst,1,0.004347474594778371,1082,False
111393,111293,345,14.079660679060463,delaunay,1,0.007724443119871021,1082,False
160271,160252,345,14.182245188222913,delaunay,1,0.007780723468102972,1082,False
200127,200171,345,14.434508810317244,delaunay,1,0.0079191214057023,1082,False
160271,160139,345,14.473993030797564,delaunay,1,0.00794078340610024,1082,False
240237,240220,345,16.165963051350356,delaunay,1,0.008869039170369068,1082,False
140360,140338,345,9.346634518268852,mst,1,0.005127790246107591,1082,False
130357,170517,345,10.198422204268567,mst,1,0.005595101616792586,1082,False
240257,240273,345,10.265710839888177,mst,1,0.0056320177932761865,1082,False
170520,170168,345,10.303890247189326,mst,1,0.005652963941537181,1082,False
140338,140303,345,10.396730077826318,mst,1,0.005703898122932649,1082,False
140316,140334,345,10.814983949609186,mst,1,0.0059333623348832585,1082,False
240215,240220,345,10.860870089644843,mst,1,0.005958536583522859,1082,False
240215,240237,345,10.869330617425659,mst,1,0.005963178234134807,1082,False
270179,270216,345,11.518296106728142,mst,1,0.0063192164315845215,1082,False
270211,270153,345,11.746804135593573,mst,1,0.006444581474936024,1082,False
160247,160188,345,17.62084118698178,delaunay,1,0.009667220579793408,1082,False
150464,150487,345,18.29026660866239,delaunay,1,0.010034483592065985,1082,False
270179,270206,345,18.56646325675652,delaunay,1,0.010186011767831977,1082,False
160256,160188,345,18.720796635770352,delaunay,1,0.010270682800384828,1082,False
111035,111067,345,19.027086924009335,delaunay,1,0.010438721076562149,1082,False
160268,160261,345,11.896469349411934,mst,1,0.006526691438912827,1082,False
270179,270211,345,12.39007713297996,mst,1,0.006797496633342503,1082,False
110742,111067,345,12.534850995488423,mst,1,0.006876923083431162,1082,False
190160,190178,345,12.726495090818608,mst,1,0.006982063679314893,1082,False
110585,111171,345,13.056565509414446,mst,1,0.007163148311403179,1082,False
150513,150497,345,35.46491029964932,neighbor_2,1,0.01945690941035161,1082,False
111323,111171,345,39.52017748810615,neighbor_2,1,0.02168172728395994,1082,False
111300,111305,345,40.51330285751131,neighbor_2,1,0.022226579933589487,1082,False
111393,110883,345,40.82157508512734,neighbor_2,1,0.022395705549748506,1082,False
240257,220179,345,41.49025823887237,neighbor_2,1,0.022762561335840082,1082,False
240242,240276,345,13.268008828107316,mst,1,0.007279151241129239,1082,False
150430,150341,345,13.318623293820949,mst,1,0.0073069195638437974,1082,False
150430,260137,345,13.533434057211483,mst,1,0.00742476995535316,1082,False
240237,240208,345,13.619358041515992,mst,1,0.007471909935820157,1082,False
150526,150550,345,13.871668823781048,mst,1,0.007610333746632241,1082,False
111337,110943,345,19.028264929663287,delaunay,1,0.01043936735901712,1082,False
240220,240262,345,19.9766081681594,delaunay,1,0.01095965144617357,1082,False
130327,260119,345,21.25142842769034,delaunay,1,0.011659048740417384,1082,False
200029,200167,345,21.484380587202487,delaunay,1,0.011786851941561205,1082,False
160196,160209,345,21.648512754785273,delaunay,1,0.011876898827031954,1082,False
111216,110126,345,14.24375274562392,mst,1,0.007814468004950573,1082,False
220204,220154,345,14.427679576939966,mst,1,0.007915374722740431,1082,False
160284,160289,345,14.516150470696925,mst,1,0.007963911999466576,1082,False
220128,220179,345,14.891526022972796,mst,1,0.008169852126024984,1082,False
240166,240234,345,15.114014505161666,mst,1,0.00829191470016431,1082,False
111323,111207,345,46.67187067604889,neighbor_2,1,0.025605319513933987,1082,False
150375,150521,345,47.284752589190404,neighbor_2,1,0.02594156138688623,1082,False
150513,150426,345,47.81101076035254,neighbor_2,1,0.026230279375349892,1082,False
160264,160192,345,48.360859858172,neighbor_2,1,0.026531939917988922,1082,False
120415,120148,345,49.151712587128046,neighbor_2,1,0.02696582089426139,1082,False
130350,260119,345,15.678887162166376,mst,1,0.00860181753152249,1082,False
180129,180132,345,16.031692677047637,mst,1,0.008795375188499984,1082,False
190112,190191,345,16.044620413980034,mst,1,0.008802467658331412,1082,False
230288,230273,345,16.11720347575827,mst,1,0.00884228848533514,1082,False
170218,170118,345,16.279140536226375,mst,1,0.00893113108183644,1082,False
110972,111067,345,16.31353053800848,mst,1,0.008949998270379783,1082,False
200182,200143,345,16.961689544604937,mst,1,0.009305594011868956,1082,False
160196,160192,345,16.97682510192746,mst,1,0.00931389774548089,1082,False
200205,200175,345,17.063261116012896,mst,1,0.009361318637896594,1082,False
150500,150497,345,17.131506761751456,mst,1,0.009398759853328041,1082,False
190191,240267,345,23.47915480352258,delaunay,1,0.012881233427179369,1082,False
130367,130329,345,23.73057496693619,delaunay,1,0.01301916862290219,1082,False
220141,220099,345,24.12182260870211,delaunay,1,0.013233816562472153,1082,False
130367,130354,345,24.457594244087957,delaunay,1,0.01341802902028098,1082,False
150265,150430,345,24.776919604022275,delaunay,1,0.01359321865274232,1082,False
240270,240231,345,17.176631662012046,mst,1,0.009423516467375648,1082,False
220248,220189,345,17.263874791707263,mst,1,0.009471380162978235,1082,False
210347,210352,345,17.4294316979427,mst,1,0.009562208694607506,1082,False
140185,140303,345,17.445843277375047,mst,1,0.009571212484877887,1082,False
190170,190143,345,17.46100267438451,mst,1,0.00957952929751992,1082,False
240257,220210,345,50.47040122165543,neighbor_2,1,0.02768928544233648,1082,False
130310,130327,345,51.06197109392809,neighbor_2,1,0.02801383501309393,1082,False
210347,210342,345,53.24147636521073,neighbor_2,1,0.02920956443308768,1082,False
130310,130367,345,53.9369451523297,neighbor_2,1,0.029591115466894597,1082,False
120415,120031,345,54.37492464354919,neighbor_2,1,0.02983140163178965,1082,False
180124,180141,345,17.484786239192797,mst,1,0.009592577537654188,1082,False
240273,220184,345,18.23929746343022,mst,1,0.010006520683570623,1082,False
240267,240276,345,18.292616509316044,mst,1,0.010035772804522896,1082,False
190104,190191,345,18.64381396724545,mst,1,0.010228448242479546,1082,False
160203,160289,345,18.699163377186746,mst,1,0.010258814270365844,1082,False
180124,200205,345,24.81548492993443,delaunay,1,0.013614376525307443,1082,False
200175,200029,345,25.234927250505695,delaunay,1,0.013844492749069709,1082,False
160203,160252,345,25.76043587388733,delaunay,1,0.014132799517452995,1082,False
150265,260105,345,25.901140769760055,delaunay,1,0.014209993633819211,1082,False
160203,160188,345,25.93094231642162,delaunay,1,0.014226343484665675,1082,False
170168,170517,345,19.03862151797992,mst,1,0.010445049234396882,1082,False
190188,190163,345,19.16342751326616,mst,1,0.010513520828534175,1082,False
200182,200187,345,19.432412418128877,mst,1,0.010661092467160812,1082,False
220204,220157,345,19.449768253452767,mst,1,0.01067061429910074,1082,False
260206,130327,345,19.553751028354775,mst,1,0.010727661769809426,1082,False
120415,120494,345,54.5544749765152,neighbor_2,1,0.029929907296504455,1082,False
140372,140360,345,55.42388777177139,neighbor_2,1,0.03040688822933562,1082,False
130310,250328,345,57.587414649070205,neighbor_2,1,0.03159385151509586,1082,False
140372,230068,345,58.634616445057794,neighbor_2,1,0.03216837180308569,1082,False
111300,111279,345,58.80452949942912,neighbor_2,1,0.03226159022316927,1082,False
240234,240231,345,19.688624592520853,mst,1,0.010801656676258028,1082,False
