plant_code,lat,lon,state,grid_voltage_kv,grid_voltage_2_kv,grid_voltage_3_kv,nerc_region,balancing_authority
52158,38.8339,-122.881,CA,115.0,,,WECC,CISO
52160,35.076,-118.3664,CA,230.0,,,WECC,CISO
52161,35.0853,-118.3547,CA,230.0,,,WECC,CISO
52162,35.095797,-118.324772,CA,66.0,,,WECC,CISO
52163,35.102577,-118.332533,CA,66.0,,,WECC,CISO
52166,42.1569,-72.4227,MA,13.8,,,NPCC,ISNE
52168,40.869972,-73.824437,NY,26.4,,,NPCC,NYIS
52169,35.2269,-119.6294,CA,230.0,,,WECC,CISO
52171,44.08687,-70.229294,ME,12.0,,,NPCC,ISNE
52173,40.46439,-79.365703,PA,1.0,,,RFC,PJM
52175,30.1826,-93.3234,LA,230.0,,,SERC,MISO
52176,32.273178,-101.422386,TX,345.0,,,TRE,ERCO
52184,60.677,-151.3815,AK,25.0,,,,
52186,39.13667,-121.639846,CA,60.0,,,WECC,CISO
52187,44.396815,-122.350246,OR,4.16,,,WECC,PACW
52193,39.5871,-75.6343,DE,138.0,,,RFC,PJM
54004,32.5036,-82.8443,GA,115.0,,,SERC,SOCO
54006,46.12061,-111.407656,MT,100.0,,,WECC,NWMT
54015,34.033206,-117.906129,CA,12.0,,,WECC,CISO
54017,34.204311,-117.855714,CA,12.0,,,WECC,CISO
54033,26.2878,-80.1581,FL,138.0,,,SERC,FPL
54034,42.625325,-73.749955,NY,115.0,,,NPCC,NYIS
54038,32.7757,-115.2637,CA,92.0,,,WECC,IID
54041,43.161947,-78.744971,NY,115.0,,,NPCC,NYIS
54044,41.8675,-87.6524,IL,69.0,,,RFC,PJM
54050,48.0022,-123.6002,WA,69.0,,,WECC,BPAT
54051,48.0949,-123.5574,WA,69.0,,,WECC,BPAT
54057,42.166106,-83.212903,MI,41.0,,,RFC,MISO
54076,42.085944,-78.45425,NY,115.0,,,NPCC,NYIS
54081,37.4556,-77.4308,VA,230.0,,,SERC,PJM
54085,44.506273,-70.239474,ME,115.0,,,NPCC,ISNE
54087,33.360185,-79.302573,SC,35.8,,,SERC,SC
54091,32.1575,-93.5562,LA,13.8,,,SERC,MISO
54096,32.426016,-86.870912,AL,115.0,,,SERC,SOCO
54097,33.2553,-94.0696,TX,138.0,,,MRO,SWPP
54098,44.2826,-88.2534,WI,34.5,,,MRO,MISO
54099,43.891437,-73.396998,NY,115.0,,,NPCC,NYIS
54100,32.5292,-90.7742,MS,13.8,,,SERC,MISO
54101,31.166,-85.0951,GA,115.0,,,SERC,SOCO
54103,44.3364,-89.8672,WI,690.0,,,RFC,MISO
54104,33.6417,-94.1083,AR,69.0,,,SERC,SWPP
54111,32.7144,-115.5356,CA,92.0,,,WECC,IID
54114,40.6417,-73.7778,NY,138.0,,,NPCC,NYIS
54123,44.111236,-70.390673,ME,34.5,,,NPCC,ISNE
54124,44.721371,-69.411992,ME,34.5,,,NPCC,ISNE
54131,43.0483,-78.8539,NY,115.0,,,NPCC,NYIS
54134,45.647179,-68.704368,ME,115.0,,,NPCC,ISNE
54142,39.6419,-104.9138,CO,13.2,,,WECC,PSCO
54148,44.563031,-69.619162,ME,34.5,,,NPCC,ISNE
54149,40.916833,-73.129056,NY,69.0,,,NPCC,NYIS
54201,42.0275,-93.6394,IA,69.0,,,MRO,MISO
54202,44.087963,-70.212368,ME,12.0,,,NPCC,ISNE
54203,32.3133,-90.1797,MS,13.2,,,SERC,MISO
54207,41.2119,-80.8176,OH,138.0,,,RFC,PJM
54210,47.437562,-97.06311,ND,12.5,,,MRO,MISO
54211,46.9026,-96.76112,MN,12.5,,,MRO,SWPP
54212,47.76468,-96.633375,MN,12.5,,,MRO,MISO
54213,48.593158,-97.17608,ND,4.16,,,MRO,MISO
54214,47.927202,-97.007153,MN,12.5,,,MRO,MISO
54216,33.328107,-86.356825,AL,110.0,,,SERC,SOCO
54221,36.731111,-107.962778,NM,69.0,,,WECC,WACM
54224,44.020576,-92.465599,MN,13.8,,,MRO,MISO
54225,42.3436,-71.0559,MA,13.8,,,NPCC,ISNE
54228,42.5983,-72.3875,MA,13.8,,,NPCC,ISNE
54236,41.3315,-72.0786,CT,34.5,,,NPCC,ISNE
54238,37.943633,-121.330433,CA,60.0,,,WECC,CISO
54239,30.7917,-81.5333,GA,230.0,,,SERC,SOCO
54240,32.5256,-92.6497,LA,13.8,,,SERC,MISO
54242,32.7814,-117.0411,CA,12.0,,,WECC,CISO
54249,48.959547,-116.557375,ID,115.0,,,WECC,BPAT
54250,40.013993,-75.05283,PA,13.2,,,RFC,PJM
54251,44.49004,-121.298812,OR,69.0,,,WECC,PACW
54261,38.722141,-123.011188,CA,12.0,,,WECC,CISO
54262,44.09785,-92.479815,MN,13.8,,,MRO,MISO
54267,48.680178,-121.723294,WA,35.0,,,WECC,PSEI
54268,48.4708,-122.56,WA,115.0,,,WECC,PSEI
54271,36.0417,-115.0117,NV,138.0,,,WECC,NEVP
54276,35.9069,-79.0617,NC,12.47,,,SERC,DUK
54281,31.741629,-81.407856,GA,12.5,,,SERC,SOCO
54283,35.484488,-94.392858,AR,41.6,,,MRO,MISO
54285,44.760249,-92.867743,MN,12.47,,,MRO,MISO
54290,33.7533,-84.3889,GA,4.0,,,SERC,SOCO
54294,44.8256,-93.1139,MN,13.8,,,MRO,MISO
54296,33.906953,-118.013105,CA,12.0,,,WECC,CISO
54298,35.0583,-118.3417,CA,12.0,,,WECC,CISO
54299,35.075,-118.3417,CA,12.0,,,WECC,CISO
54300,35.0583,-118.3083,CA,66.0,,,WECC,CISO
54301,42.007778,-73.0356,CT,27.6,,,NPCC,ISNE
54302,41.988611,-73.0194,CT,27.6,,,NPCC,ISNE
54305,53.858508,-166.55288,AK,4.16,,,,
54306,42.628889,-114.174722,ID,12.46,,,WECC,IPCO
