substation_id,generator_ids,lat,lng,total_capacity_mw,num_generators,fuel_type
1,GT1;GPS;KRS;CBPB1;CROT;MPRES;KISCB;MPBS;4072C;4072G;P3879;4075;4072B;4075B;MPPV;71334;71335;MPES;RGP00;EQX36;BHD;INV#1;INV#2;NY3;3A;TG4;0001;001;KMFO1;JFK8;GT1;CR18B;CR18A;CTS0A;CTS0B;CTS0C;CTS0D;APP18;APP21;NHH03;NHH04;02;03;02;03;02;03;02;03;04;03-8L;01-8N;02-8P;NT26;NT27;NT28;NT24;NT25;GT48;GT11;GT12;GT13;GT14;GT15;GT16;GT17;GT21;GT22;GT23;GT24;GT25;GT26;GT27;GT28;GT31;GT32;GT33;GT34;GT35;GT36;GT37;GT38;GT41;GT42;GT43;GT44;GT45;GT46;GT47;04;05;ST5;GT1;GT1;1OBP;GT;GT1;CGTB;4S;VG02;VG03;GT1;GT1,40.71200564049184,-73.95248455911282,2021.1999999999998,103,MIXED
2,BR12;MADW;MU1;NRWCH;SC;NRWCB;ST5;ST6;SNGFD;P4739;P4471;8211;6609;6608;DEWIT;NEV;GL;CG-1;CG-4;CG-2;CG-3;20660;20660,42.67618458815132,-75.73669089950035,1915.8,23,MIXED
3,U005;U006;U001;U002;U003;U004;CT2;CT4;8;OBFC;21;81723;EFK,41.66451219601736,-73.65630681699855,1752.9,13,MIXED
4,21;22;10887;LIV;KIPP;GHENT;GRPRT;CLAV;U1;U2;GT1;GT1;CT2;TG2;CT2;ST3;FRHOL;8175A;7105;7104;8175C;10907;ORIOL;06945;CASTN;KDRHK;157;BE;BW;SNFRD;MYER;P4453;SGRTS;ULSTE;BLU;P4451;10891;10895;7BPV1;MT1;10890,42.24910036512123,-73.87241366327427,682.2,41,MIXED
5,MF01;10044;10045;MOVSO;VEPSO;08158;STATE;JOHN2;JOHNN;JOHNS;10046;BAP1;19822;19823;10116;5939;5779;OPPEN;10986;10896;6609;10999;10049;GE19H;HY1;8;P2;P1;C1;C4;C5;C2;C3;WT;1100;2600;10048;106;KNAGG;3595;131;3954;ASHDO;P3101;P3608;P3599;P3600;WASH;GLEN;SS1;SS2;SARA4;SARAT;SARA3;SO049;10254;RTE40;22;114;HERR1;KNY1;3954B;3595B;MG8;MG9;8;SRS1,43.01121125240207,-74.02197452549889,586.8000000000001,67,MIXED
6,175;40;41;390;391;10988;P5570;H3;H1;H2;H1;GRHM;1583;1731;10886;81724;7141;7140;SWI2;SWI3;RIO;RIO2;4683;BEACO;RILE1;RILE2;10892;GRA;CMRSL;10894;8175E;WALDN;GRA;MAYBK;WAS;10992;8;GT1;GV;11000;WT;CLWB;CENTR;JOGEE;FINCH;10898;AIRPT;10958;BATT;SHOE;CTG2,41.48894303832912,-74.43295113174203,485.09999999999997,51,MIXED
7,17;18;27;31;1N;2N;3N;4N;HY1;HY1;HY1,44.981401901234555,-74.81000423456787,243.0,11,HYDRO
8,WT;BALLH,42.24845257990867,-78.9901197716895,185.9,2,WIND
9,1G;2G;3G;DE1;RI1;8;8;8,43.67594732323233,-75.37129442424244,177.60000000000002,8,HYDRO
10,1A;65013,43.81974460801915,-75.57186499102333,167.1,2,WIND
11,928;10996;HAL20;HUN21;SMI21;10995;TSS;TSN;10993;10994;PASTO;VULC;235;CORT3;CORT1;P5564;CMUSW;CMUSW;CMUSW;TC3;372;6004;CSR1;ELLIS;5216;5467;5465;5466;5515;871,42.310957589506174,-76.37249434645064,129.6,30,SOLAR
12,SUTTG;LEAVG;RIV1;CALV;11933;STERG;U-01;BEH;FI1;BME,41.013222724863596,-72.52683833982854,128.29999999999998,10,MIXED
13,EPW01,42.101642,-77.701111,101.2,1,WIND
14,NY002;BR1CS;BR2CS;NYR12;GLSCS;X0140;NECB;SUT01;199;NY003;P4726;CSPV;LWCJ1;LECOU;RUSP1;ROSP1;DEK2;DEK1;SSIRE;ROCKI;LBN;LBS,44.30806540235296,-75.63285758823531,85.0,22,SOLAR
15,MROCS;SWANN;WLMRD;15557;23204;TNWDA;CORN;532;561;15889;18208;SS29;SSUN2;SS24;SS22;BROAD;81721;607;BULLS,43.01514338297873,-78.80860548226951,70.5,19,SOLAR
16,RWEAV;RV;SOLEA;HSW;HSE;11008;WVS1;WVS2;WVW;WVE;A4;1258;1415;1268;1413;HOUGH;TWNSD,42.35010315820895,-78.42568708358209,67.0,17,SOLAR
17,TB1;10967;10982;309;263;ORNGE;PODNQ;CATLI;ORANG,42.208996088235295,-77.15952157219252,37.4,9,SOLAR
18,NY001;FRANK;MALON;1444;1394;1023;1419;1011;496;1010,44.89026838589212,-73.83026612033194,24.099999999999998,10,SOLAR
19,WB1,44.887905,-74.11828,20.0,1,OTHER
20,NY6,42.804294,-78.827618,20.0,1,OTHER
21,BR1S;BR2S;NR12S;GLSS,44.25479,-76.01178,20.0,4,OTHER
22,NY004;26;ONSUN;BAL01;NGVB2,43.42316232558139,-76.22438046511627,12.9,5,SOLAR
23,CUMM;P4468;533;PORT1,42.40466381730769,-79.30775192307692,10.4,4,SOLAR
24,P5569;P5648,43.266283343283575,-75.18154498507462,6.7,2,SOLAR
25,11012,45.50275,-79.281723,4.6,1,SOLAR
26,15;WALTO,42.33653306976745,-75.06290693023256,4.3,2,SOLAR
27,SNWH2;SNWH1,43.543547000000004,-73.3241635,4.0,2,SOLAR
28,05;HY2,43.72302466666667,-74.28818466666667,3.9,2,HYDRO
29,14320,42.59251,-76.56563,3.0,1,OTHER
30,HY1;HY2,44.28100880487805,-74.60183929268294,2.2,2,HYDRO
