bus_id,sub_name,lat,lng,mw_load,target_gen_mw,assigned_gen_mw,shortfall_mw,num_generators,generator_ids,generator_capacities
22,Sub_22,33.172654,-96.9517,139.312,55.94245391153451,80.4,0.0,8,GEN1;H7891;H7892;H7893;CSS1;1;TOYHQ;5,1.3;0.4;0.4;0.4;2.0;2.8;7.7;65.4
213,Sub_213,31.051469,-97.500003,84.324,42.23484140591714,347.59999999999997,0.0,22,GEN1;GEN2;GEN3;GEN1;GEN2;GEN3;H1821;H1822;H1823;HTE10;HTE11;HTE12;HTEM1;HTEM2;HTEM3;HTEM4;HTEM5;HTEM6;HTEM7;HTEM8;HTEM9;STG-2,0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;339.2
873,Sub_873,29.76948097342341,-95.24315996428038,93.842,135.3292128401297,285.0,0.0,1,ST-1,285.0
914,Sub_914,30.210586796520573,-95.6496568343928,89.67,146.30018561875653,281.0,0.0,25,H7671;H7672;H7673;GEN1;GEN2;GEN3;H5941;H5942;H5943;GEN1;GEN2;GEN3;GEN1;GEN2;GEN3;H0991;H0992;H0993;H0201;H0202;H0203;GEN1;GEN2;GEN3;2,0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;271.4
1211,Sub_1211,31.813260100145033,-102.48851299415396,133.766,340.737187727892,409.4,0.0,17,WSI1;WSI10;WSI11;WSI12;WSI13;WSI14;WSI15;WSI2;WSI3;WSI4;WSI5;WSI6;WSI7;WSI8;WSI9;STG2;CTG1,0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;224.4;176.0
433,Sub_433,27.368619,-99.347342,143.452,101.25592276766939,150.0,0.0,1,1,150.0
476,Sub_476,27.634419,-98.496692,4.636,3.5778831890112466,150.0,0.0,1,1,150.0
630,Sub_630,36.276881,-101.996725,4.042,3.8032320379466116,10.0,0.0,1,JDW5,10.0
309,Sub_309,29.699688,-95.584817,130.03,69.87499858548802,121.0,0.0,2,CTG-1;CTG-2,60.5;60.5
153,Sub_153,32.881821,-97.345943,94.754,45.20135526380725,101.2,0.0,4,GEN1;GEN2;GEN3;CHS01,0.4;0.4;0.4;100.0
686,Sub_686,32.689865,-102.724434,33.52,31.930195454954386,100.0,0.0,1,LAP,100.0
865,Sub_865,34.93777477429984,-101.91605343657332,46.132,26.717680852666618,166.5,0.0,3,UT-1;MT-1;ASTRA,3.4;0.1;163.0
1005,Sub_1005,30.68016886450153,-96.41003877771861,90.156,126.6173432141082,136.59999999999997,0.0,26,7;TAM10;TAM11;TAM12;TAM13;TAM14;TAM15;TAM16;TAM17;TAM18;TAM19;TAM20;TAM21;TAM22;TAM23;TAM24;TAMU1;TAMU2;TAMU3;TAMU4;TAMU5;TAMU6;TAMU7;TAMU8;TAMU9;1,22.0;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;105.0
882,Sub_882,29.587331385583095,-98.49632568439426,127.184,112.16137635623457,211.8,0.0,2,RANCH;STG1,9.9;201.9
405,Sub_405,29.097035,-97.282413,22.094,42.97688747322987,49.2,0.0,1,7,49.2
975,Sub_975,32.40252906618221,-99.80071019391596,115.318,172.12547791089827,202.4,0.0,7,H0701;H0702;H0703;GEN1;GEN2;GEN3;1,0.4;0.4;0.4;0.4;0.4;0.4;200.0
502,Sub_502,25.943923,-97.317944,179.258,123.16924579532188,137.2,0.0,6,GEN1;GEN2;GEN3;10;9;6,0.4;0.4;0.4;61.0;50.0;25.0
370,Sub_370,29.688455,-95.05738,75.398,146.54028187314927,176.4,0.0,2,1;2,88.2;88.2
158,Sub_158,33.114714,-97.173909,58.480000000000004,107.57771648705095,117.5,0.0,4,4;DEC1;DEC10;DEC11,61.1;18.8;18.8;18.8
314,Sub_314,29.694401,-95.649565,156.48,124.94641486931775,133.4,0.0,33,FLD10;FLD11;FLD12;FLD13;FLD14;FLD15;FLD16;FLD17;FLD18;FLD19;FLD20;FLD21;FLD22;FLD23;FLD24;FLD25;FLD26;FLD27;FLD28;FLID1;FLID2;FLID3;FLID4;FLID5;FLID6;FLID7;FLID8;FLID9;GEN1;GEN2;GEN3;CTG-3;CTG-4,0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;60.5;60.5
4,Sub_4,33.114327,-96.693964,85.912,56.25977053588297,166.5,0.0,19,H7961;H7962;H7963;GEN1;H7941;H7942;H7943;GEN1;GEN2;GEN3;GEN1;H7901;H7902;H7903;GEN1;GEN1;GEN2;GEN3;3,0.4;0.4;0.4;1.3;0.4;0.4;0.4;0.4;0.4;0.4;1.3;0.4;0.4;0.4;1.3;0.4;0.4;0.4;156.6
955,Sub_955,32.25335096767001,-96.71674659977704,1.794,2.5842588927299146,134.7,0.0,1,TXEB1,134.7
862,Sub_862,29.922672669968144,-95.39617462754312,126.812,61.69547823788925,86.2,0.0,4,GEN1;GEN2;GEN3;51,0.4;0.4;0.4;85.0
885,Sub_885,32.598824944058336,-96.97019609834065,134.39000000000001,73.74125600222985,139.6,0.0,10,GEN1;GEN2;GEN3;GEN1;GEN2;GEN3;GEN1;GEN2;GEN3;7,0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;136.0
951,Sub_951,29.472134456662516,-95.02072078166971,125.388,46.81190118135164,81.10000000000001,0.0,2,DIKN;BCGT1,9.9;71.2
568,Sub_568,29.729903,-100.881337,95.986,170.38338478385177,182.3,0.0,2,RKSP;1,149.3;33.0
811,Sub_811,30.47444836179815,-97.75456993272695,114.34,158.9958623649831,252.0,0.0,4,1;2;3;PSF,36.0;36.0;36.0;144.0
142,Sub_142,32.532677,-97.306547,144.986,218.53975504850516,283.79999999999995,0.0,5,GEN1;GEN2;GEN3;GT-1;ST-1,0.4;0.4;0.4;178.2;104.4
864,Sub_864,32.804089598338685,-97.0903382958232,127.61,223.7292912479376,420.2,0.0,13,PV1;TG1;TG2;GEN1;GEN2;GEN3;GEN1;GEN2;GEN3;GEN1;GEN2;GEN3;3,1.2;5.3;5.3;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;404.8
642,Sub_642,35.109084,-102.017887,37.02,34.09974336206604,161.0,0.0,1,GEN1,161.0
809,Sub_809,30.34985465033519,-97.75074172645849,108.298,124.25912196777404,191.8,0.0,2,PV1;5C,1.8;190.0
934,Sub_934,32.77600108161734,-96.61190668044154,127.914,62.23715442085971,533.4,0.0,7,GEN1;GEN2;GEN3;GEN1;GEN2;GEN3;2,0.4;0.4;0.4;0.4;0.4;0.4;531.0
845,Sub_845,31.84287035965285,-106.46472700750195,122.36800000000001,56.60475798758078,105.7,0.0,7,DEPIC;9541;9542;3001;3002;3003;1,2.0;2.1;2.1;4.2;4.2;4.2;86.9
805,Sub_805,29.63032654760441,-95.19112090796159,123.644,173.1593713848713,229.7,0.0,24,GEN1;GEN2;GEN3;GEN1;GEN2;GEN3;H0541;H0542;H0543;GEN1;GEN2;GEN3;GEN1;GEN2;GEN3;H7691;H7692;H7693;TG2;GEN1;GEN2;GEN3;GEN1;CTG2,0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;0.4;35.0;0.4;0.4;0.4;1.3;185.0
385,Sub_385,30.797736,-96.312084,24.496000000000002,23.1200972752329,49.1,0.0,1,2,49.1
15,Sub_15,32.664684,-97.029478,188.12,214.3375845635026,216.89999999999998,0.0,5,GEN1;GEN2;GEN3;6;GER01,0.4;0.4;0.4;135.7;80.0
537,Sub_537,30.560604,-97.54626,74.596,126.73326488658354,130.0,0.0,3,TX19;TX21;AES1,50.0;50.0;30.0
321,Sub_321,29.909513,-95.651476,147.912,193.65033624804656,255.0,0.0,3,52;53;54,85.0;85.0;85.0
512,Sub_512,26.296191,-98.299959,82.672,92.02311291749628,279.6,0.0,25,GEN1;GEN2;GEN3;CC1;CC10;CC11;CC12;CC13;CC14;CC15;CC2;CC3;CC4;CC5;CC6;CC7;CC8;CC9;GEN1;GEN2;GEN3;GEN1;GEN2;GEN3;CTG1,0.4;0.4;0.4;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.4;0.4;0.4;0.4;0.4;0.4;267.0
1045,Sub_1045,32.41882858466378,-97.16416408297152,58.502,65.856311036439,289.0,0.0,1,STK1,289.0
337,Sub_337,30.094665,-95.586187,120.23,81.23179796871295,85.0,0.0,1,55,85.0
