bus_id,sub_name,lat,lng,mw_load,target_gen_mw,assigned_gen_mw,shortfall_mw,num_generators,generator_ids,generator_capacities
381,Sub_381,40.805237939496685,-72.83366635859045,182.866,316.29196955669306,393.9,0.0,10,SOUTH;GEN1;GEN2;NORTH;9WUBN;SWM-1;SWM-2;SWM-3;CT01;ST01,1.2;1.3;1.3;1.3;31.5;2.8;2.8;2.8;196.2;152.7
197,Sub_197,40.68742774072621,-73.70422441093233,173.284,153.3447641002323,338.6,0.0,10,14;12;13;11;10;9;GEN1;GEN2;GEN3;ST1,6.2;5.5;5.5;5.2;3.5;3.5;47.1;47.1;27.0;188.0
444,Sub_444,43.111420109685085,-77.40405435413633,156.612,320.8479223745185,679.4,0.0,25,83022;GEN5;GEN6;GEN7;GEN8;GEN1;GEN2;GEN3;GEN4;1159;1442;MONA;MONB;101;850KW;CPH;1142;1181;1244;1;1420;HP;LP;11054;1,5.0;1.6;1.6;1.6;1.6;0.8;0.8;0.8;0.8;2.0;1.4;1.7;1.7;2.0;0.9;0.5;2.3;2.3;2.3;3.0;3.0;18.2;7.2;2.3;614.0
308,Sub_308,43.16747834671552,-77.71571315404344,191.05,283.51675785248955,286.1000000000001,0.0,46,ROC01;11018;41TG;42TG;43TG;44TG;17TG;75TG;KPR1;1035;617;1034;13500;300;635;10972;10951;MONC;MOND;MONE;10971;10961;SWED1;GEN1;GEN2;GEN3;GEN4;GEN5;GEN6;GEN7;GEN8;RDMNS;RDMNN;HS1;AVON2;HAM1;LIV4;304;NY006;TWNLN;GEN1;LIC01;CFM31;CFM11;GEN1;GEN2,1.8;5.0;25.6;25.6;25.6;25.6;15.0;3.0;0.4;2.5;2.2;2.5;1.6;2.0;2.0;5.0;3.7;2.0;2.0;2.0;4.5;4.5;5.0;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;5.0;1.5;5.0;4.0;4.5;2.0;1.4;5.0;5.0;5.0;2.0;2.0;2.0;47.7;18.5
26,Sub_26,40.701954,-73.942358,175.198,77.81011679744796,168.0,0.0,2,N01;01,47.0;121.0
575,Sub_575,43.313959872536714,-76.11076761608166,36.638,94.85322116598363,99.3,0.0,36,CLAY1;PV1;PV1;CCBA2;CCPV2;1-02;2-01;CCBA1;CCPV1;PV1;VOLES;VOLNE;VOL1;4725B;4725;P5567;GEN1;SYR1;1;2;3;4;5;6;7;1;2;1;2;NECA;UNT1;UNT2;BESS;1;2;NY005,5.0;2.0;1.0;5.0;5.0;1.6;1.6;5.0;5.0;2.0;3.0;1.5;5.0;2.5;2.0;3.7;3.5;1.0;2.0;2.0;2.0;1.0;1.0;0.5;0.5;0.8;0.5;5.0;5.0;5.0;1.8;1.8;2.0;4.0;4.0;5.0
364,Sub_364,41.256781623879625,-74.35633067498074,49.314,83.13679805347898,342.9,0.0,21,1725;CH;BESS;GLNMR;LWRD3;LWRD2;MINI2;MINI1;456LR;SGOSH;BESS;11;20;JF01;100LR;PV1;SLT;MIN01;MIN;8175D;STG,2.0;2.0;2.0;2.0;2.0;2.0;2.0;1.8;1.4;5.0;4.5;2.0;1.7;2.0;2.0;1.5;2.0;2.0;1.0;2.0;300.0
390,Sub_390,42.91969479768358,-76.34436829528093,32.464,57.52734463538994,71.9,0.0,3,TWEL;GEN1;GEN1,4.7;1.7;65.5
34,Sub_34,40.599148,-73.99609,180.744,85.91074691924445,88.0,0.0,4,NT11;NT12;NT13;NT14,22.0;22.0;22.0;22.0
201,Sub_201,40.83643720658991,-73.83256132980748,192.294,174.12916068841542,174.7,0.0,23,ND001;ND002;GEN2;GEN3;GEN4;U0007;GEN4;GEN3;C3245;ES006;ES007;S0001;S0002;S0003;GEN1;GEN2;GEN3;GEN4;GEN5;GEN6;HG01;HG02;18002,1.5;1.5;16.0;12.9;12.9;1.7;1.5;1.1;5.0;5.3;3.5;1.6;1.6;1.6;2.0;2.0;2.0;2.0;2.0;2.0;47.0;47.0;1.0
179,Sub_179,40.700896469432465,-73.74705723875597,172.536,133.24665490319262,317.0,0.0,6,ESS98;1;2;MER01;S049;ST2,2.0;60.5;60.5;1.2;4.8;188.0
515,Sub_515,42.33148548060011,-75.29586792084842,11.598,27.23118018645804,115.1,0.0,2,AFTON;BLUES,3.3;111.8
266,Sub_266,40.811882787562524,-73.67369645721918,152.732,203.65247590372863,216.0,0.0,4,GT2;GT3;GT4;GT5,55.0;55.0;53.0;53.0
423,Sub_423,40.830160489884506,-73.8167773533112,176.46200000000002,336.51030822967977,425.0,0.0,2,ST1;CT1,255.0;170.0
198,Sub_198,40.68449621667424,-73.38898938354652,184.812,165.0366366933518,173.8,0.0,13,CG1;CG2;CG3;CG4;CG5;SLBAB;GEN1;CTG;STG;DNN1;NRT1;CEDR1;GEN5,0.2;0.2;0.2;0.2;0.2;9.0;17.0;50.0;32.0;2.0;1.0;1.8;60.0
100,Sub_100,43.830086,-75.734774,4.542,2.632265513206321,79.9,0.0,1,CPHGN,79.9
233,Sub_233,43.21582124711716,-75.46152508962663,83.078,92.66116933755362,108.5,0.0,15,NECA;10016;MRT01;TRSP;10991;ONW;ONS;PV1;JR;81722;10998;SR5;FOX;GEN1;GEN2,5.0;2.0;2.0;2.0;4.8;1.9;1.9;1.5;5.0;3.8;5.0;4.4;5.0;47.7;16.5
17,Sub_17,40.869953,-73.865765,201.734,84.3170847157911,101.0,0.0,8,A1;A2;A3;B1;B2;B3;HR01;HR02,2.0;1.0;1.0;1.0;1.0;1.0;47.0;47.0
425,Sub_425,40.75456079698631,-73.01979349584337,195.11,375.71310971180446,399.99999999999994,0.0,7,HOLTS;LINC;NA1;1;10;2;3,1.2;2.0;170.0;56.7;56.7;56.7;56.7
263,Sub_263,43.17560334829819,-77.63254840321734,194.322,252.8623767188475,373.60000000000014,0.0,73,TWLL;RICH1;100;PV1;PV1;19;1;2;BO;10889;20206;GEN1;20205;DAUM;GEN10;GEN11;GEN9;GEN1;GEN2;GEN3;GEN4;GEN5;GEN6;GEN7;GEN8;28;29;29;GATES;BEALS;ALLIS;ARGOS;30;NYRWY;1;2;3;6081;FLS1;WT1;WT2;10997;GEN1;GEN2;65002;KNPPE;KNPPW;10;11;12;GE15;GE16;GE17;GE18;GE10;GE11;GE12;GE13;GE14;GEN1;GEN2;GEN3;GEN4;GEN5;GEN6;GEN7;GEN8;GEN9;1;10968;10975;MAINR;1,1.2;5.0;2.0;1.3;2.0;2.0;2.0;2.0;4.0;2.0;4.0;5.8;3.0;4.0;1.6;1.6;1.6;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;2.0;2.0;2.0;1.9;3.5;5.0;2.0;2.0;3.0;0.5;0.5;0.5;4.0;1.9;1.7;1.7;5.0;39.4;17.2;24.7;5.0;5.0;0.5;0.5;0.5;1.6;1.6;1.6;1.6;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;0.8;37.5;2.0;2.0;5.0;126.0
360,Sub_360,43.10047860410299,-77.52923637203924,174.702,292.731891912864,300.0,0.0,18,23;24;25;10965;4;32;TRY01;TRY02;TRY03;10970;BH;1;BF;V47;PV1;US40;US963;1,1.7;1.7;1.7;5.0;112.0;2.0;4.6;5.0;5.0;5.0;5.0;87.5;4.0;6.6;1.2;5.0;5.0;42.0
176,Sub_176,40.700046443444315,-73.80092311300754,192.642,144.01039441178838,250.0,0.0,1,ST2,250.0
574,Sub_574,41.68325442121065,-73.89857338842465,184.53,473.05331586871864,494.20000000000005,0.0,15,UND;GEN1;PV1;4942;10888;BAT;JBTB2;5324;1;P4450;05658;UVALE;4;3;2,2.0;9.2;1.8;2.0;2.0;2.0;1.6;2.0;1.0;3.9;5.0;1.7;239.4;147.1;73.5
484,Sub_484,40.72022225560994,-73.30537930334818,163.014,357.8372697659395,739.9,0.0,21,CT01;CT02;1;BRT1;DRP1;CLN1;CLN2;ATT49;RVH1;BLYD;BLA;GEN6;GEN7;GEN2;GEN3;KIPS1;KIPS2;ATC04;GEN1;GEN1;2,50.0;50.0;47.0;1.0;2.5;2.5;1.5;1.0;1.5;1.5;2.0;60.0;36.0;33.7;16.2;2.0;2.0;2.0;28.0;12.5;387.0
385,Sub_385,41.44047582728682,-74.4812521791291,120.014,209.4270349405352,240.8,0.0,4,MHW;MHE;8175B;CTG1,1.9;1.9;2.0;235.0
49,Sub_49,40.738843,-73.878539,192.99,104.78554047436042,200.0,0.0,1,CT3,200.0
205,Sub_205,40.74325315752723,-73.63824001868282,138.63,129.7034279750495,145.1,0.0,4,GEN1;3;2;CT5,78.6;3.1;2.9;60.5
12,Sub_12,40.829886,-73.908121,180.958,72.66591948233793,188.0,0.0,1,CA01,188.0
40,Sub_40,40.597143,-73.973426,161.0,80.63907625768061,102.6,0.0,9,DG2;DG3;DG4;DG5;SDM00;NT15;NT16;NT17;NT18,3.2;3.2;3.2;3.2;1.8;22.0;22.0;22.0;22.0
298,Sub_298,42.703533757640585,-77.68519443245721,6.5440000000000005,9.437079013936286,130.0,0.0,1,1,130.0
