substation_id,generator_ids,lat,lng,total_capacity_mw,num_generators,fuel_type
1,STG10;STG11;STG12;STG13;STG14;STG15;STG3;STG4;STG9;STG5;STG6;STG7;STG8;56;43;44;31;32;33;34;CTG3;ST1;GEN6;GEN7;GEN6;GEN7;CHP1;ST;CTG3;CTG3;CTG4;CTG3;CTG4;CTG3;CTG4;CTG6;CTG3;CTG4;SJ-1;SJ-2;83;84;73;74;81;82;ST34;MG202;GT01;RAVC1;RAVC2;RAVC3;RAVC4;RAVC5;RAVC6;RAVC7;RAVC8;GT38;GT45;GT41;GT42;GT43;GT44;CTG3;42;41;41;42;GEN4;SWNY;P1;BCGT4;BCGT5;BCGT6;BCGT2;BCGT3;CTG-9;CTG10;TR2;TR3;H8S;MUN1;MUN2;MUN3;MUN4;IPS1;IPS2;IPS3;IPS4;IPS5;IPS6;IPS7;IPS8;ALVIN;MANGO;H0283;H0281;H0282;GT1A;ST1A;WT1;SMTBC;H2923;H2921;H2922;ANGLE;BRAZ;BESS;TX23;FJSOL;CT1PV;1215;BRZ01;LBSOL;ST1;TR1;CTG-5;CTG-6;CTG-5;CTG-6;CTG-5;CTG-6;CTG-5;CTG-6;CTG-5;CTG-6;CTG-7;CTG-8;CTG-7;CTG-8;CTG-7;CTG-8;SW1;SW2;H0631;H0632;H0633;H0634;SW9;SW1;SW10;SW11;SW12;SW13;SW14;SW15;SW2;SW3;SW4;SW5;SW6;SW7;SW8;H7603;H7601;H7602;H1103;H1101;H1102;GE11;GEN6;MK11;MK12;MK13;MK14;MK15;MK2;MK3;MK4;MK9;MK1;MK10;MK5;MK6;MK7;MK8;GEN4;PRAX3;PRAX1;PRAX2;G-61;G-63;G-65;G-67;65GTG;G84;G83;G81;G82,29.518973822866457,-95.31048912867826,9253.199999999999,189,MIXED
2,ST3;EP3;EP;EP2;CT2;ST1;CT4;ST1;3N80;2N80;N802;N803;N804;3ST1;ST3;HC1;HC2;H0483;H0481;H0482;TG22;TG32;TG34;ETG;TG33;TG23;TG24;TG43;TG41;TG42;GEN4;GEN5;GEN4;GEN5;GEN4;GEN5;GEN4;GEN5;GEN 5;GEN4;GN42;GN43;GN31;GN32;GN33;GN34;GN44;GN35;GN41;GCG1;GCG2;UN1;UN2;GT1B;BESS;CT4;TG;CT2;CT2;CT3;CT2;CT3;CT2;CT3;CT2;CT3;ST3;ST4;CT3;CT4,30.073748170488813,-94.05230452555048,5459.5,70,MIXED
3,SEALY;UNIT5;UNIT6;STG9;CT7;CT8;ST1;ST2;CT2A;CT2B;CT1A;CT1B;ST1;ST2;ST1;ST2;ST1;ST2;CT4A;CT4B;ST1;ST2;CT2A;CT2B;CT1A;CT1B;ST2;ST1;FBS;CSBS1;AKS01;GS1;GS1;GS10;BO3;ST1;ST2;TBG1,29.26643031816554,-96.13367675282156,5459.099999999999,38,MIXED
4,SUNS;PTSDK;TXWHT;FILES;STK4;STK5;STK6;STK2;STK3;H0553;H0551;H0552;VH700;VH600;VH750;BEK1;BEK2;BEK3;BEK4;ENG3;ENG1;ENG2;BTKEL;PSGAH;D1;D2;D1;D2;ST1;LILY;LILYB;ST2;U1;U2;U1;U2;U4;U5;GT-2;STG4;D5;D3;D4;GTG1;GTG2;GTG3;GTG1;GTG2,32.20199351883538,-96.58705351672769,5393.299999999999,48,MIXED
5,SD;CW;TAH;001;MSCRK;LSPV1;IVORY;SP1;IPJNO;JUNO1;RO1;LWG1;LWG2;CT6;PYRBT;INABT;TSN1;AM-TX;FLUV1;GCWF;DERM;COY;SCW;TX13;CT02;STG,32.88067785062641,-101.23561232129312,3823.3,26,MIXED
6,GTG01;STG02;TX11;CT4;CT5;CT4;CT5;CTG3;U4;ROSEB;ST1;U6;OG1;OG2,31.12058908420325,-96.42249296274055,3312.4000000000005,14,MIXED
7,WT1;HTX;ST;CTA;CTB;SH6;SH7;SH1;SH2;SH3;SH4;0003;0001;0002;FIBE1;WT1;NF;5CT1;CT2;WTG;HW001;LIMEW,30.34523059016044,-97.50340739613969,3146.8,22,MIXED
8,SF1;OCIA7;ASKYS;HWFG1;HCWF;WSPWF;WINER;KC1;KC2;ASKYB;ASWBE;WYOUN;SHAN1;WND2;OLNEY;GTC;GTA;GTB,33.178288274546276,-99.30596282243344,2903.7,18,MIXED
9,3TBG1;TBG6;TBG4;TBG5;3TBG2;TBG2;TBG3;PC1;PC2;G2101;G2201;VP-1;VP-2;VP2-1;VP2-2;H0921;H0922;H0923;H0924;LOOP;CTZH7;CTZH1;CTZH2;CTZH3;CTZH4;CTZH5;CTZH6;VWWTP;VC-1;VC-2;WT1;BLKJK;TG3;TX2;GEN5;GE10;IGT;WT1;EEA;WT1;WT,28.561203864078895,-96.71522049584861,2707.5000000000005,41,MIXED
10,BSII;BS3;WTW;EWF;LOC;WTGS;GPI;GPII;GTWND;FOARD;CAMPO;ESCA,33.86350476349614,-99.46742507766612,2567.3999999999996,12,WIND
11,WT1;SMTMB;MAD01;IGN01;MV1;MVII;ERAYM;SMTNM;GENE;GENA;GENB;GENC;GEND;SMTSR;SR5;SR6;SR7;SR8;SR9;SR1;SR10;SR11;SR12;SR13;SR14;SR15;SR2;SR3;SR4;WRAYM;SMTEL;RR9;RR1;RR10;RR11;RR12;RR13;RR14;RR15;RR2;RR3;RR4;RR5;RR6;RR7;RR8;SMTAL;H0383;H0381;H0382;NEB1;VAN1;SMTH2;EPC11;EPC12;EPC13;EPC14;EPC15;EPC2;EPC3;EPC4;EPC9;EPC1;EPC10;EPC5;EPC6;EPC7;EPC8;VQ9;VQ1;VQ10;VQ11;VQ12;VQ13;VQ14;VQ15;VQ2;VQ3;VQ4;VQ5;VQ6;VQ7;VQ8;LMAJ;CAM1;PW;LC;SRWI;SMTLF;VC9;VC1;VC10;VC5;VC6;VC7;VC8;VC11;VC12;VC13;VC14;VC15;VC2;VC3;VC4,26.463729886799534,-97.6143377976529,2469.4,104,MIXED
12,RAN;WM001;WSHAM;WAPPA;HILO;HILO2;EXIS;NWP2;01;01,30.989362255415934,-101.74885895257397,2216.3,10,WIND
13,GT-2;ST-4;OBR1B;OBR1A;PHOEB;GE;VESTA;BATT;GS9;GS5;GS6;GS7;GS8;GS11;GS12;GS13;GS14;GS15;GS2;GS3;GS4;WTGS1;PROSP;PROSP;2WPSO;2WPBA;FRA9;FRA1;FRA10;FRA11;FRA12;FRA13;FRA14;FRA15;FRA2;FRA3;FRA4;FRA5;FRA6;FRA7;FRA8;BAK9;BAK1;BAK10;BAK11;BAK12;BAK13;BAK14;BAK15;BAK2;BAK3;BAK4;BAK5;BAK6;BAK7;BAK8;TWD5;TWD6;TWD7;TWD8;TWD9;TWD1;TWD10;TWD11;TWD12;TWD13;TWD14;TWD15;TWD2;TWD3;TWD4,32.066045720911724,-102.72637833751509,2073.0,71,MIXED
14,GE-P4;GE-P2;GE-P3;HALE1;EXIS;RT661;GRVWI;GVII;BFW;SPII;WEC;CPWF;OSWF,34.01061027408824,-101.52570664256615,1839.3,13,WIND
15,WIND;OWF;BRKAT;LCW1;AVTOR;WTGS;STRAE,31.70906334983089,-101.04176581949334,1618.0,7,WIND
16,BMP;WTG1;SW3;MESQ;SW4;SW5;MNW,32.07297839889889,-99.62683162671001,1503.1,7,WIND
17,BKTH1;RODR1;RODR2;CRN1;CGAP;UCTX;GREA1;PV2;OCIA6;PEARL,31.10098216983696,-102.32241733152175,1472.0,10,SOLAR
18,1A;20A;1C;1A;1B;23001;RCT3;RCT1;RCT2;GEN5;UNT2;SJC1;SJC2,30.454833340006214,-95.41308759714018,1366.9,13,MIXED
19,GE1.7;JDW6;JDW4;GR01,36.30327685746689,-101.42876547237871,1366.7,4,WIND
20,WT1;MVRCK;STG;CT-1;CT-2;BC;JUNCT,30.710601424061586,-98.82961711191837,1324.5,7,MIXED
21,ST;CGT5;STG6,31.543724498405954,-97.56526960361319,1171.8000000000002,3,NATURAL_GAS
22,CVS;GSM01;GS2SF;HSF01;RMBLR;BBS2,31.593045686199662,-100.21940664248903,1047.8,6,SOLAR
23,BA;BA;BA;FLRV1;BA;BAT1;UPT1;TRBT1;BA;FAULK;TOYAH;CDRVL;CYTSP;SDLBK;TX7;HOEFS;SWOO1;LNSTR;RTLSK;GOMEZ;BA;TX8;RODE1,31.230781651739505,-102.57872303782331,1042.8,23,OTHER
24,BC;KW1;CGWIN;FTWI;WTG1,31.64853747030357,-98.53008627584691,929.2,5,WIND
25,671;14;15;655;656;657;658;666;667;16;17;2723;654;WCCWF;BTCOO;NBSLR;NBSTG;DEC3;DEC4;DEC5;DEC6;DEC7;DEC8;DEC9;DEC12;DEC2,33.33378604865464,-97.25486269713726,813.9,26,MIXED
26,6A;ELK1;E13;E14;E15;E16;E17;E18;E01;E02;E03;E04;E05;E06;E07;E08;E09;E10;E11;E12;ELK2;ELK3,33.811497678018554,-101.81351871052632,788.8000000000001,22,NATURAL_GAS
27,ST3;ST6;GTG3;BLUEJ;STG;GEN4,31.270001149565218,-95.15113301579707,752.0,6,MIXED
28,RELOJ;GEWTG;WJ21,27.264367519344557,-99.09608321529359,659.1,3,WIND
29,MIDWY;PAT1;CHA1,27.68263064528,-97.4989134456,625.0,3,WIND
30,5CA1;5CT2;GT-4;GT-2;GT-3,31.881062906478324,-106.29064699805161,615.9000000000001,5,NATURAL_GAS
31,GT1A;STG;GT1B;STG,28.692812208144797,-97.86981180945202,608.8,4,NATURAL_GAS
32,JRWND;PWR;CBRKS,34.96120550442176,-102.26978915272109,588.0,3,WIND
