zcta,lat,lon,population,load_mw
75001.0,32.960047,-96.838522,15418,30.836
75002.0,33.089854,-96.6086,73916,147.832
75006.0,32.962141,-96.898585,52231,104.462
75007.0,33.005262,-96.896742,57513,115.026
75009.0,33.338899,-96.752977,15348,30.696
75010.0,33.049963,-96.873013,30784,61.568
75013.0,33.114327,-96.693964,42956,85.912
75019.0,32.963417,-96.984664,43137,86.274
75020.0,33.770785,-96.604061,23216,46.432
75021.0,33.727114,-96.470771,9454,18.908
75022.0,33.03489,-97.124906,28773,57.546
75023.0,33.056789,-96.730859,50923,101.846
75024.0,33.075422,-96.802686,43041,86.08200000000001
75025.0,33.090085,-96.740008,54653,109.306
75028.0,33.03271,-97.06007,48641,97.282
75032.0,32.857112,-96.43121,33956,67.912
75034.0,33.149434,-96.860974,116155,232.31
75035.0,33.157388,-96.778665,80269,160.538
75038.0,32.874776,-96.996862,29886,59.772
75039.0,32.885608,-96.942654,20627,41.254
75040.0,32.928902,-96.619782,61508,123.016
75041.0,32.880196,-96.651555,31250,62.5
75042.0,32.911702,-96.674838,37458,74.916
75043.0,32.857447,-96.575798,62721,125.442
75044.0,32.964609,-96.649688,45284,90.568
75048.0,32.969015,-96.579523,26062,52.124
75050.0,32.773069,-97.005227,43190,86.38
75051.0,32.729439,-96.996469,41317,82.634
75052.0,32.664684,-97.029478,94060,188.12
75054.0,32.59121,-97.039429,13045,26.09
75056.0,33.070183,-96.917762,59674,119.348
75057.0,33.050725,-96.974623,16670,33.34
75058.0,33.450768,-96.742245,3329,6.658
75060.0,32.796483,-96.954806,49307,98.614
75061.0,32.825907,-96.966915,53983,107.966
75062.0,32.84737,-96.957871,49296,98.592
75063.0,32.920035,-96.984164,39831,79.662
75065.0,33.11034,-97.00545,13026,26.052
75067.0,33.013747,-97.000171,67197,134.394
75068.0,33.172654,-96.9517,69656,139.312
75069.0,33.178236,-96.590218,37582,75.164
75070.0,33.171698,-96.695086,109085,218.17
75071.0,33.245816,-96.63072,62769,125.538
75074.0,33.031561,-96.673164,53459,106.918
75075.0,33.021268,-96.741558,37310,74.62
75076.0,33.800692,-96.726011,8297,16.594
75077.0,33.081178,-97.060925,38764,77.528
75078.0,33.241332,-96.812388,34300,68.60000000000001
75080.0,32.976063,-96.74208,53708,107.416
75081.0,32.948918,-96.709719,40825,81.65
75082.0,32.991567,-96.662949,23418,46.836
75087.0,32.942177,-96.452525,36718,73.436
75088.0,32.897817,-96.550352,26823,53.646
75089.0,32.936586,-96.551566,37310,74.62
75090.0,33.604131,-96.550405,25732,51.464
75092.0,33.652066,-96.700263,26297,52.594
