a_id,b_id,a_name,b_name,a_lat,a_lon,b_lat,b_lon,voltage_tier,is_bridge,bridge_pop_cut,eb_unweighted,eb_popweighted,sced_binding
1900,687,Rutherford Substation,Buda Substation,30.11771,-97.98582,30.07541,-97.85145,EDGES_MID_LO,0,0,522288.0734868051,18785180898135.836,0
2445,2446,Rogers Substation,Sandow Station,30.91928,-97.20123,30.57752,-97.07657,EDGES_HIGH,0,0,162562.8957351657,18748812259660.86,0
4556,2532,,Willow Creek Substation,33.04436,-98.3394,33.05657,-97.91063,EDGES_HIGH,0,0,308062.74645742343,18713306909052.88,0
1492,2453,East Bell County Substation,Temple Switching Station,31.00464,-97.25983,31.07924,-97.30788,EDGES_HIGH,0,0,158114.23992388812,18651124168055.035,0
1492,2445,East Bell County Substation,Rogers Substation,31.00464,-97.25983,30.91928,-97.20123,EDGES_HIGH,0,0,159903.52784928767,18569165912105.95,0
4964,3365,,,31.37047,-97.35884,31.15391,-97.33257,EDGES_MID_LO,1,666964.0357142856,121742.0,18370203751138.984,0
1330,3365,Temple North Substation,,31.13412,-97.33608,31.15391,-97.33257,EDGES_MID_LO,1,666964.0357142856,125910.0,18370203751138.984,0
2586,2102,Kendall Substation,Mountain Top Substation,29.9848,-98.88652,30.23007,-98.37035,EDGES_MID_LO,0,0,564226.2583781468,18247385604898.555,0
2102,2103,Mountain Top Substation,Miller Creek Substation,30.23007,-98.37035,30.26202,-98.29849,EDGES_MID_LO,0,0,562747.910759099,18215095125834.098,0
180,2407,Meadow Substation,Magnolia Substation,29.46015,-95.25779,29.48846,-95.13393,EDGES_HIGH,0,0,248003.79040599614,18209019555203.934,0
179,2598,Fry Road Substation,Zenith Substation,29.9126,-95.72465,29.9102,-95.77729,EDGES_HIGH,0,0,426789.7159351892,18125203034493.516,0
1898,1900,Dripping Springs Substation,Rutherford Substation,30.17373,-98.08387,30.11771,-97.98582,EDGES_MID_LO,0,0,515340.3323457628,17987918656153.016,0
2787,5243,Forney Substation,,32.75792,-96.48718,32.67204,-96.5263,EDGES_HIGH,0,0,329792.5244581585,17927350323487.44,0
1898,1895,Dripping Springs Substation,Henly Substation,30.17373,-98.08387,30.20273,-98.157,EDGES_MID_LO,0,0,515320.7220936627,17884709004268.38,0
2805,5230,Tri-Corner Substation,,32.55367,-96.53777,32.66698,-96.52489,EDGES_HIGH,0,0,337039.69071779394,17840672961231.973,0
2103,1895,Miller Creek Substation,Henly Substation,30.26202,-98.29849,30.20273,-98.157,EDGES_MID_LO,0,0,515823.7411412818,17831488630733.9,0
5243,5230,,,32.67204,-96.5263,32.66698,-96.52489,EDGES_HIGH,0,0,331065.16271107894,17797360179872.996,0
2097,2413,Stratt Substation,Oasis Substation,29.04995,-95.35466,29.45615,-95.30837,EDGES_HIGH,0,0,215128.18703955074,17715291258084.715,0
4556,2533,,Parker Substation,33.04436,-98.3394,32.80628,-97.67598,EDGES_HIGH,0,0,407316.5175737672,17652302997289.22,0
4346,2579,,Venus Substation,32.52138,-97.14041,32.44417,-97.0728,EDGES_HIGH,0,0,377233.02168935974,17594271302507.74,0
3225,3579,,,33.48677,-97.18307,33.46201,-97.29195,EDGES_MID_LO,0,0,582606.9587121886,17518703708560.07,0
4964,5380,,,31.37047,-97.35884,31.4268,-97.31138,EDGES_MID_LO,1,627730.857142857,113400.0,17314231407296.748,0
2060,3404,Pledger Substation,,29.18844,-95.91163,29.17341,-95.76098,EDGES_MID_LO,0,0,228525.44573763778,17291186027252.818,0
2064,3404,West Columbia Substation,,29.15672,-95.65747,29.17341,-95.76098,EDGES_MID_LO,0,0,228181.19787439008,17291186027252.818,0
1330,1869,Temple North Substation,Temple Elm Creek Substation,31.13412,-97.33608,31.13104,-97.33034,EDGES_MID_LO,0,0,111595.50944237062,17135596689847.342,0
3579,1500,,West Krum Substation,33.46201,-97.29195,33.32486,-97.31096,EDGES_HIGH,0,0,583410.5332948376,16916265580275.037,0
2635,179,Cameron Substation,Fry Road Substation,29.91878,-95.65007,29.9126,-95.72465,EDGES_MID_LO,0,0,408122.61713390535,16844761598295.725,0
152,4852,T. H. Wharton Substation,,29.93987,-95.532,29.93834,-95.53737,EDGES_HIGH,0,0,399987.80019120657,16619290927755.76,0
2635,4852,Cameron Substation,,29.91878,-95.65007,29.93834,-95.53737,EDGES_HIGH,0,0,400937.50206710864,16619290927755.76,0
5380,1790,,Waco Atco Substation,31.4268,-97.31138,31.48529,-97.25074,EDGES_MID_LO,1,588497.6785714285,105050.0,16255180578853.242,0
1500,4542,West Krum Substation,,33.32486,-97.31096,33.2197,-97.25985,EDGES_HIGH,0,0,342739.5481683163,16194250011844.107,0
2836,2615,W. A. Parish Station (345 kV),Missouri City Substation,29.4809,-95.62368,29.61277,-95.53023,EDGES_HIGH,0,0,270530.18599571503,16038704497585.502,0
4877,2454,,Temple Pecan Creek Substation,31.46645,-96.98671,31.12979,-97.26079,EDGES_HIGH,0,0,170264.56728798684,16011340148812.824,0
3620,110,,Claytonville Substation,32.79216,-99.9217,32.62797,-100.54544,EDGES_HIGH,0,0,1046773.8596185796,15570621686140.977,0
3620,1534,,West Shackleford Substation,32.79216,-99.9217,32.63558,-99.53768,EDGES_HIGH,0,0,1052654.0596185795,15570621686140.977,0
110,2503,Claytonville Substation,Scurry County South Substation,32.62797,-100.54544,32.59813,-100.86102,EDGES_HIGH,0,0,1044028.3373963576,15505828006987.67,0
960,962,Spring Branch Substation,Dobbin Substation,30.33329,-95.69866,30.35076,-95.78147,EDGES_MID_LO,0,0,185190.37335800918,15468261409051.83,0
2504,2511,Morgan Creek Substation,Tonkawa Substation,32.33425,-100.91598,32.53108,-100.6842,EDGES_HIGH,0,0,1113871.8108563772,15408708473384.67,1
1792,1790,Waco Woodway Substation,Waco Atco Substation,31.51218,-97.2223,31.48529,-97.25074,EDGES_MID_LO,1,549264.5,100872.0,15193051265808.174,0
1936,4597,Thompsons Substation,,29.4813,-95.58651,29.47425,-95.62287,EDGES_MID_LO,0,0,190217.4218539011,15069598556461.371,0
2836,4597,W. A. Parish Station (345 kV),,29.4809,-95.62368,29.47425,-95.62287,EDGES_HIGH,0,0,193696.29093759516,15015447406917.582,0
4602,2471,,McCree Substation,32.85763,-96.65362,32.87251,-96.66293,EDGES_HIGH,0,0,101707.85758794562,14977169697038.986,0
4795,215,,Deer Lake Substation,30.32763,-95.67895,30.3113,-95.62547,EDGES_MID_HI,0,0,176932.37335801125,14970606991170.172,0
960,4795,Spring Branch Substation,,30.33329,-95.69866,30.32763,-95.67895,EDGES_MID_HI,0,0,181061.3733580104,14970606991170.172,0
2500,5134,Comanche Switching Station,,31.86908,-98.55358,32.18137,-98.13796,EDGES_HIGH,0,0,370858.6725146563,14852649367071.865,0
126,2719,Centerville I-45 Substation,Jewett Substation,31.35218,-96.01663,31.37077,-96.13328,EDGES_MID_LO,0,0,208166.43357965202,14741864408945.742,0
2948,2615,,Missouri City Substation,29.64843,-95.4507,29.61277,-95.53023,EDGES_HIGH,0,0,244233.35065482615,14735659107326.377,0
1936,185,Thompsons Substation,Arcola Substation,29.4813,-95.58651,29.48922,-95.46674,EDGES_MID_LO,0,0,186390.93613961557,14632858539857.785,0
1968,215,Fish Creek Substation,Deer Lake Substation,30.29738,-95.54773,30.3113,-95.62547,EDGES_MID_LO,0,0,172803.3733580131,14473632367324.94,0
2497,5284,Everman Substation,,32.64001,-97.25149,32.63421,-97.24683,EDGES_HIGH,0,0,266363.8067249717,14316665154099.922,0
4346,5284,,,32.52138,-97.14041,32.63421,-97.24683,EDGES_HIGH,0,0,268154.7860606883,14316665154099.922,0
185,2414,Arcola Substation,Karsten Substation,29.48922,-95.46674,29.49104,-95.42993,EDGES_MID_LO,0,0,183231.29068507015,14290564340885.023,0
2806,2431,Zorn Substation,Lytton Springs Substation,29.77339,-97.94985,30.00544,-97.67367,EDGES_HIGH,0,0,268210.6354777274,14276427178811.717,0
126,127,Centerville I-45 Substation,Pleasant Springs Tap,31.35218,-96.01663,31.32937,-95.88879,EDGES_MID_LO,0,0,204613.82519788045,14246917374792.22,0
2064,2239,West Columbia Substation,Angleton Substation,29.15672,-95.65747,29.22658,-95.42917,EDGES_MID_LO,0,0,175548.9909052851,14208618644557.283,0
1792,1793,Waco Woodway Substation,Waco Sanger Avenue Substation,31.51218,-97.2223,31.52251,-97.19705,EDGES_MID_LO,1,510031.3214285715,96692.0,14127843468160.838,0
2413,2414,Oasis Substation,Karsten Substation,29.45615,-95.30837,29.49104,-95.42993,EDGES_HIGH,0,0,177197.6828815309,14068242426399.533,0
216,1968,Ponderosa Substation,Fish Creek Substation,30.29933,-95.49294,30.29738,-95.54773,EDGES_MID_HI,0,0,168674.37335801354,13976657743479.477,0
1553,4287,San Miguel Switchyard,,28.70035,-98.46994,28.68787,-98.48193,EDGES_MID_LO,0,0,272906.35956336604,13558501825185.965,0
4833,962,,Dobbin Substation,30.11788,-95.60172,30.35076,-95.78147,EDGES_HIGH,0,0,163204.03078803472,13525355429084.574,0
2789,2717,South Texas Project Switchyard,South Texas Project Tap,28.79973,-96.05052,28.8759,-96.10722,EDGES_HIGH,0,0,199171.91264570667,13521571262840.057,0
5203,127,,Pleasant Springs Tap,31.34244,-95.62966,31.32937,-95.88879,EDGES_MID_LO,0,0,197793.266223522,13299520222369.0,0
731,1862,Logan's Gap Wind Substation,Brown Substation,31.80298,-98.69439,31.53799,-99.1959,EDGES_HIGH,0,0,351558.3440878116,13203808731791.979,0
1869,4879,Temple Elm Creek Substation,,31.13104,-97.33034,31.12804,-97.31899,EDGES_MID_LO,0,0,90668.76981628078,12973870136963.365,0
2454,4879,Temple Pecan Creek Substation,,31.12979,-97.26079,31.12804,-97.31899,EDGES_MID_LO,0,0,97053.98559962571,12973870136963.365,0
2737,645,Fayetteville Substation,Fayette Plant #2 Substation,29.96263,-96.68771,29.91346,-96.75604,EDGES_HIGH,0,0,170006.82897326283,12971180962567.021,0
5216,2497,,Everman Substation,32.67458,-97.22819,32.64001,-97.25149,EDGES_MID_LO,0,0,265740.77279848885,12958690004477.06,0
5216,4603,,,32.67458,-97.22819,32.7282,-97.21651,EDGES_MID_LO,0,0,258397.90350988423,12958690004477.06,0
2562,2708,Singleton Substation,Grimes Substation,30.66122,-95.97373,30.62408,-95.90912,EDGES_HIGH,0,0,165701.63006477678,12934196827553.049,0
3225,5407,,,33.48677,-97.18307,33.54941,-97.12351,EDGES_HIGH,0,0,519519.6558956818,12840730309502.113,0
5408,5407,,,33.55079,-97.09925,33.54941,-97.12351,EDGES_HIGH,0,0,518531.2396503655,12840730309502.113,0
5408,2523,,Anna Substation,33.55079,-97.09925,33.31793,-96.63889,EDGES_HIGH,0,0,513364.44708794093,12840730309502.113,0
1672,3392,Sam Switching Station,,31.89724,-97.0182,31.86444,-97.01577,EDGES_HIGH,0,0,130394.84769473404,12655836198230.766,0
