GEN,UnitOnT0State,PowerGeneratedT0
CPSES_UNIT1,1000,1142.1
CPSES_UNIT2,1000,1142.1
STP_STP_G1,1000,1228.5
STP_STP_G2,1000,1228.5
COLETO_COLETOG1,24,262.0
FPPYD1_FPP_G1,24,246.0
FPPYD1_FPP_G2,24,246.0
FPPYD2_FPP_G3,24,184.0
CALAVERS_JKS1,24,224.0
CALAVERS_JKS2,24,368.8
LEG_LEG_G1,24,357.2
LEG_LEG_G2,24,382.72
MLSES_UNIT1,24,357.2
MLSES_UNIT2,24,357.2
MLSES_UNIT3,24,357.2
OGSES_UNIT1A,24,366.72
OGSES_UNIT2,24,366.72
SANMIGL_G1,24,172.0
SCES_UNIT1,24,403.2
TNP_ONE_TNP_O_1,24,69.84
TNP_ONE_TNP_O_2,24,69.84
WAP_WAP_G5,24,293.64
WAP_WAP_G6,24,293.64
WAP_WAP_G7,24,245.84
WAP_WAP_G8,24,261.6
BRAUNIG_AVR1_CT1,24,56.7
BRAUNIG_AVR1_CT2,24,56.7
BRAUNIG_AVR1_ST,24,66.6
ATKINS_ATKINSG7,24,2.1
B_DAVIS_B_DAVIG3,24,56.88
B_DAVIS_B_DAVIG4,24,56.88
B_DAVIS_B_DAVIG1,24,105.84
B_DAVIS_B_DAVIG2,24,105.3
BASTEN_GTG1100,24,56.4
BASTEN_GTG2100,24,56.4
BASTEN_ST0100,24,72.6
BCH_UNIT1,24,6.05
BCH_UNIT2,24,6.05
BCH_UNIT3,24,6.05
BCH_UNIT4,24,6.05
BCH_UNIT5,24,6.05
BCH_UNIT6,24,6.05
BCH_UNIT7,24,6.05
BCH_UNIT8,24,6.05
BOSQUESW_BSQSU_1,24,56.61
BOSQUESW_BSQSU_2,24,56.61
BOSQUESW_BSQSU_3,24,56.61
BOSQUESW_BSQSU_4,24,28.5
BOSQUESW_BSQSU_5,24,76.26
BVE_UNIT1,24,59.67
BVE_UNIT2,24,59.67
BVE_UNIT3,24,82.68
BTM_UNIT1,24,6.05
BTM_UNIT2,24,6.05
BTM_UNIT3,24,6.05
BTM_UNIT4,24,6.05
BTM_UNIT5,24,6.05
BTM_UNIT6,24,6.05
BTM_UNIT7,24,6.05
BTM_UNIT8,24,6.05
FLCNS_UNIT1,24,7.5
FLCNS_UNIT2,24,7.5
CALHOUN_UNIT1,24,6.05
CALHOUN_UNIT2,24,6.05
CHAMON_CTG_0101,24,6.05
CHAMON_CTG_0301,24,6.05
CBY4_CT41,24,61.5
CBY4_CT42,24,61.5
CBY4_ST04,24,61.5
CBY_CBY_G1,24,229.5
CBY_CBY_G2,24,229.5
CBEC_GT1,24,25.95
CBEC_GT2,24,25.95
CBEC_GT3,24,25.95
CBEC_GT4,24,25.95
CBEC_STG1,24,31.5
CBEC_STG2,24,32.64
CBECII_CT7,24,108.27
CBECII_CT8,24,108.27
CBECII_STG9,24,152.55
CBEC_GT11,24,4.17
CBEC_GT12,24,4.17
CVC_CVC_G1,24,57.63
CVC_CVC_G2,24,57.63
CVC_CVC_G3,24,57.63
CVC_CVC_G5,24,45.0
DANSBY_DANSBYG2,24,4.8
DANSBY_DANSBYG3,24,5.0
DANSBY_DANSBYG1,24,36.0
DECKER_DPGT_1,24,5.67
DECKER_DPGT_2,24,5.67
DECKER_DPGT_3,24,5.67
DECKER_DPGT_4,24,5.67
DCSES_CT10,24,8.95
DCSES_CT20,24,8.95
DCSES_CT30,24,8.95
DCSES_CT40,24,8.95
DDPEC_GT1,24,60.9
DDPEC_GT2,24,64.5
DDPEC_GT3,24,60.9
DDPEC_GT4,24,64.5
DDPEC_GT6,24,59.7
DDPEC_ST1,24,87.0
DEC_AGR_A,24,5.65
