UID,From Bus,To Bus,R,X,B,Cont Rating
L794_1123_345,794,1123,0.0,0.01494731,0.0,2400
L453_2288_345,453,2288,0.0,0.00386742,0.0,2400
L453_794_345,453,794,0.0,0.02155756,0.0,2400
L1123_1125_345,1123,1125,0.0,0.0226827,0.0,2400
L794_2412_345,794,2412,0.0,0.00204515,0.0,2400
L794_1601_345,794,1601,0.0,0.01642788,0.0,2400
L1601_2417_345,1601,2417,0.0,0.01146542,0.0,2400
L1601_2456_345,1601,2456,0.0,6.022e-05,0.0,999999
L540_2512_345,540,2512,0.0,0.0018384,0.0,2400
L1006_2512_345,1006,2512,0.0,0.00573325,0.0,2400
L2512_2513_345,2512,2513,0.0,0.0042379,0.0,2400
L1009_2512_345,1009,2512,0.0,0.00136657,0.0,2400
L1006_1989_345,1006,1989,0.0,0.00497052,0.0,2400
L23_503_345,23,503,0.0,0.00180184,0.0,2400
L503_1988_345,503,1988,0.0,0.0003608,0.0,2400
L1988_1989_345,1988,1989,0.0,0.00997599,0.0,999999
L765_1988_345,765,1988,0.0,0.02029261,0.0,2400
L540_1009_345,540,1009,0.0,0.00060088,0.0,2400
L1003_1009_345,1003,1009,0.0,0.00457746,0.0,2400
L49_495_345,49,495,0.0,0.01942637,0.0,2400
L2397_3068_345,2397,3068,0.0,0.00106895,0.0,2400
L542_3068_345,542,3068,0.0,0.00015459,0.0,999999
L2396_3068_345,2396,3068,0.0,0.00024546,0.0,999999
L542_1009_345,542,1009,0.0,0.00033768,0.0,2400
L2292_2365_345,2292,2365,0.0,0.00290628,0.0,2400
L1003_2292_345,1003,2292,0.0,0.00454197,0.0,2400
L2291_2292_345,2291,2292,0.0,0.00698314,0.0,2400
L2290_2291_345,2290,2291,0.0,4.705e-05,0.0,999999
L2289_2352_345,2289,2352,0.0,0.00654948,0.0,2400
L2288_2289_345,2288,2289,0.0,0.00876481,0.0,2400
L2242_2288_345,2242,2288,0.0,0.00635967,0.0,2400
L2074_2291_345,2074,2291,0.0,0.00338645,0.0,2400
L2074_2288_345,2074,2288,0.0,0.00306194,0.0,2400
L2073_2074_345,2073,2074,0.0,0.00048286,0.0,2400
L1705_3077_345,1705,3077,0.0,0.00684199,0.0,2400
L3077_3235_345,3077,3235,0.0,0.00136738,0.0,2400
L60_1704_345,60,1704,0.0,0.00153057,0.0,2400
L1774_1785_345,1774,1785,0.0,0.00146228,0.0,2400
L1785_3084_345,1785,3084,0.0,0.00092404,0.0,2400
L1542_3084_345,1542,3084,0.0,0.00091893,0.0,2400
L375_1851_345,375,1851,0.0,0.00298882,0.0,999999
L854_3352_345,854,3352,0.0,0.00131011,0.0,2400
L98_854_345,98,854,0.0,0.00372601,0.0,2400
L1244_1958_345,1244,1958,0.0,0.00237019,0.0,2400
L17_1138_345,17,1138,0.0,0.00426586,0.0,2400
L640_1756_345,640,1756,0.0,0.00130608,0.0,2400
L1573_3157_345,1573,3157,0.0,8.765e-05,0.0,999999
L1573_1822_345,1573,1822,0.0,0.00106008,0.0,2400
L1679_1822_345,1679,1822,0.0,0.00220996,0.0,2400
L1351_1504_345,1351,1504,0.0,0.04009161,0.0,2400
L1526_1903_345,1526,1903,0.0,0.00574024,0.0,2400
L1831_1903_345,1831,1903,0.0,0.00268018,0.0,2400
L1830_1831_345,1830,1831,0.0,0.00565555,0.0,2400
L1934_2121_345,1934,2121,0.0,0.00724527,0.0,2400
L538_3157_345,538,3157,0.0,0.00812979,0.0,2400
L538_3158_345,538,3158,0.0,0.00857097,0.0,2400
L1947_2791_345,1947,2791,0.0,4.92e-05,0.0,999999
L1947_3048_345,1947,3048,0.0,0.00015782,0.0,999999
L1834_1947_345,1834,1947,0.0,0.007188,0.0,2400
L1728_1947_345,1728,1947,0.0,0.00493073,0.0,2400
L1947_3120_345,1947,3120,0.0,0.00171635,0.0,2400
L1731_3120_345,1731,3120,0.0,0.00387253,0.0,2400
L1720_3119_345,1720,3119,0.0,0.00121628,0.0,2400
L3119_3291_345,3119,3291,0.0,8.415e-05,0.0,999999
L3119_3318_345,3119,3318,0.0,0.00010055,0.0,999999
L1947_2323_345,1947,2323,0.0,0.00379107,0.0,2400
L185_3123_345,185,3123,0.0,0.01189155,0.0,2400
L2147_3123_345,2147,3123,0.0,0.00013873,0.0,999999
L1903_3123_345,1903,3123,0.0,0.00518345,0.0,2400
L169_170_345,169,170,0.0,0.00024412,0.0,2400
L1535_1830_345,1535,1830,0.0,0.05133227,0.0,2400
L1830_2146_345,1830,2146,0.0,0.00428683,0.0,2400
L1899_3037_345,1899,3037,0.0,0.00411584,0.0,999999
L1899_3045_345,1899,3045,0.0,0.00128941,0.0,999999
L2643_2924_345,2643,2924,0.0,0.00131791,0.0,2400
L2643_3045_345,2643,3045,0.0,0.00265786,0.0,2400
L1819_2924_345,1819,2924,0.0,0.00811393,0.0,2400
L1430_1819_345,1430,1819,0.0,0.00439141,0.0,2400
L1531_1532_345,1531,1532,0.0,0.00339209,0.0,2400
L121_1525_345,121,1525,0.0,0.00348646,0.0,2400
L117_1871_345,117,1871,0.0,0.00327407,0.0,2400
L1966_1967_345,1966,1967,0.0,4.544e-05,0.0,999999
L1861_1966_345,1861,1966,0.0,0.01528338,0.0,2400
L1679_1966_345,1679,1966,0.0,0.0134353,0.0,2400
L1714_1967_345,1714,1967,0.0,0.00949098,0.0,2400
L62_1804_345,62,1804,0.0,0.00455703,0.0,2400
L1848_3191_345,1848,3191,0.0,0.00243256,0.0,2400
L1679_1861_345,1679,1861,0.0,0.00382333,0.0,2400
L1679_1833_345,1679,1833,0.0,0.02149653,0.0,2400
L1860_3156_345,1860,3156,0.0,0.00832094,0.0,2400
L1859_3156_345,1859,3156,0.0,0.0001398,0.0,999999
L1679_3157_345,1679,3157,0.0,0.00243821,0.0,2400
L1752_3158_345,1752,3158,0.0,0.00228497,0.0,2400
L1754_3158_345,1754,3158,0.0,0.00092377,0.0,2400
L1567_1859_345,1567,1859,0.0,0.01123771,0.0,2400
L1851_1857_345,1851,1857,0.0,0.00336709,0.0,999999
L1857_2542_345,1857,2542,0.0,0.00818436,0.0,999999
L375_1856_345,375,1856,0.0,0.004628,0.0,999999
L1848_2067_345,1848,2067,0.0,0.00613895,0.0,2400
L1765_1834_345,1765,1834,0.0,0.00787223,0.0,2400
L186_2146_345,186,2146,0.0,0.00369186,0.0,2400
L1533_2146_345,1533,2146,0.0,0.01198861,0.0,2400
L186_1533_345,186,1533,0.0,0.00230486,0.0,2400
L1533_2326_345,1533,2326,0.0,0.01750059,0.0,2400
L2325_2326_345,2325,2326,0.0,0.00149185,0.0,2400
L2323_2325_345,2323,2325,0.0,0.00139668,0.0,2400
L1830_1856_345,1830,1856,0.0,0.03228095,0.0,2400
