cluster_id,SUB_LAT,SUB_LON,TOTAL_POP,LOAD_MW
0,32.854473352622065,-95.60148768245931,8295.0,16.59
1,28.097405119929796,-97.86669081864274,15384.0,30.768
2,35.09987200411522,-98.53760483950617,4860.0,9.72
3,30.797353579877853,-98.45794547412406,3111.0,6.222
4,30.725223776623377,-99.57902714545455,385.0,0.77
5,32.96810332923868,-94.5653471174118,7001.0,14.002
6,31.72219273832048,-97.30971198340853,6871.0,13.742
7,30.064065432795115,-95.33580130826834,216331.0,432.66200000000003
8,29.94822521276596,-98.95944280506038,10434.0,20.868000000000002
9,32.00956021695179,-97.12897088482806,11574.0,23.148
10,36.18346226315789,-99.31271552631578,2166.0,4.332
11,29.102630171346473,-95.44752540605937,79348.0,158.696
12,33.37439655563234,-95.78591869799585,1447.0,2.894
13,36.492383299188006,-98.49883719300436,1601.0,3.202
14,32.5389546768793,-97.15611847674636,96286.0,192.572
15,33.604135556586485,-102.39846988854087,16921.0,33.842
16,33.69865952493075,-100.72087975761774,722.0,1.444
17,29.724100698191883,-95.21649964748714,250371.0,500.742
18,33.29089366685682,-95.45038398117512,1753.0,3.5060000000000002
19,29.71784026148705,-97.21043276441104,4788.0,9.576
20,33.938791674650695,-96.74954365708584,7515.0,15.030000000000001
21,32.77939138888704,-97.09209593710247,210835.0,421.67
22,30.391482111458927,-93.93493866258774,10542.0,21.084
23,33.59756520085587,-102.02254319897361,62159.0,124.318
24,35.248486285600954,-102.1404302689409,2521.0,5.042
25,31.91869655862069,-96.90935841773398,1015.0,2.0300000000000002
26,36.42762722459235,-97.9697162059276,29253.0,58.506
27,32.86325339141104,-98.30476142730062,3260.0,6.5200000000000005
28,28.81748020835381,-96.56237489729729,2035.0,4.07
29,30.61389668838015,-96.3206694393686,202593.0,405.18600000000004
30,33.22787375409836,-101.80750111475409,4575.0,9.15
31,29.90168397958495,-95.24574508681569,183688.0,367.37600000000003
32,28.941060071937486,-98.43106559020914,17404.0,34.808
33,33.63598450969414,-96.5201107953862,38580.0,77.16
34,32.164118925771476,-101.83136150125104,4796.0,9.592
35,32.93732527371695,-95.23795065071398,14146.0,28.292
36,31.543900819906565,-102.85617483573269,10489.0,20.978
37,32.0222351024738,-102.11792529556269,139138.0,278.276
38,29.896783601633828,-94.16583382296972,41620.0,83.24
39,35.565191526253884,-97.60316028106682,154739.0,309.478
40,33.531474071349564,-97.9680531637168,10848.0,21.696
41,29.287238652950343,-94.82462198392798,52638.0,105.276
42,35.18155571716138,-101.780440545614,75262.0,150.524
43,34.5730865973031,-98.49078062587033,54433.0,108.866
44,31.66286403829787,-99.6101721361702,235.0,0.47000000000000003
45,32.797314927636016,-94.30919526056432,7407.0,14.814
46,35.05602167210807,-97.93613638221223,21318.0,42.636
47,32.86013320415879,-99.58811820604915,529.0,1.058
48,35.8832313144476,-98.23366452974504,353.0,0.706
49,29.473253330041686,-98.80478731746952,44861.0,89.72200000000001
50,32.936487281957945,-97.40934489990947,107133.0,214.266
51,31.488745205711105,-100.40433607967292,46716.0,93.432
52,29.064344753038675,-96.46583879392266,5430.0,10.86
53,26.15210546340773,-98.17938299884683,190778.0,381.556
54,35.44175596571906,-97.3113063632943,57408.0,114.816
55,31.73535181279055,-95.53088202990324,15918.0,31.836000000000002
56,31.809377135215087,-106.45536450801121,142987.0,285.974
57,35.82301173168892,-97.95480949450668,9284.0,18.568
58,34.7124696196797,-97.21108863915741,13862.0,27.724
