cluster_id,SUB_LAT,SUB_LON,TOTAL_POP,LOAD_MW
0,42.22394986812537,-79.3793322694658,5073.0,10.146
1,42.47223095961468,-75.82101203186365,2699.0,5.398
2,43.30984714657661,-76.35522473871515,33607.0,67.214
3,42.49323575930195,-75.02621647078232,25156.0,50.312
4,43.312120089034885,-73.64692194756113,58449.0,116.898
5,44.08753384687015,-76.28150898344542,1933.0,3.866
6,43.238819642479434,-78.37697757843712,13616.0,27.232
7,41.47698307734304,-74.21502718117121,30772.0,61.544000000000004
8,43.16294667386777,-77.3161417738713,28329.0,56.658
9,42.09193810210877,-79.6427404355161,4505.0,9.01
10,44.23511899009275,-75.95640399936762,4744.0,9.488
11,44.563080586906764,-75.14796906668703,13106.0,26.212
12,40.965402317459365,-73.78521978449625,150183.0,300.366
13,41.63133571909,-74.54997557412904,9099.0,18.198
14,42.900851841708885,-77.84927101314528,7303.0,14.606
15,42.733052263793105,-75.08718127787357,3480.0,6.96
16,42.944496620806355,-75.53674678869923,6796.0,13.592
17,43.002719863191594,-78.6961134814384,93715.0,187.43
18,40.63810297426435,-73.6204113315099,207300.0,414.6
19,42.08642549916943,-73.9798328316885,20468.0,40.936
20,43.11139689886139,-73.7252315930044,56121.0,112.242
21,41.551680292331376,-74.05026299688873,62997.0,125.994
22,43.00520478170322,-75.0252276848449,25305.0,50.61
23,42.17081023003244,-75.9688929812849,45311.0,90.622
24,42.989578905309735,-74.39550141238938,18080.0,36.160000000000004
25,42.48574799318568,-78.07764639373936,4696.0,9.392
26,43.157747234458256,-76.37668074929853,38847.0,77.694
27,42.34729148881469,-78.4600432297162,5990.0,11.98
28,43.05312919483589,-76.25841292461457,45274.0,90.548
29,40.72772026672987,-73.603592950831,241514.0,483.028
30,43.57880184251661,-75.97542466393122,5118.0,10.236
31,43.01060635977993,-77.20591458356257,20721.0,41.442
32,41.848079814544214,-74.73704691020305,11771.0,23.542
33,42.14212236844504,-76.0914948128268,46091.0,92.182
34,43.02751521325586,-76.73002137723263,4647.0,9.294
35,40.7242947512275,-73.19059502782325,28106.0,56.212
36,42.71370064900086,-74.23851379387489,9208.0,18.416
37,44.94604989287926,-73.42275147058824,8075.0,16.15
38,42.80871569167458,-73.8928485943653,63180.0,126.36
39,42.28900987556385,-78.84103479779127,6429.0,12.858
40,42.91034324749619,-78.8427024788078,174734.0,349.468
41,44.82460570809119,-74.7742225046938,4474.0,8.948
42,43.3381751100846,-76.13389425973953,17968.0,35.936
43,41.55212811787439,-74.95814920064413,3105.0,6.21
44,40.829900631539914,-73.25620750452578,191459.0,382.918
45,42.47905334638197,-77.24224611150653,5058.0,10.116
46,42.250335894623234,-73.64190285596547,5096.0,10.192
47,43.09457100918274,-75.55606643902662,10890.0,21.78
48,42.74514633717039,-77.9791879610494,7471.0,14.942
49,43.08070094166871,-76.0063016026658,36687.0,73.374
50,42.73183127786777,-73.60291249434545,66053.0,132.106
51,43.07207507374608,-75.24667109792459,62783.0,125.566
52,41.80741517486888,-74.36818720276754,8961.0,17.922
53,43.091726390230676,-73.54978134880145,11055.0,22.11
54,41.450077623619514,-74.48591951327082,55234.0,110.468
55,43.659840325123156,-74.07283916121808,2233.0,4.466
56,42.49474634265138,-78.70306432976405,10553.0,21.106
57,42.59107379432624,-75.12606009966406,2679.0,5.3580000000000005
58,42.915417125952665,-75.3281256550341,4986.0,9.972
59,40.88861938059853,-73.12092155085807,108734.0,217.46800000000002
60,42.56028343692126,-76.21176965263935,33910.0,67.82000000000001
61,42.58622967349927,-73.36858156551976,2732.0,5.464
62,42.574659640099625,-75.99443135616438,4818.0,9.636000000000001
63,42.95376331238332,-75.99321581995436,28926.0,57.852000000000004
64,42.18673766447729,-75.19593697495895,7308.0,14.616
65,43.04416338167939,-78.49356611450382,11004.0,22.008
66,41.69298460305957,-74.82766124932904,3726.0,7.452
67,41.39344583299798,-74.63758281340677,18886.0,37.772
68,41.97343902380558,-73.58049541048108,6049.0,12.098
69,41.09430439313503,-73.97340092458239,92790.0,185.58
70,42.07430973843763,-78.76058759541392,7719.0,15.438
71,42.71197588278805,-74.54343127226174,10545.0,21.09
72,41.429207216340515,-74.083018895978,44356.0,88.712
73,43.24184959229934,-77.93397683253336,28543.0,57.086
74,43.494560534591194,-74.5918486855346,159.0,0.318
75,42.15975212114456,-74.5043805001858,2691.0,5.382
76,44.17818985958305,-76.09706385783457,7435.0,14.870000000000001
77,40.60770821850422,-73.94969034978122,717620.0,1435.24
78,40.75059350526763,-73.49283444546931,186042.0,372.084
79,42.507700540250916,-76.82644742655515,3826.0,7.652
80,44.47623905430281,-74.03684801840772,2173.0,4.346
81,42.44405389292196,-78.26091871324864,4959.0,9.918000000000001
82,44.02117123921059,-76.05523521860768,4611.0,9.222
83,42.231558855981746,-77.77947453571937,7013.0,14.026
84,43.21947764684439,-77.00591550831625,8778.0,17.556
85,42.908267223684206,-78.05801371092504,5016.0,10.032
86,41.77216028176879,-73.84854415378811,26504.0,53.008
87,42.6758595882246,-73.84695351456577,87946.0,175.892
88,43.672638474543085,-73.634342683094,3064.0,6.128
89,42.078621074342706,-77.62760730009067,2206.0,4.412
90,42.29215042556617,-75.43826234270688,9317.0,18.634
91,40.97224812314512,-72.32198409626133,10378.0,20.756
92,42.75613647879835,-78.15793072019142,7523.0,15.046000000000001
93,42.728365563805404,-76.8322697824758,7852.0,15.704
94,42.08363295906663,-76.74478410565082,17785.0,35.57
95,41.959094960314,-74.43254651722634,2293.0,4.586
96,43.804482584942086,-75.88769983590734,1036.0,2.072
97,43.09144011385266,-78.2343509245682,5674.0,11.348
98,41.6355081172667,-74.32314042268699,12527.0,25.054000000000002
99,40.86406789657673,-72.5388617390001,20682.0,41.364000000000004
100,44.31844510640496,-75.7790402035124,1936.0,3.872
101,44.70811899332094,-73.65886231848158,11828.0,23.656
102,42.1806951871345,-74.9424163380117,1710.0,3.42
103,42.46497704010254,-77.47085150192272,5461.0,10.922
104,42.28526166736277,-74.25821885590692,3352.0,6.704
105,43.840566754395034,-73.75627579420889,1934.0,3.868
