hour,Wind,Solar
0,0.7589,0.0
1,0.7504,0.0
2,0.7519,0.0
3,0.7477,0.0
4,0.7439,0.0
5,0.7425,0.0
6,0.7448,0.0
7,0.7502,0.0
8,0.7470,0.0009
9,0.7371,0.0401
10,0.7234,0.1206
11,0.7241,0.1526
12,0.7204,0.1929
13,0.7161,0.1716
14,0.7148,0.1620
15,0.6977,0.1793
16,0.6859,0.1909
17,0.6960,0.1183
18,0.7403,0.0238
19,0.7483,0.0009
20,0.7487,0.0009
21,0.7357,0.0002
22,0.7290,0.0
23,0.7439,0.0
