ercot_substation,lat,lon,match_source,confidence,score,matched_name,load_zone,max_voltage_kv,eia_plant_code,osm_id,propagated_from
BUS_PARK,29.271,-98.456,propagated,low,0,,LZ_NORTH,69.0,,,BEXAR_ES
BUT,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,138.0,,,
BUTLER,30.389489,-97.324838,osm,high,100,Butler Substation,LZ_SOUTH,138.0,,509586593,
BUTLR_RD,29.488979,-95.109518,osm,medium,91.7,Butler Road Substation,LZ_HOUSTON,138.0,,583820976,
BUTMAN,32.449351,-100.073856,osm,high,100,Butman Substation,LZ_WEST,138.0,,491192830,
BUTTER,30.389489,-97.324838,osm,medium,90.3,Butler Substation,LZ_SOUTH,138.0,,509586593,
BUTTN,32.857896,-97.511964,propagated,low,0,,LZ_NORTH,138.0,,,AZLES
BUZI_SLR,29.468402,-95.178762,propagated,low,0,,LZ_WEST,345.0,,,SEMINOLE
BUZSW,35.91254,-97.604869,propagated,low,0,,LZ_WEST,138.0,,,CRSCN
BV,26.287936,-98.145074,propagated,low,0,,LZ_HOUSTON,138.0,,,SE
BVE,31.503698,-97.762643,propagated,low,0,,LZ_HOUSTON,345.0,,,GATESVL2
BW,31.4647,-96.985,propagated,low,0,,LZ_HOUSTON,138.0,,,LK
BWDSW,26.523692,-98.745522,propagated,low,0,,LZ_WEST,345.0,,,MESTENO
BWNSW,33.5,-97.0,lz_centroid,none,0,,LZ_NORTH,345.0,,,
BY,31.4647,-96.985,propagated,low,0,,LZ_HOUSTON,138.0,,,LK
BYLOR,29.271,-98.456,propagated,low,0,,LZ_NORTH,138.0,,,BEXAR_ES
BYN,31.4647,-96.985,propagated,low,0,,LZ_HOUSTON,138.0,,,LK
BYNM_SLR,35.40238,-101.15404,propagated,low,0,,LZ_NORTH,69.0,,,RAILHEAD
BYP,30.479567,-97.781526,propagated,low,0,,LZ_HOUSTON,345.0,,,JOLLYVIL
BYR,29.563235,-95.800453,propagated,low,0,,LZ_HOUSTON,138.0,,,FT
BYRDR_ES,28.197778,-97.444953,propagated,low,0,,LZ_HOUSTON,138.0,,,CRANELL
