UID,From Bus,To Bus,R,X,B,Cont Rating
L1937_2783,1937,2783,0.0,0.00017656,0.0,999999
L2995_3107,2995,3107,0.0,0.00068724,0.0,999999
L804_805,804,805,0.0,0.00240104,0.0,2400
L14_836,14,836,0.0,0.00782527,0.0,2400
L1570_1571,1570,1571,0.0,0.01783802,0.0,2400
L1818_1937,1818,1937,0.0,0.02092848,0.0,2400
L126_2372,126,2372,0.0,0.00053727,0.0,2400
L862_1488,862,1488,0.0,0.00832725,0.0,2400
L2313_3063,2313,3063,0.0,0.00013241,0.0,999999
L794_3139,794,3139,0.0,0.00226566,0.0,999999
L829_838,829,838,0.0,0.00532466,0.0,2400
L1515_1517,1515,1517,0.0,0.00599827,0.0,2400
L3012_3115,3012,3115,0.0,0.00100422,0.0,999999
L788_1109,788,1109,0.0,0.0137263,0.0,2400
L805_2413,805,2413,0.0,0.00443306,0.0,2400
L803_2352,803,2352,0.0,0.00412745,0.0,2400
L1688_1770,1688,1770,0.0,0.0043991,0.0,2400
L1910_3046,1910,3046,0.0,0.00018711,0.0,999999
L1604_1612,1604,1612,0.0,0.00488514,0.0,2400
L1570_1590,1570,1590,0.0,0.03210924,0.0,2400
L1553_1560,1553,1560,0.0,0.0131348,0.0,2400
L822_3065,822,3065,0.0,0.01182367,0.0,999999
L99_1409,99,1409,0.0,0.00419986,0.0,2400
L801_1629,801,1629,0.0,0.00250607,0.0,2400
L1531_3051,1531,3051,0.0,0.00985012,0.0,999999
L1650_2277,1650,2277,0.0,0.05089545,0.0,2400
L1909_3122,1909,3122,0.0,0.01680371,0.0,999999
L1899_1909,1899,1909,0.0,0.00476093,0.0,2400
L3119_3120,3119,3120,0.0,0.00013983,0.0,999999
L129_2428,129,2428,0.0,0.0034349,0.0,2400
L1895_3078,1895,3078,0.0,0.00018403,0.0,999999
L999_3038,999,3038,0.0,0.00061718,0.0,999999
L2950_2952,2950,2952,0.0,0.00039972,0.0,3600
L577_2719,577,2719,0.0,0.00020569,0.0,999999
L991_1606,991,1606,0.0,0.0104852,0.0,2400
L3098_3099,3098,3099,0.0,0.00830417,0.0,999999
L806_2415,806,2415,0.0,0.00368754,0.0,2400
L2341_3071,2341,3071,0.0,0.00017832,0.0,999999
L1524_1662,1524,1662,0.0,0.00423006,0.0,2400
L807_2383,807,2383,0.0,0.01527707,0.0,2400
L1598_3109,1598,3109,0.0,0.00916531,0.0,999999
L2414_2415,2414,2415,0.0,0.00111085,0.0,2400
L3006_3089,3006,3089,0.0,0.00046797,0.0,999999
L2964_3122,2964,3122,0.0,0.02876014,0.0,999999
L1631_3094,1631,3094,0.0,0.0012671,0.0,999999
L202_808,202,808,0.0,0.00775123,0.0,2400
L851_3056,851,3056,0.0,0.00207974,0.0,999999
L1515_1818,1515,1818,0.0,0.04778865,0.0,2400
L924_3127,924,3127,0.0,0.00035889,0.0,999999
L177_837,177,837,0.0,0.00029738,0.0,2400
L1013_1498,1013,1498,0.0,0.01877499,0.0,2400
L514_3067,514,3067,0.0,0.00017171,0.0,999999
L1598_1680,1598,1680,0.0,0.00738616,0.0,2400
L129_2341,129,2341,0.0,0.01071751,0.0,2400
L1596_1597,1596,1597,0.0,0.00962507,0.0,2400
L1650_2308,1650,2308,0.0,0.00907818,0.0,2400
L2963_2986,2963,2986,0.0,0.00436131,0.0,2400
L1625_1696,1625,1696,0.0,0.00016533,0.0,999999
L520_824,520,824,0.0,0.00191564,0.0,2400
L2433_2435,2433,2435,0.0,0.00067954,0.0,2400
L1303_3045,1303,3045,0.0,0.00101047,0.0,999999
L999_2286,999,2286,0.0,0.00838961,0.0,2400
L1888_3082,1888,3082,0.0,0.00211509,0.0,999999
L3036_3124,3036,3124,0.0,0.00286702,0.0,999999
L1528_2272,1528,2272,0.0,0.02388578,0.0,2400
L814_815,814,815,0.0,0.00928948,0.0,2400
L2310_2311,2310,2311,0.0,0.01019233,0.0,2400
L3069_3070,3069,3070,0.0,0.00014648,0.0,999999
L2050_2051,2050,2051,0.0,0.00197226,0.0,2400
L2955_3075,2955,3075,0.0,0.00067589,0.0,999999
L1692_1693,1692,1693,0.0,0.00015565,0.0,999999
L804_816,804,816,0.0,0.01665441,0.0,2400
L1484_2373,1484,2373,0.0,0.00428336,0.0,2400
L1496_2364,1496,2364,0.0,0.0174337,0.0,2400
L1490_1495,1490,1495,0.0,0.00860953,0.0,2400
L1664_1821,1664,1821,0.0,0.02160219,0.0,2400
L2028_2317,2028,2317,0.0,0.00014671,0.0,999999
L1599_2261,1599,2261,0.0,0.00688886,0.0,2400
L206_3128,206,3128,0.0,0.00313203,0.0,999999
L1889_3026,1889,3026,0.0,0.0009703,0.0,999999
L1600_1895,1600,1895,0.0,0.00183825,0.0,2400
L1613_3089,1613,3089,0.0,0.02103741,0.0,999999
L1937_3057,1937,3057,0.0,0.00857725,0.0,999999
L2411_2412,2411,2412,0.0,0.00383059,0.0,2400
L1607_1612,1607,1612,0.0,0.00188172,0.0,2400
L1573_1590,1573,1590,0.0,0.00655101,0.0,2400
L1621_3087,1621,3087,0.0,0.00014659,0.0,999999
L836_1583,836,1583,0.0,0.01319528,0.0,2400
L1636_2380,1636,2380,0.0,0.00970727,0.0,2400
L62_1601,62,1601,0.0,0.00317716,0.0,2400
L808_2230,808,2230,0.0,0.02311076,0.0,2400
L202_2131,202,2131,0.0,0.01280309,0.0,2400
L2390_3038,2390,3038,0.0,0.00022103,0.0,999999
L2261_3145,2261,3145,0.0,0.00135102,0.0,999999
L807_3071,807,3071,0.0,0.00916407,0.0,999999
L2307_2335,2307,2335,0.0,0.00143403,0.0,2400
L788_1584,788,1584,0.0,0.01405229,0.0,2400
L1664_1851,1664,1851,0.0,0.00301691,0.0,2400
L125_2230,125,2230,0.0,0.01190963,0.0,2400
L2195_3092,2195,3092,0.0,0.00087527,0.0,999999
L1515_1791,1515,1791,0.0,0.01114178,0.0,2400
L1580_3067,1580,3067,0.0,0.00252174,0.0,999999
L2365_2366,2365,2366,0.0,8.466e-05,0.0,999999
L1013_3045,1013,3045,0.0,0.0030892,0.0,999999
L515_1650,515,1650,0.0,0.0009715,0.0,2400
L1483_3055,1483,3055,0.0,0.00738192,0.0,999999
L2951_3085,2951,3085,0.0,0.00710117,0.0,999999
L1665_3100,1665,3100,0.0,0.0030041,0.0,999999
L1062_2272,1062,2272,0.0,0.01703782,0.0,2400
L795_2049,795,2049,0.0,0.00670355,0.0,2400
L1583_1584,1583,1584,0.0,0.01157909,0.0,2400
L1818_1845,1818,1845,0.0,0.02830335,0.0,2400
L1571_2969,1571,2969,0.0,0.01727393,0.0,2400
L850_2054,850,2054,0.0,0.00981406,0.0,2400
L5_182,5,182,0.0,0.00068034,0.0,2400
L31_32,31,32,0.0,0.01872262,0.0,2400
L643_644,643,644,0.0,9.533e-05,0.0,999999
L2042_3109,2042,3109,0.0,0.00514009,0.0,999999
L794_2389,794,2389,0.0,0.00348515,0.0,2400
L3113_3117,3113,3117,0.0,0.00067057,0.0,999999
L1937_3029,1937,3029,0.0,0.00019992,0.0,999999
L10_753,10,753,0.0,0.00495952,0.0,2400
L1598_2436,1598,2436,0.0,0.00010488,0.0,999999
