Date,Hour,Generator,Output,Curtailment
2025-11-05,0,BRAZ_WND_BRAZ_WND1,54.0,0.0
2025-11-05,0,BRAZ_WND_BRAZ_WND2,28.08,0.0
2025-11-05,0,GPASTURE_WIND_I,0.0,67.5
2025-11-05,0,GRIF_TRL_UNIT1,0.0,44.415
2025-11-05,0,GRIF_TRL_UNIT2,0.0,57.105
2025-11-05,0,TGW_T1,63.72,0.0
2025-11-05,0,TGW_T2,63.72,0.0
2025-11-05,0,GUNMTN_G1,53.955,0.0
2025-11-05,0,HWF_HWFG1,74.52,0.0
2025-11-05,0,HART_WND_UNIT1,0.0,73.53
2025-11-05,0,HRFDWIND_WIND_G,0.0,44.955
2025-11-05,0,HRFDWIND_WIND_V,0.0,45.0
2025-11-05,0,HICKMAN_G1,0.0,68.625
2025-11-05,0,HICKMAN_G2,0.0,66.375
2025-11-05,0,MIRASOLE_MIR11,23.4,0.0
2025-11-05,0,MIRASOLE_MIR12,44.1,0.0
2025-11-05,0,MIRASOLE_MIR21,45.0,0.0
2025-11-05,0,MIRASOLE_MIR13,22.68,0.0
2025-11-05,0,HI_LONE_WGR1A,0.0,20.7
2025-11-05,0,HI_LONE_WGR1B,0.0,23.4
2025-11-05,0,HI_LONE_WGR1C,0.0,11.385
2025-11-05,0,HI_LONE_WGR2,55.125,0.0
2025-11-05,0,HI_LONE_WGR2A,11.385,0.0
2025-11-05,0,HI_LONE_WGR3,0.0,57.42
2025-11-05,0,HI_LONE_WGR4,38.8977,6.8223
2025-11-05,0,HORSECRK_UNIT1,60.66,0.0
2025-11-05,0,HORSECRK_UNIT2,45.765,0.0
2025-11-05,0,HHGT_HHOLLOW1,0.0,95.85
2025-11-05,0,HHGT_HHOLLOW2,0.0,82.8
2025-11-05,0,HHGT_HHOLLOW3,0.0,100.575
2025-11-05,0,HHGT_HHOLLOW4,0.0,51.75
2025-11-05,0,INDL_INADALE1,42.75,0.0
2025-11-05,0,INDL_INADALE2,45.9,0.0
2025-11-05,0,INDNNWP_INDNNWP2,40.68,0.0
2025-11-05,0,INRT_W_UNIT1,30.465,0.0
2025-11-05,0,INRT_W_UNIT2,12.51,0.0
2025-11-05,0,INRT_W_UNIT3,92.655,0.0
2025-11-05,0,BORDAS_JAVEL18,8.865,0.0
2025-11-05,0,BORDAS_JAVEL20,103.5,0.0
2025-11-05,0,BORDAS2_JAVEL2_A,43.2,0.0
2025-11-05,0,BORDAS2_JAVEL2_B,33.3,0.0
2025-11-05,0,BORDAS2_JAVEL2_C,13.5,0.0
2025-11-05,0,HRFDWIND_JRDWIND1,0.0,65.79
2025-11-05,0,HRFDWIND_JRDWIND2,0.0,69.12
2025-11-05,0,KARAKAW1_UNIT1,46.485,0.0
2025-11-05,0,KARAKAW1_UNIT2,46.485,0.0
2025-11-05,0,KARAKAW2_UNIT3,45.18,0.0
2025-11-05,0,KEECHI_U1,49.5,0.0
2025-11-05,0,KING_NE_KINGNE,35.865,0.0
2025-11-05,0,KING_NW_KINGNW,35.865,0.0
2025-11-05,0,KING_SE_KINGSE,18.225,0.0
2025-11-05,0,KING_SW_KINGSW,35.865,0.0
2025-11-05,0,LGD_LANGFORD,0.0,72.0
2025-11-05,0,LACY_CRK_UNIT1,60.93,0.0
2025-11-05,0,LACY_CRK_UNIT2,6.795,0.0
2025-11-05,0,LACY_CRK_UNIT3,62.19,0.0
2025-11-05,0,LACY_CRK_UNIT4,5.67,0.0
2025-11-05,0,LMAJADAS_UNIT1,49.5,0.0
2025-11-05,0,LMAJADAS_UNIT2,10.8,0.0
2025-11-05,0,LMAJADAS_UNIT3,62.37,0.0
2025-11-05,0,LOCKETT_UNIT1,0.0,82.665
2025-11-05,0,LGW_UNIT1,0.0,47.835
2025-11-05,0,LGW_UNIT2,0.0,46.755
2025-11-05,0,LNCRK_G83,87.3,0.0
2025-11-05,0,LNCRK2_G871,44.1,0.0
2025-11-05,0,LNCRK2_G872,45.0,0.0
2025-11-05,0,LHORN_N_UNIT1,0.0,45.0
2025-11-05,0,LHORN_N_UNIT2,0.0,45.0
2025-11-05,0,LONEWOLF_G1,21.6,0.0
2025-11-05,0,LONEWOLF_G2,22.95,0.0
2025-11-05,0,LONEWOLF_G3,11.475,0.0
2025-11-05,0,LONEWOLF_G4,10.8,0.0
2025-11-05,0,LV3_UNIT_1,90.0,0.0
2025-11-05,0,LV4_UNIT_1,90.0,0.0
2025-11-05,0,LV5_UNIT_1,49.5,0.0
2025-11-05,0,LV1_LV1A,90.045,0.0
2025-11-05,0,LV2_LV2,90.72,0.0
2025-11-05,0,REDFISH_MV1A,44.91,0.0
2025-11-05,0,REDFISH_MV1B,46.575,0.0
2025-11-05,0,MARIAH_NORTE1,0.0,51.84
2025-11-05,0,MARIAH_NORTE2,0.0,51.84
2025-11-05,0,MAVCRK_W_UNIT1,0.0,90.72
2025-11-05,0,MAVCRK_W_UNIT2,0.0,4.995
2025-11-05,0,MAVCRK_W_UNIT3,0.0,15.12
2025-11-05,0,MAVCRK_W_UNIT4,0.0,9.99
2025-11-05,0,MAVCRK_E_UNIT5,0.0,32.13
2025-11-05,0,MAVCRK_E_UNIT6,0.0,14.985
2025-11-05,0,MAVCRK_E_UNIT7,0.0,9.9
2025-11-05,0,MAVCRK_E_UNIT8,0.0,9.0
2025-11-05,0,MAVCRK_E_UNIT9,0.0,34.56
2025-11-05,0,MWEC_G1,67.5,0.0
2025-11-05,0,MESQCRK_WND1,47.52,0.0
2025-11-05,0,MESQCRK_WND2,47.52,0.0
2025-11-05,0,MIAM1_G1,0.0,64.935
2025-11-05,0,MIAM1_G2,0.0,64.935
2025-11-05,0,MIDWIND_UNIT1,73.26,0.0
2025-11-05,0,MONT_WND_UNIT1,47.745,0.0
2025-11-05,0,MONT_WND_UNIT2,41.805,0.0
2025-11-05,0,NBOHR_UNIT1,88.47,0.0
2025-11-05,0,NWF_NWF1,41.67,0.0
2025-11-05,0,NWF_NWF2,27.0,0.0
2025-11-05,0,OWF_OWF,24.57,0.0
