hour,NORTH,HOUSTON,SOUTH,WEST
0,18654.9,16292.3,14415.1,8206.9
1,17608.6,15632.4,13598.8,8134.8
2,16993.3,15193.1,13015.6,8041.2
3,16642.1,14927.4,12682.7,7899.2
4,16639.5,14900.4,12545.0,7872.4
5,17052.9,15123.9,12640.4,7888.9
6,17650.1,15238.9,12896.9,7868.4
7,18478.4,15631.9,13179.3,7922.8
8,19487.8,16535.5,13904.4,8138.0
9,20754.8,17522.5,14719.5,8284.5
10,22424.8,18524.4,15613.0,8437.2
11,23869.4,19238.6,16597.2,8593.3
12,24979.0,19782.5,17476.2,8720.4
13,26070.8,20152.9,18340.7,8846.9
14,27074.9,20612.4,18955.6,8951.6
15,27351.3,20472.6,19296.9,8740.0
16,27507.3,20247.2,19436.7,8699.7
17,27589.1,20082.3,19451.8,8705.8
18,27461.0,19467.9,19283.6,8790.9
19,26753.2,18718.8,18743.5,8950.0
20,25585.5,18124.9,17975.5,8757.8
21,24786.7,17666.1,17352.0,8766.0
22,23298.6,16848.2,16282.9,8696.5
23,21562.0,15961.2,15017.3,8503.3
