Hour Ending,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
06/17/2024 01:00,16292.337905,1757.915897,6652.718011,1570.805223,15326.209368,4711.626658,9703.426119,1554.158954,57569.198136
06/17/2024 02:00,15632.356278,1662.104373,6652.005906,1501.79105,14444.749213,4493.40101,9105.360672,1482.758991,54974.527492
06/17/2024 03:00,15193.090689,1600.470197,6594.315565,1453.368245,13939.440692,4308.779367,8706.865196,1446.871946,53243.201895
06/17/2024 04:00,14927.370027,1589.065557,6482.813146,1422.518832,13630.531835,4188.504265,8494.192807,1416.351346,52151.347814
06/17/2024 05:00,14900.421104,1592.385692,6477.457091,1414.300125,13632.771712,4106.385172,8438.626538,1394.951214,51957.298647
06/17/2024 06:00,15123.856704,1619.587662,6490.942869,1430.028173,14003.274545,4095.08582,8545.313306,1397.916058,52706.005138
06/17/2024 07:00,15238.924162,1694.881952,6459.18779,1449.938239,14505.265176,4174.03404,8722.844628,1409.165336,53654.241323
06/17/2024 08:00,15631.947396,1782.410261,6485.647703,1505.946307,15190.02488,4262.781228,8916.540189,1437.1907,55212.488663
06/17/2024 09:00,16535.488091,1909.785102,6634.775817,1587.921931,15990.079983,4561.890397,9342.483926,1503.231723,58065.65697
06/17/2024 10:00,17522.486049,2062.568664,6723.364938,1674.415763,17017.779618,4874.85136,9844.678801,1561.109013,61281.254206
06/17/2024 11:00,18524.426832,2229.221551,6818.389949,1763.715962,18431.890755,5129.113106,10483.892253,1618.839226,64999.489635
06/17/2024 12:00,19238.599508,2381.690041,6897.91902,1853.463455,19634.212983,5480.943439,11116.235551,1695.396886,68298.460882
06/17/2024 13:00,19782.516233,2502.449045,6940.238584,1937.556615,20539.043223,5703.027609,11773.219991,1780.143712,70958.195011
06/17/2024 14:00,20152.857496,2556.97964,6984.497108,2004.567214,21509.258643,5961.342509,12379.367698,1862.371365,73411.241671
06/17/2024 15:00,20612.446925,2658.815167,7017.068938,1992.995367,22423.09486,6166.245118,12789.353673,1934.499849,75594.519898
06/17/2024 16:00,20472.620345,2661.252187,6768.615152,1951.31649,22738.753298,6140.458102,13156.44452,1971.368082,75860.828178
06/17/2024 17:00,20247.243591,2603.404013,6714.093346,1973.238232,22930.675417,6062.079962,13374.610714,1985.564362,75890.909636
06/17/2024 18:00,20082.319548,2581.80443,6710.183368,1972.09367,23035.162444,6057.856083,13393.917348,1995.571299,75828.90819
06/17/2024 19:00,19467.874875,2554.718077,6800.860733,2082.589643,22823.735235,5997.944042,13285.614606,1990.015583,75003.352794
06/17/2024 20:00,18718.84049,2407.656332,7000.527077,2058.517506,22287.010093,5879.013318,12864.508776,1949.448583,73165.522174
06/17/2024 21:00,18124.860853,2331.874304,6886.251792,1952.485362,21301.179741,5700.415648,12275.122677,1871.513639,70443.704017
06/17/2024 22:00,17666.06332,2235.588123,6931.846117,1907.51564,20643.567562,5548.869424,11803.142108,1834.146115,68570.738409
06/17/2024 23:00,16848.236419,2070.6439,6947.118205,1845.920528,19382.004058,5250.511382,11032.354671,1749.345795,65126.134959
06/17/2024 24:00,15961.219507,1900.439744,6851.252122,1753.380371,17908.1593,4874.108351,10143.15719,1652.027271,61043.743856
