uid,from_bus,to_bus,voltage_kv,length_km,capacity_mva,reactance
L1344_4059,1344,4059,138.0,2.36,400,0.00470725
L256_3635,256,3635,138.0,0.5,400,0.00100157
L3179_3207,3179,3207,138.0,36.65,400,0.07312823
L996_3155,996,3155,345.0,39.01,1200,0.01048911
L73_1561,73,1561,345.0,2.81,2400.0,0.00075417
L1323_3414,1323,3414,138.0,4.75,400,0.0094839
L1429_3426,1429,3426,138.0,9.8,400,0.01955506
L3578_3618,3578,3618,138.0,0.48,400,0.00096495
L278_516,278,516,138.0,12.57,600.0,0.0250857
L890_891,890,891,138.0,12.93,600.0,0.02579057
L3334_3380,3334,3380,138.0,4.94,400,0.009853
L2877_2915,2877,2915,138.0,1.96,2400.0,0.00390834
L517_1380,517,1380,138.0,53.15,600.0,0.10605091
L1050_3024,1050,3024,138.0,10.93,2400.0,0.02181358
L3275_3276,3275,3276,138.0,4.25,400,0.00848889
L4119_4120,4119,4120,138.0,7.49,400,0.01494993
L3853_3866,3853,3866,138.0,0.39,400,0.00076859
L1963_3988,1963,3988,138.0,12.61,400,0.02516771
L1734_1736,1734,1736,138.0,6.26,2400.0,0.01249438
L1345_4151,1345,4151,138.0,1.62,400,0.00324216
L408_2251,408,2251,138.0,16.08,600.0,0.03208819
L2960_2961,2960,2961,138.0,2.3,600.0,0.00458341
L1060_2797,1060,2797,138.0,1.51,2400.0,0.00300466
L438_3436,438,3436,138.0,20.05,400,0.03999964
L3289_3290,3289,3290,138.0,2.62,400,0.00522069
L137_3668,137,3668,138.0,7.67,400,0.01530353
L4087_4277,4087,4277,138.0,5.1,400,0.01017208
L1092_3562,1092,3562,138.0,7.13,400,0.01421991
L367_3622,367,3622,138.0,5.39,400,0.01074534
L447_3168,447,3168,138.0,10.84,400,0.02162638
L2638_3993,2638,3993,138.0,2.59,400,0.00516168
L1853_3278,1853,3278,138.0,1.0,400,0.00199695
L891_1009,891,1009,138.0,57.57,2400.0,0.1148772
L1512_3530,1512,3530,138.0,9.24,400,0.01842775
L1389_3339,1389,3339,138.0,0.47,400,0.00093872
L588_3215,588,3215,138.0,36.79,400,0.0734045
L2675_2978,2675,2978,138.0,2.45,600.0,0.00488234
L2182_4265,2182,4265,138.0,8.47,400,0.01689898
L3234_3310,3234,3310,230.0,0.5,600,0.00033104
L1618_4172,1618,4172,138.0,0.36,400,0.00070925
L29_497,29,497,138.0,0.43,400,0.00085147
L286_287,286,287,138.0,3.15,600.0,0.0062951
L1011_4132,1011,4132,138.0,4.57,400,0.00911535
L1052_1059,1052,1059,138.0,2.92,2400.0,0.00583315
L2946_4048,2946,4048,138.0,1.01,400,0.00201236
L4016_4018,4016,4018,138.0,5.93,400,0.01182573
L2206_4023,2206,4023,138.0,0.56,400,0.00112294
L3376_3498,3376,3498,138.0,4.42,400,0.00881884
L2575_2641,2575,2641,138.0,3.13,2400.0,0.0062393
L2156_2443,2156,2443,345.0,8.63,2400.0,0.00232126
L1991_2589,1991,2589,138.0,14.06,600.0,0.02806061
L1801_3327,1801,3327,138.0,5.0,400,0.00998004
L1914_1918,1914,1918,138.0,3.24,600.0,0.00647259
L1051_2884,1051,2884,138.0,5.48,600.0,0.01093484
L1271_3272,1271,3272,138.0,1.67,400,0.00333978
L547_3457,547,3457,138.0,4.86,400,0.00970655
L4012_4289,4012,4289,138.0,3.57,400,0.00712812
L892_1488,892,1488,345.0,23.0,2400.0,0.0061847
L350_3226,350,3226,138.0,3.85,400,0.00769211
L3787_3794,3787,3794,138.0,1.63,400,0.00325106
L1052_2797,1052,2797,138.0,1.37,2400.0,0.00272701
L173_2692,173,2692,138.0,1.61,600.0,0.00320726
L690_738,690,738,138.0,10.41,600.0,0.02077059
L2863_2865,2863,2865,138.0,7.47,600.0,0.0149032
L1167_3523,1167,3523,138.0,8.87,400,0.01769914
L1886_3243,1886,3243,138.0,1.53,400,0.00304438
L1035_4103,1035,4103,138.0,0.47,400,0.00094292
L498_2480,498,2480,138.0,11.78,600.0,0.02351171
L1451_1646,1451,1646,138.0,5.53,600.0,0.01103323
L1785_3389,1785,3389,138.0,5.18,400,0.01033604
L2656_3957,2656,3957,138.0,10.57,400,0.02109658
L423_3616,423,3616,138.0,24.04,400,0.04797811
L2096_2193,2096,2193,138.0,7.17,600.0,0.01431305
L73_568,73,568,138.0,1.27,600.0,0.00252504
L1133_3555,1133,3555,138.0,10.58,400,0.02111851
L733_3749,733,3749,138.0,3.2,400,0.00637944
L3407_3409,3407,3409,138.0,0.33,400,0.00065904
L1903_4007,1903,4007,345.0,3.77,1200,0.00101402
L2953_4280,2953,4280,138.0,0.98,400,0.00196024
L1086_1458,1086,1458,138.0,8.92,600.0,0.01780061
L909_3588,909,3588,138.0,6.63,400,0.01323311
L1445_2288,1445,2288,138.0,31.92,600.0,0.06369757
L410_413,410,413,138.0,3.06,600.0,0.00609779
L1669_3959,1669,3959,138.0,4.21,400,0.00840053
L765_3781,765,3781,138.0,28.34,400,0.05655187
L2292_4244,2292,4244,138.0,3.09,400,0.00617363
L2580_4027,2580,4027,138.0,5.92,400,0.0118096
L693_1009,693,1009,138.0,9.68,600.0,0.01931932
L3003_4033,3003,4033,138.0,8.28,400,0.01652261
L3433_3617,3433,3617,138.0,0.44,400,0.00088221
L3246_3255,3246,3255,138.0,3.53,400,0.00703673
L1436_3581,1436,3581,138.0,1.71,400,0.00341
L1884_2649,1884,2649,138.0,1.18,400,0.00235542
L3425_3581,3425,3581,138.0,0.4,400,0.00080347
L1384_3551,1384,3551,138.0,0.94,400,0.00186718
L3350_3351,3350,3351,138.0,1.85,400,0.00369118
L85_3690,85,3690,138.0,11.41,400,0.0227663
L2584_4048,2584,4048,698.0,6.86,1200,0.00076844
L1674_3363,1674,3363,138.0,4.09,400,0.00815818
L4134_4137,4134,4137,138.0,0.34,400,0.00067371
L4004_4125,4004,4125,138.0,4.27,400,0.00851969
L3665_3666,3665,3666,138.0,1.36,400,0.00272014
L933_2040,933,2040,138.0,3.63,2400.0,0.00723674
L553_1326,553,1326,138.0,3.09,600.0,0.00615755
L2754_3985,2754,3985,138.0,11.46,400,0.02285767
L1959_1960,1959,1960,138.0,29.47,600.0,0.05880711
L1100_3205,1100,3205,138.0,4.92,400,0.00980817
L199_407,199,407,138.0,40.35,600.0,0.08052174
L392_3557,392,3557,138.0,4.55,400,0.00907707
L717_718,717,718,138.0,0.74,400,0.00147604
L587_1498,587,1498,345.0,28.88,2400.0,0.00776556
L1900_2767,1900,2767,138.0,4.19,2400.0,0.00835123
L2176_2815,2176,2815,138.0,17.36,600.0,0.03464098
L1028_2879,1028,2879,138.0,7.05,600.0,0.01406579
L1304_1798,1304,1798,138.0,6.05,600.0,0.01206329
L2803_2805,2803,2805,138.0,11.38,600.0,0.02271452
L602_3418,602,3418,138.0,4.31,400,0.00860589
L67_3982,67,3982,138.0,25.79,400,0.05146678
L1391_3183,1391,3183,138.0,15.19,400,0.03031011
L44_3932,44,3932,345.0,0.41,1200,0.00011016
L431_1451,431,1451,138.0,12.94,600.0,0.0258144
L3870_3891,3870,3891,138.0,0.4,400,0.00080546
L1732_3356,1732,3356,138.0,7.35,400,0.01466776
L2107_3838,2107,3838,138.0,1.36,400,0.00272042
L4182_4199,4182,4199,138.0,5.51,400,0.01099823
L1806_3312,1806,3312,138.0,6.11,400,0.01220133
L1458_1646,1458,1646,138.0,10.49,600.0,0.02093884
L1640_3966,1640,3966,138.0,1.27,400,0.00252766
L913_1362,913,1362,138.0,4.08,600.0,0.00813892
L409_3950,409,3950,138.0,5.33,400,0.01062917
L1891_1892,1891,1892,345.0,8.2,2400.0,0.00220539
L1143_3197,1143,3197,138.0,1.12,400,0.00223966
L3479_3480,3479,3480,138.0,4.19,400,0.00835689
L1965_3988,1965,3988,138.0,6.95,400,0.01386077
L463_887,463,887,138.0,15.1,600.0,0.03012568
L2953_4212,2953,4212,138.0,3.16,400,0.00629864
L361_362,361,362,138.0,9.21,600.0,0.01837759
L1219_3253,1219,3253,138.0,1.42,400,0.00282407
L4056_4058,4056,4058,138.0,0.53,400,0.00105594
L468_3871,468,3871,138.0,1.38,400,0.00275041
L103_1268,103,1268,138.0,0.32,400,0.00064599
L3724_3751,3724,3751,138.0,5.42,400,0.01080528
L2924_2932,2924,2932,138.0,10.94,600.0,0.02182678
L898_3589,898,3589,138.0,1.28,400,0.00254683
L1403_1404,1403,1404,138.0,6.27,2400.0,0.01251423
L2799_3969,2799,3969,138.0,0.62,400,0.00123802
L2905_4009,2905,4009,138.0,4.4,400,0.00878078
L3365_3670,3365,3670,138.0,14.04,400,0.02802467
L161_162,161,162,138.0,7.38,600.0,0.01471889
L860_3151,860,3151,138.0,36.31,400,0.07245568
L1264_3498,1264,3498,138.0,0.34,400,0.00068713
L1706_3441,1706,3441,138.0,3.8,400,0.00757605
L3891_3893,3891,3893,138.0,8.72,400,0.01740521
L1964_1965,1964,1965,138.0,2.76,600.0,0.00551582
L1194_1201,1194,1201,138.0,1.45,2400.0,0.0028919
L3473_3474,3473,3474,138.0,4.58,400,0.00913987
L3320_3321,3320,3321,138.0,0.4,400,0.00078924
L1590_4060,1590,4060,345.0,19.85,1200,0.00533573
L1290_3484,1290,3484,138.0,1.47,400,0.00292371
L717_3738,717,3738,138.0,21.54,400,0.04298526
L3006_3964,3006,3964,138.0,1.33,400,0.00264683
L1037_1038,1037,1038,138.0,2.88,2400.0,0.00574667
L1908_4008,1908,4008,138.0,0.83,400,0.00165478
L661_4162,661,4162,138.0,4.0,400,0.00797306
L53_684,53,684,138.0,0.61,400,0.00120752
L2160_3937,2160,3937,138.0,29.92,400,0.05970813
L396_1085,396,1085,138.0,6.67,600.0,0.01331366
L255_3637,255,3637,138.0,1.89,400,0.00377103
L1993_2826,1993,2826,138.0,14.36,600.0,0.02866091
L1449_1450,1449,1450,138.0,3.3,600.0,0.00658981
L2293_2294,2293,2294,138.0,16.24,600.0,0.0324084
L353_1535,353,1535,138.0,6.39,600.0,0.01274841
L610_620,610,620,138.0,41.2,600.0,0.08220828
L1279_2163,1279,2163,138.0,9.1,600.0,0.01815078
L54_4073,54,4073,138.0,0.81,400,0.00160741
L2585_4225,2585,4225,138.0,1.36,400,0.0027148
L1709_3500,1709,3500,138.0,5.92,400,0.01180417
L1372_3506,1372,3506,138.0,20.81,400,0.04151813
L3821_3928,3821,3928,138.0,0.5,400,0.00100005
L3519_3520,3519,3520,138.0,6.34,400,0.01264094
L2691_2818,2691,2818,138.0,9.92,600.0,0.01978659
L1532_3178,1532,3178,138.0,3.65,400,0.00728257
L1117_3446,1117,3446,138.0,2.63,400,0.00524342
L372_1744,372,1744,138.0,8.92,600.0,0.01779457
L23_1457,23,1457,138.0,1.8,600.0,0.00358953
L1158_3542,1158,3542,138.0,1.17,400,0.00233348
L1989_1990,1989,1990,138.0,4.09,600.0,0.00815958
L2460_3906,2460,3906,138.0,0.4,400,0.00079467
L551_1596,551,1596,345.0,12.18,2400.0,0.00327469
L2895_4084,2895,4084,138.0,1.69,400,0.00337622
L4008_4282,4008,4282,138.0,0.67,400,0.00133625
L396_1764,396,1764,138.0,5.35,600.0,0.01067723
L4034_4277,4034,4277,138.0,0.61,400,0.00121171
L960_2940,960,2940,138.0,0.35,400,0.00069071
L402_4187,402,4187,138.0,4.4,400,0.00877765
L598_1495,598,1495,345.0,8.38,2400.0,0.00225337
L1207_1208,1207,1208,138.0,21.71,600.0,0.04331851
L21_3644,21,3644,138.0,1.3,400,0.00260246
L4023_4259,4023,4259,138.0,0.49,400,0.0009738
L3728_3878,3728,3878,138.0,0.64,400,0.00128576
L1620_4231,1620,4231,345.0,15.07,1200,0.00405271
L2953_4130,2953,4130,138.0,5.18,400,0.01034314
L362_1431,362,1431,138.0,30.89,600.0,0.06164527
L3786_3920,3786,3920,138.0,0.59,400,0.00118661
L947_1624,947,1624,345.0,5.88,2400.0,0.00157956
L2853_3977,2853,3977,138.0,9.49,400,0.0189392
L1346_4150,1346,4150,138.0,2.7,400,0.00538951
L894_3184,894,3184,138.0,17.98,400,0.03586732
L3413_3692,3413,3692,138.0,6.82,400,0.01361362
L1975_3164,1975,3164,138.0,3.5,400,0.00698347
L1495_3416,1495,3416,345.0,4.56,1200,0.00122648
L483_2468,483,2468,138.0,17.88,600.0,0.0356762
L673_3583,673,3583,138.0,3.76,400,0.00749653
L968_4151,968,4151,138.0,0.69,400,0.00137816
L1343_1573,1343,1573,345.0,2.5,2400.0,0.0006724
L2333_2334,2333,2334,138.0,6.12,600.0,0.01221735
L2716_4188,2716,4188,138.0,1.25,400,0.00248715
L1139_1140,1139,1140,138.0,8.78,600.0,0.01752388
L102_110,102,110,138.0,1.68,2400.0,0.00334257
L3904_3905,3904,3905,138.0,1.35,400,0.00269264
L2710_2711,2710,2711,138.0,0.82,400,0.00163896
L1605_3723,1605,3723,345.0,0.41,1200,0.00011128
L2567_4214,2567,4214,138.0,0.45,400,0.00089496
L1224_3442,1224,3442,138.0,5.95,400,0.0118813
L1830_1832,1830,1832,345.0,5.12,2400.0,0.00137727
L325_327,325,327,138.0,11.86,600.0,0.02366193
L1017_3193,1017,3193,138.0,7.0,400,0.01396575
L4097_4170,4097,4170,138.0,0.33,400,0.00065641
L4082_4219,4082,4219,138.0,0.31,400,0.00062191
L390_1126,390,1126,138.0,2.5,600.0,0.00498925
L1036_4100,1036,4100,138.0,0.71,400,0.00141766
L2689_2690,2689,2690,138.0,5.29,600.0,0.01056384
L738_3762,738,3762,138.0,7.75,400,0.01546241
L1551_1553,1551,1553,345.0,21.19,2400.0,0.00569774
L582_592,582,592,138.0,12.54,600.0,0.02502607
L1774_3423,1774,3423,138.0,1.96,400,0.00391671
L2759_4289,2759,4289,138.0,5.25,400,0.01047946
L1177_3252,1177,3252,138.0,1.0,400,0.00200112
L217_1211,217,1211,138.0,5.33,600.0,0.01063484
L352_1846,352,1846,138.0,5.26,400,0.01048944
L2327_2977,2327,2977,138.0,5.92,600.0,0.01181981
L3915_3916,3915,3916,138.0,1.04,400,0.00207095
L1083_1198,1083,1198,138.0,5.26,600.0,0.01048841
L2722_4229,2722,4229,138.0,8.73,400,0.01741878
L975_1008,975,1008,138.0,2.5,2400.0,0.00498009
L268_269,268,269,138.0,1.37,600.0,0.0027394
L1545_1546,1545,1546,345.0,39.83,2400.0,0.01070712
L2468_2469,2468,2469,138.0,0.59,400,0.00117518
L416_1063,416,1063,138.0,37.31,600.0,0.07445298
L1070_3575,1070,3575,138.0,2.41,400,0.00480669
L3580_3581,3580,3581,138.0,1.35,400,0.00269761
L702_3903,702,3903,138.0,9.32,400,0.018603
L2614_4118,2614,4118,138.0,1.34,400,0.00266425
L1053_1059,1053,1059,138.0,2.95,2400.0,0.00588266
L705_1942,705,1942,138.0,11.97,600.0,0.02387693
L2843_2886,2843,2886,138.0,5.03,2400.0,0.01003855
L3694_3695,3694,3695,138.0,2.17,400,0.004328
L282_283,282,283,138.0,21.96,600.0,0.04381448
L1230_1232,1230,1232,138.0,4.27,2400.0,0.00852298
L1384_1392,1384,1392,138.0,4.57,600.0,0.00911897
L3178_3379,3178,3379,138.0,3.96,400,0.00789905
L1064_3568,1064,3568,138.0,4.67,400,0.00931241
L659_660,659,660,138.0,3.67,600.0,0.00731419
L1196_1201,1196,1201,138.0,3.9,600.0,0.0077757
L394_3192,394,3192,138.0,3.38,400,0.00673595
L3746_3810,3746,3810,138.0,0.31,400,0.00061542
L2103_3698,2103,3698,138.0,2.36,400,0.00471311
L4259_4260,4259,4260,138.0,1.43,400,0.00285125
L1099_1916,1099,1916,138.0,1.76,600.0,0.00351253
L1953_1955,1953,1955,138.0,7.37,600.0,0.01469808
L249_253,249,253,138.0,5.72,600.0,0.01140702
L1433_3222,1433,3222,138.0,7.28,400,0.01452837
L96_471,96,471,138.0,6.93,600.0,0.01382783
L2682_4114,2682,4114,138.0,0.74,400,0.00148062
L1086_3572,1086,3572,138.0,27.83,400,0.05552571
L310_324,310,324,138.0,5.42,600.0,0.01080896
L4238_4239,4238,4239,138.0,2.4,400,0.00479851
L2327_2612,2327,2612,138.0,2.56,600.0,0.00511149
L1093_3562,1093,3562,138.0,4.07,400,0.00812589
L887_3163,887,3163,138.0,0.96,400,0.00192531
L591_592,591,592,138.0,32.33,2400.0,0.06450258
L670_671,670,671,138.0,9.86,600.0,0.01968054
L438_439,438,439,138.0,0.46,400,0.00090872
L1576_3760,1576,3760,138.0,3.09,400,0.00617568
L343_867,343,867,138.0,24.22,600.0,0.04832188
L1275_1690,1275,1690,138.0,18.49,600.0,0.03688505
L2164_2329,2164,2329,138.0,4.34,2400.0,0.00866133
L3260_3526,3260,3526,138.0,4.0,400,0.00797631
L3940_4217,3940,4217,138.0,0.96,400,0.00191043
L1016_4124,1016,4124,138.0,2.89,400,0.00577031
L1794_3483,1794,3483,138.0,1.37,400,0.00273362
L3982_3983,3982,3983,138.0,0.31,400,0.00062209
L589_592,589,592,138.0,5.79,600.0,0.01154344
L38_2499,38,2499,138.0,0.64,400,0.00127868
L89_1756,89,1756,138.0,24.16,600.0,0.04821109
L1235_1236,1235,1236,138.0,4.61,2400.0,0.00919469
L1082_1083,1082,1083,138.0,3.91,600.0,0.00780511
L1884_3244,1884,3244,138.0,5.29,400,0.01055057
L4111_4295,4111,4295,138.0,5.31,400,0.01058587
L2837_4154,2837,4154,138.0,2.53,400,0.00504541
L76_3983,76,3983,138.0,19.56,400,0.03902228
L1012_4133,1012,4133,138.0,0.54,400,0.00108058
L974_4175,974,4175,138.0,6.59,400,0.01315307
L1952_4047,1952,4047,138.0,2.14,400,0.00427576
L1380_1453,1380,1453,138.0,38.04,600.0,0.07590076
L59_1333,59,1333,138.0,3.21,600.0,0.00640067
L4004_4121,4004,4121,138.0,4.16,400,0.00830923
L374_3610,374,3610,138.0,2.62,400,0.00522429
L2874_2877,2874,2877,138.0,2.19,2400.0,0.00436925
L232_1199,232,1199,138.0,1.13,600.0,0.00226232
L2839_3937,2839,3937,138.0,12.13,400,0.02419535
L572_576,572,576,138.0,5.26,600.0,0.0104941
L1226_1372,1226,1372,138.0,23.48,600.0,0.04685874
L3964_4204,3964,4204,138.0,28.02,400,0.0559154
L755_3795,755,3795,138.0,0.47,400,0.00094213
L1157_3542,1157,3542,138.0,0.57,400,0.0011436
L1014_1015,1014,1015,138.0,8.07,600.0,0.01611124
L3438_3579,3438,3579,138.0,0.64,400,0.00127336
L641_3173,641,3173,138.0,11.25,400,0.02244451
L1702_3178,1702,3178,138.0,3.28,400,0.00654826
L3336_3478,3336,3478,138.0,0.46,400,0.00092408
L1776_1789,1776,1789,138.0,3.92,600.0,0.00783048
L3363_3536,3363,3536,138.0,0.56,400,0.00112309
L921_3662,921,3662,230.0,1.55,600,0.00102834
L1014_4138,1014,4138,138.0,4.32,400,0.00861371
L2677_4066,2677,4066,138.0,3.82,400,0.0076285
L2300_4248,2300,4248,138.0,6.05,400,0.0120671
L381_382,381,382,138.0,7.97,600.0,0.01589842
L2158_4139,2158,4139,138.0,1.45,400,0.00289669
L3379_3391,3379,3391,138.0,0.43,400,0.00085595
L1941_1943,1941,1943,138.0,60.99,600.0,0.12170267
L1741_3174,1741,3174,138.0,14.59,400,0.02911466
L1134_1403,1134,1403,138.0,3.84,1800.0,0.0076621
L478_479,478,479,138.0,0.53,400,0.00105523
L2016_3902,2016,3902,138.0,0.93,400,0.00185251
L911_3610,911,3610,138.0,1.87,400,0.00373202
L2810_3032,2810,3032,138.0,5.78,600.0,0.01152496
L2150_4237,2150,4237,138.0,2.25,400,0.00449332
L391_3324,391,3324,138.0,10.69,400,0.02133053
L4033_4300,4033,4300,138.0,0.46,400,0.000926
L925_3574,925,3574,138.0,6.24,400,0.01245764
L1589_2935,1589,2935,345.0,4.6,2400.0,0.00123594
L3790_3791,3790,3791,138.0,1.06,400,0.00211571
L2536_4105,2536,4105,138.0,3.87,400,0.0077144
L1685_3415,1685,3415,138.0,0.59,400,0.00118291
L938_1906,938,1906,138.0,8.67,600.0,0.01730686
L931_2303,931,2303,138.0,1.56,600.0,0.00311249
L2703_4201,2703,4201,138.0,2.3,400,0.00458955
L1149_3545,1149,3545,230.0,3.21,600,0.00212634
L1745_3195,1745,3195,138.0,0.37,400,0.00072838
L1227_1830,1227,1830,345.0,4.11,2400.0,0.00110397
L1526_3410,1526,3410,138.0,1.37,400,0.0027389
L1069_1554,1069,1554,345.0,2.42,2400.0,0.00065168
L2985_4200,2985,4200,138.0,6.29,400,0.01254828
L2562_2700,2562,2700,138.0,2.36,600.0,0.00471271
L638_1393,638,1393,138.0,8.5,600.0,0.01696193
L1640_2804,1640,2804,138.0,24.83,600.0,0.04954009
L442_1437,442,1437,138.0,29.1,600.0,0.05806052
L1998_1999,1998,1999,138.0,4.18,600.0,0.00833432
L1260_3503,1260,3503,138.0,8.62,400,0.01720009
L901_3188,901,3188,138.0,28.01,400,0.05589907
L3003_4031,3003,4031,138.0,9.56,400,0.01907044
L3722_3723,3722,3723,138.0,19.21,400,0.03832518
L1482_3208,1482,3208,345.0,0.34,1200,9.166e-05
L1353_3455,1353,3455,138.0,4.62,400,0.00921838
L4141_4174,4141,4174,138.0,3.94,400,0.00785688
L1054_1055,1054,1055,138.0,2.06,600.0,0.00411721
L4234_4235,4234,4235,138.0,0.75,400,0.00149597
L2874_4107,2874,4107,138.0,3.5,400,0.00698518
L3836_3837,3836,3837,138.0,0.4,400,0.00080505
L2145_4160,2145,4160,138.0,1.13,400,0.00226267
L1023_1773,1023,1773,138.0,2.42,600.0,0.00482508
L1748_3491,1748,3491,138.0,2.9,400,0.00578537
L789_3749,789,3749,138.0,1.69,400,0.00338005
L1103_3493,1103,3493,138.0,3.59,400,0.00716285
L1431_1432,1431,1432,138.0,8.96,600.0,0.01787346
L1182_3210,1182,3210,138.0,8.58,400,0.01712986
L2322_2417,2322,2417,138.0,18.54,600.0,0.03698709
L1254_3200,1254,3200,138.0,11.86,400,0.02365771
L1640_2805,1640,2805,138.0,10.43,600.0,0.02080527
L189_190,189,190,138.0,24.04,600.0,0.04796364
L2802_2948,2802,2948,138.0,15.58,2400.0,0.0310977
L2323_2622,2323,2622,138.0,5.32,600.0,0.01062436
L2772_3966,2772,3966,138.0,13.78,400,0.0274954
L2584_2789,2584,2789,698.0,24.94,4000.0,0.00279323
L802_943,802,943,138.0,17.94,600.0,0.03580196
L4068_4210,4068,4210,138.0,12.39,400,0.02472354
L2302_2325,2302,2325,138.0,5.96,600.0,0.01189931
L723_780,723,780,138.0,14.31,600.0,0.02854923
L1011_1059,1011,1059,138.0,4.16,600.0,0.00830831
L287_290,287,290,138.0,4.08,600.0,0.00814862
L1611_3752,1611,3752,138.0,85.23,400,0.17006957
L168_169,168,169,138.0,1.03,2400.0,0.0020497
L4124_4258,4124,4258,138.0,5.84,400,0.01165925
L3722_3753,3722,3753,138.0,29.56,400,0.05898676
L873_892,873,892,138.0,4.38,600.0,0.00873794
L3023_4273,3023,4273,138.0,1.95,400,0.00389496
L2537_4252,2537,4252,138.0,12.33,400,0.02460043
L1377_1689,1377,1689,138.0,7.16,2400.0,0.0142924
L3582_3610,3582,3610,138.0,1.07,400,0.00212877
L3480_3481,3480,3481,138.0,3.21,400,0.00640352
L575_2735,575,2735,138.0,0.67,400,0.00133552
L2010_3730,2010,3730,138.0,0.65,400,0.00130157
L861_3201,861,3201,138.0,10.21,400,0.02037309
L1203_3648,1203,3648,138.0,32.57,400,0.0649957
L1174_3521,1174,3521,138.0,0.77,400,0.00153767
L1226_2245,1226,2245,138.0,10.22,600.0,0.02039372
L2954_2956,2954,2956,138.0,2.43,2400.0,0.00484573
L3_503,3,503,138.0,3.09,600.0,0.00616356
L937_3619,937,3619,138.0,2.3,400,0.00458127
L2321_2322,2321,2322,138.0,16.32,600.0,0.0325684
L2516_2578,2516,2578,138.0,12.13,600.0,0.02420721
L2638_4207,2638,4207,138.0,3.12,400,0.00622487
L1029_4117,1029,4117,138.0,3.35,400,0.00668145
L3892_3893,3892,3893,138.0,0.79,400,0.00157868
L1333_2523,1333,2523,138.0,2.48,600.0,0.00495514
L2257_4101,2257,4101,138.0,5.82,400,0.01160515
L905_3626,905,3626,138.0,0.91,400,0.00182272
L1044_2481,1044,2481,138.0,2.51,2400.0,0.00501786
L3315_3316,3315,3316,138.0,2.64,400,0.00525996
L2068_3985,2068,3985,138.0,16.42,400,0.03276025
L1007_2102,1007,2102,138.0,3.91,2400.0,0.00779568
L700_3739,700,3739,138.0,1.12,400,0.00223759
L419_427,419,427,138.0,24.51,600.0,0.04890786
L245_246,245,246,138.0,4.94,600.0,0.00985817
L1208_3623,1208,3623,138.0,8.94,400,0.01784759
L1601_3960,1601,3960,345.0,4.58,1200,0.00123111
L2960_4200,2960,4200,138.0,1.66,400,0.00330965
L3027_3028,3027,3028,138.0,2.26,600.0,0.00450313
L1557_2519,1557,2519,345.0,5.55,2400.0,0.0014926
L1988_4205,1988,4205,138.0,5.36,400,0.01069494
L1107_1395,1107,1395,138.0,3.17,600.0,0.00633467
L8_3338,8,3338,138.0,5.17,400,0.0103078
L3574_4174,3574,4174,138.0,3.78,400,0.00754752
L2082_2963,2082,2963,345.0,3.07,2400.0,0.00082471
L1510_1517,1510,1517,345.0,7.37,2400.0,0.0019809
L726_3725,726,3725,138.0,0.31,400,0.00062513
L1162_1243,1162,1243,138.0,4.64,600.0,0.00925939
L491_492,491,492,345.0,0.47,1200,0.00012605
L844_849,844,849,138.0,7.94,600.0,0.01583759
L2477_2478,2477,2478,138.0,1.31,600.0,0.00261996
L665_1756,665,1756,138.0,15.91,600.0,0.03174473
L1358_3452,1358,3452,138.0,3.88,400,0.00775202
L868_869,868,869,138.0,3.51,600.0,0.00701215
L2574_2809,2574,2809,138.0,3.74,600.0,0.0074613
L2350_2692,2350,2692,138.0,2.82,600.0,0.00561816
L210_3956,210,3956,138.0,9.11,400,0.01817388
L574_576,574,576,138.0,7.99,600.0,0.01593335
L291_292,291,292,138.0,4.22,600.0,0.00841098
L2020_3926,2020,3926,138.0,0.51,400,0.00101561
L30_3889,30,3889,138.0,2.19,400,0.00436415
L3336_3337,3336,3337,138.0,1.75,400,0.003499
L639_1537,639,1537,138.0,13.44,600.0,0.02681916
L344_573,344,573,138.0,26.73,400,0.05334185
L668_669,668,669,138.0,6.9,600.0,0.01377566
L270_271,270,271,138.0,3.7,600.0,0.00738988
L2398_4257,2398,4257,138.0,5.58,400,0.01112443
L2705_4061,2705,4061,138.0,2.35,400,0.00469093
L1573_4058,1573,4058,345.0,2.14,1200,0.00057536
L647_648,647,648,138.0,12.14,600.0,0.02422386
L3246_3256,3246,3256,138.0,1.04,400,0.0020814
L3151_3154,3151,3154,138.0,19.05,400,0.03800515
L623_629,623,629,138.0,0.8,400,0.00160093
L163_2671,163,2671,138.0,19.83,600.0,0.03956075
L112_1861,112,1861,345.0,0.51,1200,0.0001379
L420_970,420,970,138.0,53.05,600.0,0.10585978
L121_123,121,123,138.0,9.56,600.0,0.01906996
L1081_3471,1081,3471,138.0,0.69,400,0.00138064
L1010_4131,1010,4131,138.0,0.93,400,0.00186471
L3324_3578,3324,3578,138.0,9.62,400,0.01920479
L3425_3582,3425,3582,138.0,4.67,400,0.009313
L2892_4153,2892,4153,138.0,3.07,400,0.00613029
L3350_3352,3350,3352,138.0,2.4,400,0.00479116
L3959_3960,3959,3960,138.0,38.84,400,0.07749239
L1315_3445,1315,3445,138.0,2.24,400,0.00447113
L2108_3841,2108,3841,138.0,13.09,400,0.02612034
L3382_3383,3382,3383,138.0,2.0,400,0.00399592
L202_203,202,203,345.0,9.67,2400.0,0.00259975
L187_1172,187,1172,138.0,3.56,600.0,0.007096
L1356_3457,1356,3457,138.0,6.06,400,0.01209203
L446_3168,446,3168,138.0,16.18,400,0.03228808
