uid,from_bus,to_bus,voltage_kv,length_km,capacity_mva,reactance
L1910_3051,1910,3051,345.0,0.49,1200,0.0001309
L1638_2380,1638,2380,345.0,38.85,2400.0,0.01044365
L1645_1649,1645,1649,345.0,246.65,2400.0,0.06631242
L1684_1687,1684,1687,345.0,16.3,2400.0,0.00438206
L795_1546,795,1546,345.0,50.62,2400.0,0.0136084
L1486_3053,1486,3053,345.0,2.75,1200,0.00073895
L580_1645,580,1645,345.0,0.52,1200,0.00013847
L2995_3104,2995,3104,345.0,8.62,1200,0.0023184
L3096_3097,3096,3097,345.0,0.34,1200,9.083e-05
L1664_3042,1664,3042,345.0,9.15,1200,0.00245965
L1937_2317,1937,2317,345.0,14.42,2400.0,0.00387627
L1700_1822,1700,1822,345.0,27.0,2400.0,0.00725793
L129_818,129,818,345.0,0.43,1200,0.00011467
L1543_3058,1543,3058,345.0,15.98,1200,0.00429696
L2362_2382,2362,2382,345.0,52.97,2400.0,0.01424007
L0_3108,0,3108,345.0,0.48,1200,0.00012994
L1968_2963,1968,2963,345.0,5.63,2400.0,0.00151436
L536_999,536,999,345.0,2.11,2400.0,0.00056631
L346_3053,346,3053,345.0,10.07,1200,0.00270656
L1893_3040,1893,3040,345.0,18.91,1200,0.0050835
L2054_2423,2054,2423,345.0,3.15,2400.0,0.00084672
L1603_2409,1603,2409,345.0,42.11,2400.0,0.01132048
L1593_1597,1593,1597,345.0,7.61,2400.0,0.00204669
L3061_3069,3061,3069,345.0,0.52,1200,0.00013962
L1549_3083,1549,3083,345.0,24.67,1200,0.00663244
L3129_3139,3129,3139,345.0,0.71,1200,0.00019088
L1492_3052,1492,3052,345.0,14.47,1200,0.00389107
L840_1578,840,1578,345.0,21.36,2400.0,0.00574298
L1560_2357,1560,2357,345.0,4.34,2400.0,0.00116692
L2311_2437,2311,2437,345.0,30.37,2400.0,0.00816531
L2409_3134,2409,3134,345.0,21.2,1200,0.00569856
L2230_2314,2230,2314,345.0,9.33,2400.0,0.00250904
L793_924,793,924,345.0,80.36,2400.0,0.02160616
L577_820,577,820,345.0,44.72,2400.0,0.01202171
L3077_3081,3077,3081,345.0,0.45,1200,0.00012004
L1719_1937,1719,1937,345.0,27.7,2400.0,0.00744792
L1581_1582,1581,1582,345.0,0.32,1200,8.643e-05
L1617_3104,1617,3104,345.0,0.91,1200,0.0002447
L1971_3073,1971,3073,345.0,59.52,1200,0.01600189
L1503_1515,1503,1515,345.0,96.55,2400.0,0.02595748
L3067_3068,3067,3068,345.0,0.32,1200,8.641e-05
L1590_2978,1590,2978,345.0,17.17,2400.0,0.00461606
L1599_1647,1599,1647,345.0,18.8,2400.0,0.0050537
L1641_1642,1641,1642,345.0,1.28,2400.0,0.00034528
L1603_2450,1603,2450,345.0,26.36,2400.0,0.00708596
L1526_1528,1526,1528,345.0,21.41,2400.0,0.00575717
L1635_1636,1635,1636,345.0,24.11,2400.0,0.00648182
L1609_1612,1609,1612,345.0,5.47,2400.0,0.00147065
L3006_3084,3006,3084,345.0,0.67,1200,0.00017958
L1638_3135,1638,3135,345.0,24.7,1200,0.00664094
L2319_2320,2319,2320,345.0,5.51,2400.0,0.00148254
L1559_1821,1559,1821,345.0,50.45,2400.0,0.01356327
L2451_2551,2451,2551,345.0,12.09,2400.0,0.00324998
L2448_2449,2448,2449,345.0,9.5,2400.0,0.00255489
L1547_1821,1547,1821,345.0,3.51,2400.0,0.00094483
L1589_2978,1589,2978,345.0,16.95,2400.0,0.00455719
L2214_3140,2214,3140,345.0,37.76,1200,0.01015279
L2354_2355,2354,2355,345.0,0.61,1200,0.00016313
L606_3055,606,3055,345.0,71.4,1200,0.01919494
L1648_1651,1648,1651,345.0,0.37,1200,9.912e-05
L1601_1895,1601,1895,345.0,86.32,2400.0,0.0232081
L19_3127,19,3127,345.0,19.11,1200,0.00513755
L2280_3136,2280,3136,345.0,2.46,1200,0.00066178
L1583_2980,1583,2980,345.0,5.39,2400.0,0.00145026
L834_2385,834,2385,345.0,39.92,2400.0,0.01073368
L522_820,522,820,345.0,6.05,2400.0,0.0016278
L1516_1517,1516,1517,345.0,0.81,1200,0.00021827
L1482_1484,1482,1484,345.0,14.9,2400.0,0.00400549
