id,name,zone,base_kv,lat,lng,mw_load,gen_mw,gen_fuels
92,Limestone_Substation,NORTH,138.0,31.42194,-96.24625,0.0,0.0,
93,Ridge_Substation,NORTH,138.0,31.10489,-96.29459,0.0,0.0,
94,Pomelo_Substation,SOUTH,345.0,26.44478,-98.47748,0.0,0.0,
95,Moulton_South_Substation,SOUTH,138.0,29.53115,-97.14045,0.0,0.0,
96,Salt_Draw_Substation,WEST,138.0,31.33816,-103.50298,0.0,0.0,
99,T_H_Wharton_Substation,HOUSTON,345.0,29.93987,-95.532,0.0,1910.6,Gas
100,Intermediate_Substation,HOUSTON,138.0,29.60677,-95.44696,0.0,0.0,
102,Orion_Substation,HOUSTON,138.0,29.62874,-95.04513,0.0,0.0,
103,Big_Bay_Substation,HOUSTON,138.0,29.62347,-95.04538,0.0,0.0,
104,Alkane_Substation,HOUSTON,138.0,29.68151,-95.02151,0.0,0.0,
105,Sandy_Point_Substation,HOUSTON,138.0,29.68004,-95.01184,0.0,0.0,
106,Hunter_Substation,HOUSTON,138.0,29.60152,-95.0145,0.0,0.0,
107,Hanna_Substation,HOUSTON,138.0,29.5977,-95.03135,0.0,0.0,
108,Mirage_Substation,HOUSTON,138.0,29.64605,-95.05363,0.0,0.0,
109,Shore_Substation,HOUSTON,138.0,29.62312,-95.04194,0.0,0.0,
110,McCabe_Substation,HOUSTON,138.0,29.64326,-95.04051,0.0,0.0,
111,Genoa_Substation,HOUSTON,138.0,29.62272,-95.1178,0.0,0.0,
112,P_H_Robinson_Peaker_Substation,HOUSTON,138.0,29.49159,-94.98456,0.0,0.0,
113,Butler_Road_Substation,HOUSTON,138.0,29.48898,-95.10952,0.0,0.0,
114,South_Shore_Substation,HOUSTON,138.0,29.51551,-95.04268,0.0,0.0,
116,Fry_Road_Substation,HOUSTON,138.0,29.9126,-95.72465,0.0,0.0,
117,Meadow_Substation,HOUSTON,345.0,29.46015,-95.25779,0.0,0.0,
119,Arcola_Substation,HOUSTON,138.0,29.48922,-95.46674,0.0,0.0,
120,Foster_Substation,HOUSTON,138.0,29.70192,-95.84669,0.0,0.0,
121,Prairie_View_Substation,HOUSTON,138.0,30.08496,-95.9823,0.0,0.0,
122,Waller_Substation,HOUSTON,138.0,30.04819,-95.92693,0.0,0.0,
123,Seaway_Substation,HOUSTON,138.0,30.15603,-95.92642,0.0,0.0,
124,Macedonia_Substation,HOUSTON,138.0,30.15967,-95.81008,0.0,0.0,
125,Green_Pastures_Wind_Substation,WEST,345.0,33.64465,-99.42083,0.0,330.2,Wind
126,Bruenning_s_Breeze_Substation,SOUTH,345.0,26.52224,-97.65547,0.0,228.0,Wind
127,Santa_Cruz_Substation,SOUTH,138.0,27.58909,-97.53485,0.0,249.0,Wind
128,Fluvanna_Wind_1_Substation,WEST,138.0,32.88617,-101.09472,0.0,0.0,
129,Dermott_Wind_Substation,WEST,345.0,32.86387,-101.00965,0.0,0.0,
132,Riggins_Substation,WEST,138.0,31.05435,-102.85104,0.0,155.4,Solar
133,Lamesa_Solar_Substation,WEST,138.0,32.71942,-101.93628,0.0,151.6,Solar
134,Splendora_Substation,HOUSTON,138.0,30.21892,-95.13891,0.0,0.0,
135,Facebook_Data_Center,NORTH,138.0,32.98562,-97.26187,0.0,0.0,
136,Johnstown_Substation,HOUSTON,138.0,30.21482,-95.28713,0.0,0.0,
137,Apollo_Substation,HOUSTON,138.0,30.181,-95.1448,0.0,0.0,
138,Marconi_Substation,SOUTH,138.0,26.09203,-97.39698,0.0,0.0,
139,Springwood_Substation,HOUSTON,138.0,30.08601,-95.44039,0.0,0.0,
140,Deer_Lake_Substation,HOUSTON,138.0,30.3113,-95.62547,0.0,0.0,
141,Ponderosa_Substation,HOUSTON,230.0,30.29933,-95.49294,0.0,0.0,
142,Egypt_Substation,HOUSTON,138.0,30.39217,-95.51516,0.0,0.0,
143,Panorama_Substation,HOUSTON,138.0,30.37461,-95.51749,0.0,0.0,
144,Woodhaven_Substation,HOUSTON,138.0,30.31961,-95.55625,0.0,0.0,
146,Lacon_Substation,HOUSTON,138.0,30.43777,-95.52249,0.0,0.0,
147,Lewis_Creek_230_kV_Substation,HOUSTON,230.0,30.44002,-95.5203,0.0,0.0,
148,LNG_Substation,HOUSTON,138.0,30.44407,-95.52219,0.0,0.0,
149,Peach_Creek_Substation,HOUSTON,230.0,30.41577,-95.32807,0.0,0.0,
151,Crystal_Substation,HOUSTON,138.0,30.32127,-95.38726,0.0,0.0,
152,Forest_Substation,HOUSTON,138.0,30.20621,-95.44756,0.0,0.0,
153,Mallard_Substation,HOUSTON,138.0,30.266,-95.35189,0.0,0.0,
154,Cedar_Hill_Substation,HOUSTON,138.0,30.22678,-95.40493,0.0,0.0,
155,Jayhawker_Creek_Company_Substation,HOUSTON,138.0,30.32238,-95.15875,0.0,0.0,
156,Security_Substation,HOUSTON,138.0,30.32204,-95.29501,0.0,0.0,
157,Nacogdoches_North_Substation,NORTH,138.0,31.65163,-94.65428,0.0,0.0,
158,Huntington_Substation,NORTH,138.0,31.26895,-94.57437,0.0,0.0,
159,Clear_Lake_Substation,HOUSTON,138.0,29.60831,-95.12666,0.0,0.0,
160,Lingleville_Substation,NORTH,138.0,32.26079,-98.46839,0.0,0.0,
161,Silver_Star_Wind_Substation,NORTH,138.0,32.33103,-98.46574,0.0,451.5,Wind
162,Flat_Creek_Switching_Station,NORTH,138.0,32.26511,-98.47454,0.0,0.0,
163,Leon_Switching_Station,WEST,138.0,32.37378,-98.76902,0.0,0.0,
164,Jones_Creek_Substation,HOUSTON,345.0,28.95742,-95.38098,0.0,0.0,
167,Marine_Substation,HOUSTON,138.0,28.93339,-95.33979,0.0,0.0,
168,Quintana_Substation,HOUSTON,138.0,28.93223,-95.31787,0.0,0.0,
169,Cortez_Substation,HOUSTON,138.0,28.92476,-95.32408,0.0,0.0,
170,BASF_Substation,HOUSTON,138.0,29.00156,-95.39648,0.0,0.0,
171,Copper_Substation,HOUSTON,138.0,29.00673,-95.40527,0.0,0.0,
172,Retrieve_Substation,HOUSTON,138.0,29.09984,-95.4928,0.0,0.0,
173,McKinney_Street_Substation,NORTH,138.0,33.21408,-97.10284,0.0,0.0,
174,Blue_Acre_Substation,WEST,138.0,31.95796,-101.92657,0.0,0.0,
175,Pronghorn_Substation,WEST,138.0,31.81762,-101.97335,0.0,0.0,
177,Einstein_Substation,WEST,345.0,31.76947,-101.52076,0.0,0.0,
178,Camden_Substation,HOUSTON,138.0,28.98806,-95.35743,0.0,0.0,
179,Franklins_Camp_Substation,HOUSTON,138.0,28.92799,-95.56418,0.0,0.0,
182,Bailey_Substation,SOUTH,345.0,29.18544,-95.99252,0.0,199.5,Wind
183,Colorado_Bend_2_Substation,SOUTH,345.0,29.28767,-96.06479,0.0,1230.3,Gas
184,Colorado_Bend_Substation,SOUTH,138.0,29.28898,-96.06905,0.0,643.2,Gas
185,Caney_Creek_Substation_185,SOUTH,138.0,29.3247,-96.11868,0.0,0.0,
186,Texas_Gulf_Sulfur_Substation,SOUTH,138.0,29.26386,-95.90053,0.0,94.0,Gas
187,Bryan_Substation,HOUSTON,138.0,28.91954,-95.37617,0.0,0.0,
188,Mockingbird_Substation,SOUTH,138.0,29.70118,-96.57375,0.0,0.0,
189,Nada_Substation,SOUTH,138.0,29.3921,-96.38714,0.0,0.0,
190,Colorado_Substation,SOUTH,138.0,29.46711,-96.61992,0.0,0.0,
191,Sheridan_Substation,SOUTH,138.0,29.4972,-96.66661,0.0,0.0,
192,Rock_Island_Substation,SOUTH,138.0,29.55015,-96.53814,0.0,53.4,Gas
193,Aspermont_Substation,WEST,138.0,33.13962,-100.22628,0.0,0.0,
194,Baker_Ranch_Substation,WEST,345.0,33.36992,-99.58928,0.0,236.5,Wind
195,Benjamin_Substation,WEST,138.0,33.58452,-99.80102,0.0,0.0,
196,Putnam_Switching_Station,WEST,138.0,32.3835,-99.19411,0.0,0.0,
197,Johnsville_Substation,NORTH,138.0,32.12186,-97.94559,0.0,0.0,
199,Stephenville_Substation,NORTH,138.0,32.20526,-98.23286,0.0,0.0,
200,Norfork_Substation,NORTH,138.0,32.24306,-98.22363,0.0,0.0,
201,Wright_Substation,NORTH,138.0,32.26291,-98.1911,0.0,0.0,
202,Mesquite_Substation,WEST,345.0,32.62867,-99.54046,0.0,0.0,
203,Post_Oak_Substation,WEST,138.0,32.54172,-99.53866,0.0,0.0,
205,Fort_Phantom_Switchyard,WEST,138.0,32.5826,-99.68253,0.0,0.0,
206,California_Creek_Substation,WEST,138.0,33.07208,-99.55699,0.0,313.5,Solar
207,Paducah_Clare_Street_Substation,WEST,138.0,34.00523,-100.29934,0.0,0.0,
208,Holder_Substation,NORTH,138.0,31.91353,-98.97853,0.0,0.0,
209,Potosi_Substation,WEST,138.0,32.32909,-99.62313,0.0,0.0,
210,Estes_Station,WEST,138.0,32.36588,-99.52565,0.0,0.0,
211,Vinson_Station,WEST,138.0,32.35952,-99.69999,0.0,0.0,
212,Country_Club_Substation,WEST,138.0,32.40217,-99.74309,0.0,0.0,
213,Abilene_East_Substation,WEST,138.0,32.45271,-99.69988,0.0,0.0,
214,Maple_Street_Substation,WEST,138.0,32.40419,-99.72576,0.0,0.0,
215,Abilene_Aileen_Substation,WEST,138.0,32.48869,-99.70026,0.0,0.0,
216,Rainy_Creek_Substation,WEST,138.0,32.50234,-99.70087,0.0,602.9,Wind
217,Ricebird_Substation,SOUTH,138.0,29.23396,-96.27864,0.0,0.0,
218,Lane_City_Pump_Substation,SOUTH,138.0,29.19332,-96.0717,0.0,0.0,
219,Magill_Substation,SOUTH,138.0,29.01229,-95.96925,0.0,0.0,
220,Tenaris_Substation,SOUTH,138.0,28.99321,-95.91202,0.0,0.0,
221,Red_Bluff_Substation,SOUTH,138.0,28.88631,-96.52496,0.0,0.0,
222,Danevang_Substation,SOUTH,138.0,29.07806,-96.21532,0.0,0.0,
223,South_Texas_Project_Pump_Substation,SOUTH,138.0,28.77531,-95.99821,0.0,0.0,
224,Conoco_Substation,SOUTH,138.0,28.78432,-95.93885,0.0,0.0,
225,Celanese_Bay_City_Substation,SOUTH,138.0,28.86801,-96.01568,0.0,0.0,
227,Victoria_Switching_Station,SOUTH,138.0,28.78689,-97.01042,0.0,740.1,Gas
228,Magruder_Substation,SOUTH,138.0,28.84118,-97.00994,0.0,0.0,
230,Union_Carbide_Substation,SOUTH,138.0,28.51405,-96.77405,0.0,0.0,
231,Chocolate_Bayou_Substation,SOUTH,138.0,28.68554,-96.91933,0.0,0.0,
232,Big_Three_Substation,SOUTH,138.0,28.6513,-96.91403,0.0,0.0,
233,Formosa_Plastics_CFB_Substation,SOUTH,138.0,28.65126,-96.54002,0.0,0.0,
234,Warburton_Substation,SOUTH,138.0,28.59824,-97.04755,0.0,0.0,
235,Airco_Substation,SOUTH,138.0,28.50995,-96.79601,0.0,0.0,
236,Haisley_Substation,SOUTH,138.0,28.09503,-97.49368,0.0,0.0,
237,Medio_Creek_Substation,SOUTH,138.0,28.25339,-97.33997,0.0,0.0,
238,Portland_Substation,SOUTH,138.0,27.8878,-97.32243,0.0,0.0,
239,McCampbell_Substation,SOUTH,138.0,27.91493,-97.26871,0.0,0.0,
240,Dupont_PP1_Substation,SOUTH,138.0,27.88026,-97.24759,0.0,0.0,
241,Gregory_Switchyard,SOUTH,138.0,27.88898,-97.25749,0.0,0.0,
242,Ingleside_Cogeneration_Switchyard,SOUTH,138.0,27.88205,-97.24667,0.0,0.0,
244,Air_Liquide_Substation,SOUTH,138.0,27.87983,-97.23994,0.0,0.0,
245,Ingleside_Substation,SOUTH,138.0,27.87201,-97.21693,0.0,0.0,
246,Homeport_Substation,SOUTH,138.0,27.82807,-97.20948,0.0,0.0,
247,Aransas_Pass_Substation,SOUTH,138.0,27.92709,-97.18191,0.0,0.0,
248,Rockport_Substation,SOUTH,138.0,27.97746,-97.14213,0.0,0.0,
249,Raymondville_1_Substation,SOUTH,138.0,26.43753,-97.78179,0.0,0.0,
250,La_Sara_Substation,SOUTH,138.0,26.45123,-97.84689,0.0,0.0,
251,East_Raymondville_Substation,SOUTH,138.0,26.46716,-97.71549,0.0,0.0,
252,Armstrong_Substation,SOUTH,138.0,26.92722,-97.78968,0.0,0.0,
253,Raymondville_2_Substation,SOUTH,138.0,26.48157,-97.75216,0.0,0.0,
254,Power_Plant_Substation,SOUTH,138.0,25.91361,-97.52253,0.0,135.5,Gas
255,FM_802_Substation,SOUTH,138.0,25.95088,-97.49212,0.0,0.0,
256,Price_Road_Substation,SOUTH,138.0,25.93456,-97.47967,0.0,0.0,
257,Midtown_Substation,SOUTH,138.0,25.93855,-97.50562,0.0,0.0,
258,Southmost_Substation,SOUTH,138.0,25.88835,-97.42495,0.0,0.0,
259,Filter_Plant_Substation,SOUTH,138.0,25.92539,-97.46535,0.0,0.0,
260,Fort_Brown_Substation,SOUTH,138.0,25.89923,-97.46819,0.0,0.0,
261,Sixth_Street_Substation,SOUTH,138.0,25.90977,-97.49756,0.0,0.0,
