Bus ID,Bus Name,Sub Name,BaseKV,Bus Type,MW Load,MVAR Load,Area,Sub Area,Zone,lat,lng,osm_id,is_split
423,Buchanan_Substation,BUCHANAN SUBSTATION,345.0,PQ,0.0,0.0,7,7,G,41.26431,-73.94697,86300404.0,False
424,Fishkill_Plains_Substation,FISHKILL PLAINS SUBSTATION,115.0,PQ,0.0,0.0,7,7,G,41.59715,-73.84181,86299729.0,False
426,Pleasant_Valley_Substation,PLEASANT VALLEY SUBSTATION,345.0,PQ,0.0,0.0,7,7,G,41.73973,-73.83415,86251100.0,False
427,Wood_Street_Substation,WOOD STREET SUBSTATION,345.0,PQ,0.0,0.0,7,7,G,41.35298,-73.79373,86249380.0,False
428,Carmel_Substation,CARMEL SUBSTATION,115.0,PQ,0.0,0.0,7,7,G,41.37017,-73.7944,86249379.0,False
429,East_Fishkill_Substation,EAST FISHKILL SUBSTATION,345.0,PQ,0.0,0.0,7,7,G,41.56801,-73.8351,86220650.0,False
430,North_Chelsea_Substation,NORTH CHELSEA SUBSTATION,115.0,PQ,0.0,0.0,7,7,G,41.56438,-73.93791,86220645.0,False
446,Reynolds_Substation,REYNOLDS SUBSTATION,345.0,PQ,0.0,0.0,6,6,F,42.67277,-73.68791,81411053.0,False
447,Dennison_Station,DENNISON STATION,115.0,PQ,0.0,0.0,4,4,D,44.9548,-74.86219,81128961.0,False
449,Rock_Tavern_Substation_115kV,ROCK TAVERN SUBSTATION (115KV),115.0,PQ,0.0,0.0,7,7,G,41.4675,-74.19456,79211815.0,False
450,Pleasantville_Substation,PLEASANTVILLE SUBSTATION,345.0,PQ,0.0,0.0,7,7,G,41.14193,-73.78225,74203235.0,False
451,Dunwoodie_Substation,DUNWOODIE SUBSTATION,345.0,PQ,0.0,0.0,7,7,G,40.93954,-73.85795,73667439.0,False
452,Sprainbrook_Substation,SPRAINBROOK SUBSTATION,345.0,PQ,0.0,0.0,7,7,G,40.95754,-73.85636,73578036.0,False
453,Millwood_Substation,MILLWOOD SUBSTATION,345.0,PQ,0.0,0.0,7,7,G,41.19276,-73.80034,73571276.0,False
454,Eastview_Substation,EASTVIEW SUBSTATION,345.0,PQ,0.0,0.0,7,7,G,41.07696,-73.83206,73568847.0,False
455,Benette,BENETTE,115.0,PQ,0.0,0.0,2,2,B,42.30721,-77.65732,62711068.0,False
457,Katonah_Substation,KATONAH SUBSTATION,115.0,PQ,0.0,0.0,7,7,G,41.27662,-73.68705,60816523.0,False
458,North_Waverly_Substation,NORTH WAVERLY SUBSTATION,115.0,PQ,0.0,0.0,3,3,C,42.03799,-76.52875,50979036.0,False
459,Shandaken_Substation,SHANDAKEN SUBSTATION,115.0,PQ,0.0,0.0,7,7,G,42.12103,-74.39349,20223992.0,False
461,OSM_461,SPL_461,115.0,PQ,0.0,0.0,3,3,C,42.95384,-76.57321,1443610017.0,False
462,OSM_462,SPL_462,115.0,PQ,0.0,0.0,2,2,B,42.98213,-78.15841,1442734219.0,False
463,OSM_463,SPL_463,115.0,PQ,0.0,0.0,1,1,A,43.16165,-78.7453,1442490094.0,False
464,OSM_464,SPL_464,115.0,PQ,0.0,0.0,1,1,A,43.08242,-79.00325,1442054199.0,False
467,OSM_467,SPL_467,115.0,PQ,0.0,0.0,1,1,A,43.08563,-79.0153,1442042049.0,False
473,OSM_473,SPL_473,115.0,PQ,0.0,0.0,6,6,F,42.2319,-74.39296,1427170348.0,False
476,OSM_476,SPL_476,115.0,PQ,0.0,0.0,4,4,D,44.08815,-73.51319,1426662469.0,False
480,OSM_480,SPL_480,115.0,PQ,0.0,0.0,2,2,B,42.10178,-77.70133,1357071750.0,False
481,OSM_481,SPL_481,115.0,PQ,0.0,0.0,2,2,B,42.68435,-77.05435,1351265387.0,False
482,OSM_482,SPL_482,115.0,PQ,0.0,0.0,4,4,D,43.83036,-73.43257,1345991882.0,False
483,OSM_483,SPL_483,115.0,PQ,0.0,0.0,3,3,C,42.58583,-76.21689,1323036168.0,False
485,OSM_485,SPL_485,115.0,PQ,0.0,0.0,3,3,C,43.02,-75.0415,1318905044.0,False
489,OSM_489,SPL_489,115.0,PQ,0.0,0.0,4,4,D,44.06131,-75.80101,1313125467.0,False
491,OSM_491,SPL_491,115.0,PQ,0.0,0.0,7,7,G,41.66454,-73.8142,1306274513.0,False
492,OSM_492,SPL_492,115.0,PQ,0.0,0.0,7,7,G,41.62914,-73.91248,1306272653.0,False
493,OSM_493,SPL_493,115.0,PQ,0.0,0.0,7,7,G,41.52895,-73.91646,1306272628.0,False
494,OSM_494,SPL_494,138.0,PQ,0.0,0.0,7,7,G,41.1848,-74.00633,1305327132.0,False
495,OSM_495,SPL_495,115.0,PQ,0.0,0.0,7,7,G,41.56652,-73.95356,1305101837.0,False
496,OSM_496,SPL_496,115.0,PQ,0.0,0.0,7,7,G,41.56344,-73.95735,1305101836.0,False
497,OSM_497,SPL_497,138.0,PQ,0.0,0.0,7,7,G,41.24857,-73.9919,1304303565.0,False
501,OSM_501,SPL_501,115.0,PQ,0.0,0.0,4,4,D,44.25708,-75.39836,1290639811.0,False
507,OSM_507,SPL_507,115.0,PQ,0.0,0.0,7,7,G,41.47933,-73.97183,1231165434.0,False
509,OSM_509,SPL_509,115.0,PQ,0.0,0.0,3,3,C,43.14588,-75.24632,1221819858.0,False
510,OSM_510,SPL_510,345.0,PQ,0.0,0.0,7,7,G,41.74552,-73.84796,1221659222.0,False
512,OSM_512,SPL_512,345.0,PQ,0.0,0.0,5,5,E,42.25931,-75.00135,1217769021.0,False
