GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,POPULATION,LOAD_MW
75147,242907605,6571155,93.787,2.537,32.436676,-96.079558,6951,13.902
75148,226655723,15813428,87.512,6.106,32.124647,-96.02579,6396,12.792
75149,41127111,167560,15.879,0.065,32.773369,-96.618811,57758,115.516
75150,33060718,31191,12.765,0.012,32.817399,-96.630416,61863,123.726
75152,106191678,885802,41.001,0.342,32.439871,-96.678051,5194,10.388
75153,60896759,3262865,23.512,1.26,32.158261,-96.329631,571,1.142
75154,121745990,69147,47.006,0.027,32.524259,-96.809069,42192,84.384
75155,98675343,1635700,38.099,0.632,32.229113,-96.475509,2971,5.942
75156,81080622,42082488,31.305,16.248,32.277923,-96.105287,16718,33.436
75157,4402733,78210,1.7,0.03,32.464184,-96.439335,233,0.466
75158,227448657,3201790,87.818,1.236,32.462594,-96.402343,4337,8.674
75159,156181990,12082582,60.302,4.665,32.603727,-96.544282,20857,41.714
75160,310727420,2055951,119.973,0.794,32.758408,-96.301323,24494,48.988
75161,295283696,6777269,114.01,2.617,32.738797,-96.163856,7483,14.966
75163,87493161,15660762,33.781,6.047,32.166777,-96.118531,2590,5.18
75164,5905052,457018,2.28,0.176,33.065971,-96.308737,788,1.576
75165,291081813,4385901,112.387,1.693,32.373351,-96.787085,44571,89.142
75166,34129635,8460782,13.178,3.267,33.012738,-96.453766,4624,9.248
75167,253150405,1481970,97.742,0.572,32.360829,-96.915523,12091,24.182
75169,554517836,36274958,214.101,14.006,32.703269,-95.994666,12937,25.874
75172,30196198,383625,11.659,0.148,32.605177,-96.674317,4814,9.628
75173,78938071,12616802,30.478,4.871,33.061737,-96.395825,4953,9.906
75180,19860888,30326,7.668,0.012,32.716606,-96.620087,23939,47.878
75181,45571162,190796,17.595,0.074,32.723894,-96.555946,25264,50.528
75182,45544277,5963906,17.585,2.303,32.800525,-96.547577,6199,12.398
75189,287546842,2571663,111.022,0.993,32.94205,-96.311669,30842,61.684000000000005
75201,3749699,0,1.448,0.0,32.78776,-96.799426,18032,36.064
75202,1822442,0,0.704,0.0,32.779257,-96.80477,2739,5.478
75203,12250145,63533,4.73,0.025,32.746823,-96.802681,18295,36.59
75204,6624453,0,2.558,0.0,32.802127,-96.788853,32032,64.06400000000001
75205,11269470,6592,4.351,0.003,32.835893,-96.795514,24726,49.452
75206,11013358,42978,4.252,0.017,32.831279,-96.771191,39653,79.306
75207,9961859,106435,3.846,0.041,32.786796,-96.819971,7715,15.43
75208,15386497,13082,5.941,0.005,32.753141,-96.839613,30064,60.128
75209,9155183,22594,3.535,0.009,32.84831,-96.825474,14558,29.116
75210,5867332,369486,2.265,0.143,32.770635,-96.746362,9504,19.008
75211,45746459,2492587,17.663,0.962,32.736827,-96.907506,77920,155.84
75212,26581342,254481,10.263,0.098,32.781246,-96.878831,28017,56.034
75214,18742910,641799,7.237,0.248,32.828494,-96.745968,34658,69.316
75215,21794122,510343,8.415,0.197,32.750602,-96.756846,17184,34.368
75216,37851968,440132,14.615,0.17,32.711324,-96.781215,54253,108.506
75217,70773558,2498909,27.326,0.965,32.710306,-96.678549,86811,173.622
75218,18098364,45658,6.988,0.018,32.841987,-96.702574,22712,45.424
75219,5675673,0,2.191,0.0,32.811817,-96.812898,24038,48.076
75220,29314541,986441,11.318,0.381,32.868529,-96.876118,41110,82.22
75223,8941330,0,3.452,0.0,32.792244,-96.744003,15002,30.004
75224,15129546,28761,5.842,0.011,32.711405,-96.838591,37602,75.20400000000001
75225,12226168,33580,4.721,0.013,32.864887,-96.790359,22108,44.216
75226,2900600,0,1.12,0.0,32.782826,-96.776443,4774,9.548
75227,29517402,34557,11.397,0.013,32.76681,-96.6869,60632,121.264
75228,29544521,43527,11.407,0.017,32.824924,-96.679438,75303,150.606
75229,32456759,76000,12.532,0.029,32.893295,-96.864339,32739,65.478
75230,18763581,104735,7.245,0.04,32.902679,-96.793393,27402,54.804
75231,14599899,69158,5.637,0.027,32.873494,-96.747555,40987,81.974
75232,21415934,9339,8.269,0.004,32.660862,-96.840948,32823,65.646
75233,8970555,7492,3.464,0.003,32.703913,-96.871889,16920,33.84
75234,26833032,714637,10.36,0.276,32.923189,-96.891721,39644,79.288
75235,17405197,515313,6.72,0.199,32.832614,-96.849082,19198,38.396
75236,32345640,1124873,12.489,0.434,32.676435,-96.93681,16920,33.84
75237,17223853,0,6.65,0.0,32.665617,-96.873056,21607,43.214
75238,17033721,0,6.577,0.0,32.878497,-96.707819,33396,66.792
75240,9769191,21713,3.772,0.008,32.930338,-96.787496,26841,53.682
75241,69610778,420773,26.877,0.162,32.665447,-96.759461,30863,61.726
75243,22531947,27362,8.7,0.011,32.912633,-96.736637,68253,136.506
75244,11944929,6490,4.612,0.003,32.925367,-96.836334,13552,27.104
75246,1169818,2154,0.452,0.001,32.792496,-96.772763,2553,5.106
75247,16934995,94796,6.539,0.037,32.813735,-96.883667,772,1.544
75248,19083643,122229,7.368,0.047,32.969699,-96.797334,37602,75.20400000000001
75249,11907017,42249,4.597,0.016,32.636053,-96.964574,18374,36.748
75251,1137918,11257,0.439,0.004,32.919031,-96.772179,3750,7.5
75252,13128554,27521,5.069,0.011,32.997373,-96.788213,27880,55.76
75253,35320924,1942945,13.637,0.75,32.674426,-96.609228,24666,49.332
75254,8601199,686,3.321,0.0,32.944116,-96.80009,26700,53.4
75270,14850,0,0.006,0.0,32.781197,-96.802229,0,0.0
75287,14552377,47788,5.619,0.018,32.999309,-96.841688,55060,110.12
75390,13392,0,0.005,0.0,32.814164,-96.84065,0,0.0
75401,269303571,2574840,103.979,0.994,33.189002,-96.108829,20689,41.378
75402,233885295,3185465,90.304,1.23,33.067866,-96.08797,17463,34.926
75407,127939748,41315838,49.398,15.952,33.155792,-96.48041,18371,36.742
75409,207705612,2606695,80.196,1.006,33.3555,-96.516313,16750,33.5
75410,213023470,30653247,82.249,11.835,32.790203,-95.631982,4332,8.664
75411,203309430,15456152,78.498,5.968,33.857959,-95.64937,740,1.48
75412,393461652,3811903,151.916,1.472,33.801868,-95.151966,659,1.318
75413,3637285,0,1.404,0.0,33.44144,-96.179163,287,0.5740000000000001
75414,126344890,861345,48.782,0.333,33.623644,-96.427868,3394,6.788
75415,27223000,267185,10.511,0.103,33.46221,-95.757468,353,0.706
75416,191687911,1936631,74.011,0.748,33.682608,-95.340845,2946,5.892
75417,423685556,10516184,163.586,4.06,33.439658,-95.140371,2563,5.126
75418,362008863,5203239,139.772,2.009,33.571922,-96.170962,14570,29.14
75420,94792856,1235317,36.6,0.477,33.052795,-95.72123,1135,2.27
75421,141568120,967978,54.66,0.374,33.66136,-95.731245,719,1.438
75422,189184027,1089212,73.044,0.421,33.141516,-95.934235,3084,6.168
75423,210266608,884035,81.184,0.341,33.284688,-96.200217,3423,6.846
75424,173116523,1212248,66.841,0.468,33.321715,-96.378507,2891,5.782
75426,846635793,12340892,326.888,4.765,33.663063,-94.997258,4177,8.354000000000001
75428,222714920,3989058,85.991,1.54,33.274704,-95.917561,11474,22.948
75431,152383392,1316066,58.836,0.508,33.01419,-95.460935,1871,3.742
75432,274196261,19447482,105.868,7.509,33.397601,-95.681769,3196,6.392
75433,269663163,2858137,104.118,1.104,33.098096,-95.803234,3115,6.23
75435,173860116,315869,67.128,0.122,33.482646,-95.320088,1146,2.2920000000000003
75436,428213977,2657398,165.334,1.026,33.712875,-95.240728,2122,4.244
75437,156003602,3220970,60.233,1.244,33.261225,-95.47242,1144,2.2880000000000003
75438,118608043,352017,45.795,0.136,33.615571,-96.072162,973,1.946
75439,36027132,127655,13.91,0.049,33.55352,-96.282897,1186,2.372
75440,297762278,28401500,114.967,10.966,32.881155,-95.747763,7112,14.224
75441,18240504,74675,7.043,0.029,33.427656,-95.642911,192,0.384
75442,273194399,19999427,105.481,7.722,33.174219,-96.356004,9558,19.116
75446,456591625,3344378,176.291,1.291,33.615093,-95.900092,3415,6.83
75447,138661001,2712264,53.537,1.047,33.776751,-96.10937,1201,2.402
75448,73426800,15990883,28.35,6.174,33.316269,-95.788968,784,1.568
75449,210753499,649487,81.372,0.251,33.420872,-95.945707,1247,2.494
75450,154245565,4308668,59.555,1.664,33.40225,-95.483203,197,0.394
75451,90208830,4843950,34.83,1.87,32.965772,-95.127063,1375,2.75
75452,197226480,1771810,76.15,0.684,33.402226,-96.23857,4673,9.346
75453,194102929,17970607,74.944,6.938,32.997657,-95.932679,2661,5.322
75454,49663987,435668,19.175,0.168,33.28561,-96.566004,11848,23.696
75455,764679380,29985006,295.244,11.577,33.216815,-94.975144,27700,55.4
75457,348772775,11176687,134.662,4.315,33.168595,-95.215151,6243,12.486
75459,206202797,808733,79.615,0.312,33.53262,-96.671495,5260,10.52
75460,234728040,13669980,90.629,5.278,33.655496,-95.60519,23926,47.852
75462,517702148,7607153,199.886,2.937,33.624342,-95.491739,11652,23.304
75468,130991040,1559819,50.576,0.602,33.507381,-95.403599,1228,2.456
75469,79753417,596630,30.793,0.23,33.421409,-95.810604,310,0.62
75470,49771386,283374,19.217,0.109,33.577874,-95.810125,147,0.294
75471,124815892,955489,48.192,0.369,33.056806,-95.373518,1808,3.616
75472,164862309,46949319,63.654,18.127,32.884423,-95.869602,4014,8.028
75473,215947447,14333026,83.378,5.534,33.815579,-95.488005,3443,6.886
75474,277958628,61918564,107.32,23.907,32.924005,-96.109433,15912,31.824
75475,5333693,0,2.059,0.0,33.474893,-96.238245,111,0.222
75476,133974884,620500,51.728,0.24,33.708311,-96.240654,1031,2.062
