cluster_id,SUB_LAT,SUB_LON,TOTAL_POP,LOAD_MW
0,26.156443244547322,-98.01414803469657,119666.0,239.332
1,30.571825119375575,-97.38832117152386,20691.0,41.382
2,30.396167899046805,-97.68751964278864,190831.0,381.66200000000003
3,31.412450318943627,-94.37699692280344,1969.0,3.938
4,29.722122293787834,-95.79632814873462,259684.0,519.368
5,28.89054937196262,-97.33911189158879,535.0,1.07
6,33.93712004416213,-102.96105820508167,1653.0,3.306
7,29.616523349968052,-98.40693305278903,103298.0,206.596
8,33.77752407597536,-96.06619432032855,1948.0,3.896
9,32.57399651032678,-96.81659704230172,136732.0,273.464
10,27.760458058562563,-97.41747468870915,95573.0,191.14600000000002
11,30.600945081263063,-97.18940773392153,4307.0,8.614
12,31.57777030134025,-97.238139718021,53199.0,106.398
13,35.61628749446495,-101.54844160516603,5420.0,10.84
14,30.026703263262473,-95.17955782888076,146956.0,293.912
15,28.371399,-99.135335,5510.0,11.02
16,29.974843880905787,-96.67244615767403,3577.0,7.154
17,33.289770496098626,-96.97981510563737,43318.0,86.636
18,33.69978078237858,-96.45943750202366,12848.0,25.696
19,32.445769721378355,-95.26378580091432,20343.0,40.686
20,28.612385,-97.98244890322582,124.0,0.248
21,33.41697094029076,-96.26017702829698,7704.0,15.408
22,30.128715036404394,-97.55739143752523,44610.0,89.22
23,29.343307544680073,-95.0773725501567,32867.0,65.734
24,32.49761564582361,-96.644467206564,12858.0,25.716
25,29.511503057043587,-98.29729994544226,137579.0,275.158
26,32.85719923689052,-94.71504502069916,6522.0,13.044
27,34.04025235269419,-101.93688916270119,2858.0,5.716
28,34.18094453638814,-101.38514243396226,2226.0,4.452
29,29.4745370027335,-98.63614119292328,217304.0,434.608
30,28.57703820805369,-98.37544219463086,447.0,0.894
31,32.34539063691073,-97.96059067602809,4985.0,9.97
32,30.061439846471746,-95.53378113077797,193580.0,387.16
33,31.840038248521104,-106.45231944418742,75225.0,150.45000000000002
34,33.50089508347887,-96.69891690592618,8589.0,17.178
35,30.188292830751223,-95.6905285053133,76036.0,152.072
36,31.624929672840118,-106.2081685942332,121974.0,243.948
37,26.274911510943763,-98.35806175136493,184443.0,368.886
38,28.81559091800275,-98.6294640316079,8732.0,17.464
39,29.667109554607514,-95.92111196808874,11720.0,23.44
40,30.271839674793146,-97.63426819138382,47376.0,94.752
41,31.698892724411284,-96.92847362765212,4289.0,8.578
42,32.083366776992285,-96.53266688962081,31120.0,62.24
43,32.60066143995063,-95.67167629981961,10533.0,21.066
44,34.85684540413852,-100.50938118074325,2368.0,4.736
45,29.527956000000003,-96.305186,4562.0,9.124
46,30.901501661417324,-94.84173856397638,1016.0,2.032
47,32.442953288574145,-97.7540199847021,54648.0,109.296
48,30.2644113106137,-97.74743191529565,225077.0,450.154
49,31.532003679083093,-99.45951648424068,349.0,0.6980000000000001
50,33.39577645724654,-95.14921748083465,4409.0,8.818
51,30.420626901659496,-94.67821626429011,1627.0,3.254
52,28.945877107744106,-96.22868035016835,297.0,0.594
53,26.620529033333334,-98.48167803333332,600.0,1.2
54,32.31366266117216,-95.08182093315018,6552.0,13.104000000000001
55,26.05955759941234,-97.81890647502448,1021.0,2.0420000000000003
56,31.946383458149782,-95.11606863436124,454.0,0.908
57,33.207091041751944,-94.11043096070405,4886.0,9.772
58,31.567485025598682,-96.79977149380677,3633.0,7.266
59,29.773642381398048,-95.52188275492993,211666.0,423.332
60,30.878074866724738,-97.60055252115481,16072.0,32.144
61,32.986490834337744,-96.50094308404041,100059.0,200.118
62,29.906253196428572,-97.409888,3472.0,6.944
63,30.33322323012962,-98.4124801912448,4089.0,8.178
64,29.829981397907897,-95.69840679822562,242340.0,484.68
65,30.144373623827533,-95.47889328055975,92540.0,185.08
66,30.203288251592358,-93.80407644267515,22608.0,45.216
67,32.626364723182185,-96.94782761706342,123211.0,246.422
68,31.630067587574125,-94.72751064917249,22598.0,45.196
69,32.23172451164958,-96.46874111929169,3219.0,6.438
70,29.344217829814625,-97.76224035324407,3884.0,7.768
71,33.16664833430914,-95.20590916583726,6832.0,13.664
72,29.790014938280777,-95.60012245373503,153453.0,306.906
73,29.378642190955564,-95.80516010837593,12715.0,25.43
74,32.873836687379395,-96.70247124287962,309359.0,618.718
75,33.78601269798658,-96.8396572080537,2831.0,5.662
76,32.1785901238274,-97.393585891182,4264.0,8.528
77,25.98250510122931,-97.50704816241557,121694.0,243.388
78,31.512935983283477,-95.43801114006686,5683.0,11.366
79,33.16586298452696,-96.8251157411236,230724.0,461.44800000000004
80,32.26436170989621,-95.77702889312506,9731.0,19.462
81,28.78662616114268,-97.00019025129967,57899.0,115.798
82,30.020516695417793,-94.37923967654987,1855.0,3.71
83,29.180241435046923,-95.6871448757466,9376.0,18.752
84,33.05771006276221,-96.76446914812153,233835.0,467.67
85,29.38573214712322,-98.7279379002873,93629.0,187.258
86,27.723544141779843,-98.1337853167266,28643.0,57.286
87,29.84763251953125,-94.668848375,1536.0,3.072
88,32.67386191626509,-97.16329110602642,176390.0,352.78000000000003
89,26.335598566979193,-97.99210129352846,21865.0,43.730000000000004
90,29.19035787458609,-98.44655007201987,19328.0,38.656
91,32.46089433108695,-97.01041372787034,48374.0,96.748
92,31.901561755404472,-102.33963827842916,99871.0,199.742
93,36.16796263402693,-100.12834954834761,817.0,1.6340000000000001
94,31.745961791524902,-97.08932214362306,9699.0,19.398
95,33.18303465546772,-94.56569349934124,3036.0,6.072
96,31.28479613343799,-93.98741391732078,3822.0,7.644
97,28.585636387673958,-97.81070248442677,1509.0,3.0180000000000002
98,32.6054237490172,-96.51949826501243,27727.0,55.454
99,29.307100730603448,-96.09130204310345,14848.0,29.696
100,29.92885937459178,-95.22456740829656,120339.0,240.678
101,33.16283684313394,-96.9601679555405,82682.0,165.364
102,26.29486725568055,-98.50314069242742,22489.0,44.978
103,33.383939343935985,-96.52668633522526,25371.0,50.742000000000004
104,33.53525460652009,-95.74610305610312,1319.0,2.638
105,34.04939231866953,-98.21774821888413,932.0,1.864
106,30.504487343315212,-97.77525791828685,200029.0,400.058
107,35.176472730927465,-101.88513195218896,109870.0,219.74
108,27.778915,-97.113625,4407.0,8.814
109,33.06231815171573,-96.38387144765721,5741.0,11.482000000000001
110,29.588491182791557,-95.61571756532764,155784.0,311.568
111,29.814459756270896,-95.1243035847697,81049.0,162.098
112,32.94821084181213,-97.25573084916738,159614.0,319.228
113,33.45623451350415,-101.84403600277008,51984.0,103.968
114,30.570364185770753,-95.8121674505929,1518.0,3.036
115,32.184409215311,-96.85012939451936,4598.0,9.196
116,31.82468057293901,-102.49822431901634,59207.0,118.414
117,28.938514556794566,-97.020520583114,28876.0,57.752
118,32.57068863087599,-97.14487051552146,76668.0,153.336
119,29.91546038784271,-95.63475478071585,113907.0,227.814
120,31.307740572025054,-97.06431633959639,1437.0,2.874
121,29.759171061325272,-95.21510839772081,123114.0,246.228
122,33.24582641151141,-97.30630032725708,13934.0,27.868000000000002
123,27.949861133220192,-97.60306415528214,4714.0,9.428
124,32.136789966837306,-96.05252037947919,8986.0,17.972
125,30.177899410973765,-97.91676679907665,47003.0,94.006
126,33.22212757990244,-94.81004504156097,5125.0,10.25
127,32.236582732939524,-95.34678285863713,61282.0,122.56400000000001
128,29.876196952662724,-97.05728299526628,1690.0,3.38
129,29.773894321528214,-95.33472891517934,74911.0,149.822
130,27.89278688572884,-97.18653684557262,23558.0,47.116
131,32.91510119149633,-97.4348623448982,73239.0,146.478
132,31.760814445342177,-106.3254314922987,255087.0,510.17400000000004
133,29.64293918525367,-98.63364017271468,34612.0,69.224
134,29.35922338157895,-96.1985760131579,456.0,0.912
135,30.695393145554025,-97.76955336721029,66161.0,132.322
136,33.492528204719065,-96.4125852758445,5891.0,11.782
137,28.898313257861634,-96.83550029845627,3498.0,6.996
138,31.013846407825284,-97.7889539078979,103255.0,206.51
139,29.49911137583642,-98.51046787543044,168725.0,337.45
140,25.95434639557832,-97.31621203990588,101138.0,202.276
141,32.28134618290586,-95.54717938607641,13373.0,26.746000000000002
142,29.85280808543978,-95.45038235853029,153418.0,306.836
143,29.938633074006415,-95.47194968279024,134110.0,268.22
144,32.29446717236416,-94.16973626412378,2779.0,5.558
145,33.000835256975044,-95.16883807488986,3405.0,6.8100000000000005
146,30.583753908685967,-94.40990092427616,3592.0,7.184
147,29.67467418382914,-97.78162316018306,2622.0,5.244
148,29.683804121270406,-95.66294421707241,245402.0,490.80400000000003
149,30.203296180506396,-97.82589038426401,172077.0,344.154
150,30.31436501229757,-97.70356547915252,83919.0,167.838
151,33.002728901160275,-96.65494208655689,145569.0,291.13800000000003
152,29.937620510602727,-93.90940777607099,69982.0,139.964
153,33.85916866582474,-98.51465431548692,80371.0,160.742
154,30.679497051464764,-96.48539769437846,11367.0,22.734
155,33.4831079566787,-99.62400564981951,1939.0,3.878
156,32.01442166608952,-102.08455576494119,100494.0,200.988
157,26.229265505951858,-97.70345882637133,91736.0,183.472
158,27.831888521446697,-97.58594853523495,32709.0,65.418
159,29.306814823548937,-98.49180599515957,93380.0,186.76
160,29.568459568359533,-98.20852865911993,50132.0,100.264
161,30.804665000000004,-95.550875,36091.0,72.182
162,31.098438302888074,-97.63576229681247,69458.0,138.916
163,29.585985118613543,-95.48682740156546,112171.0,224.342
164,33.31134664361703,-94.31091951702128,4700.0,9.4
165,28.609909077052208,-96.61699489994963,17871.0,35.742
166,30.181922121040724,-96.76287835633484,1768.0,3.536
167,34.437766,-100.280962,7227.0,14.454
168,31.894601565266736,-96.62092217253122,2643.0,5.2860000000000005
169,33.69528096250986,-95.2989254510655,5068.0,10.136000000000001
170,32.8166785410123,-96.60596775728887,188541.0,377.082
171,26.488148897551888,-97.73714545316658,15032.0,30.064
172,30.0808,-99.282359,4860.0,9.72
173,30.285296,-104.005761,2457.0,4.914
174,33.04942175861179,-97.07641276238185,116178.0,232.356
175,32.149838,-101.826743,4304.0,8.608
176,29.780151695704145,-96.1809494897273,13385.0,26.77
177,29.68518816531477,-95.55262163037224,270115.0,540.23
178,33.0351331171514,-95.41797497390596,3679.0,7.3580000000000005
179,31.463657095544228,-94.89585103303038,4511.0,9.022
180,28.44265667942584,-96.55143207655503,3553.0,7.106
181,30.251577781185805,-95.32989185748116,35048.0,70.096
182,32.94975899253537,-96.79302507661063,150175.0,300.35
183,32.79645675474882,-97.31978038548556,117924.0,235.848
184,31.460655,-103.404137,465.0,0.93
185,32.6422277597963,-97.31189786182962,81689.0,163.37800000000001
186,31.917193946249537,-106.41944621936501,86176.0,172.352
187,30.36768608443895,-97.91645675356177,46957.0,93.914
188,33.72533198844884,-95.74122272343234,3030.0,6.0600000000000005
189,31.99766275289575,-96.95906233397683,1036.0,2.072
190,32.93782481779055,-97.09792039795502,85967.0,171.934
191,32.65665067237587,-97.05980804222892,205049.0,410.098
192,32.102911,-101.365434,449.0,0.898
193,32.705014021659956,-96.5945240938012,73869.0,147.738
194,30.26530744942701,-94.54432858794222,2007.0,4.014
195,32.733541762484485,-96.68198312594699,147443.0,294.886
196,29.669974956777025,-95.44406387209432,170141.0,340.282
197,29.515694,-96.121026,3857.0,7.714
198,32.714332399999996,-100.21295106153846,325.0,0.65
199,33.58713936648763,-102.02041595229373,56785.0,113.57000000000001
200,32.336936802803166,-99.92683944091,24615.0,49.230000000000004
201,35.908257,-100.28533800000001,3844.0,7.688
202,29.20180490048014,-98.80655961274553,11455.0,22.91
203,32.13978232799014,-99.79318237114673,1622.0,3.244
204,29.722480933991672,-98.47508411802698,40101.0,80.202
205,32.887589,-100.841389,15708.0,31.416
206,33.66064738777174,-97.17817251745923,29440.0,58.88
207,32.25335096767001,-96.71674659977704,897.0,1.794
208,31.48087368048278,-100.43520079057993,33970.0,67.94
209,31.870559420191,-94.97250634242839,733.0,1.466
210,29.99949398572044,-95.43837546212353,127665.0,255.33
211,29.52666934346722,-95.10340550574107,159465.0,318.93
212,30.936435324840765,-99.06984455414012,314.0,0.628
213,26.547903352380956,-99.11450304761905,525.0,1.05
214,30.642625817869416,-94.14450109507446,1746.0,3.492
215,30.74906347905325,-94.38943406958582,12675.0,25.35
216,29.777369109572668,-94.97972880780623,94540.0,189.08
217,32.78210240094978,-96.80832667314357,140242.0,280.484
218,33.37822447298617,-94.13878788850049,38906.0,77.812
219,29.093278070588234,-95.90402378117646,1700.0,3.4
220,26.167007288422727,-97.88861371827629,46574.0,93.148
221,26.57331,-98.96276,18286.0,36.572
222,33.70151114430739,-101.89532729832987,18322.0,36.644
223,32.26059380506665,-95.19991246071139,27158.0,54.316
224,30.096574900787335,-94.14947690408262,90432.0,180.864
225,32.82502922470771,-97.08873218604538,101701.0,203.40200000000002
226,29.442972003867904,-98.45987869445277,113498.0,226.996
227,34.90590622105263,-102.14414743157894,95.0,0.19
228,33.02950656934163,-96.88439216526541,203031.0,406.062
229,31.004969,-103.759065,1029.0,2.058
230,32.438486275270094,-94.67682098756845,27028.0,54.056000000000004
231,31.43480455405937,-97.19096878253836,22873.0,45.746
232,32.869453417213116,-97.31553805532786,107360.0,214.72
233,32.40240662652717,-99.80088412747433,57541.0,115.08200000000001
234,32.28020344827586,-98.19735175862068,30856.0,61.712
235,30.31951104131809,-95.47805655508841,70405.0,140.81
236,33.67309921600567,-97.37308727939094,2824.0,5.648
237,26.154203122012163,-98.16466175177301,156091.0,312.182
238,32.473616,-100.032549,5230.0,10.46
239,31.875051,-103.933392,0.0,0.0
240,32.689865,-102.724434,16760.0,33.52
241,26.362405082908374,-97.75655382875473,6079.0,12.158
242,32.266413,-99.518894,7801.0,15.602
243,29.554896877686055,-95.23168441242349,159295.0,318.59000000000003
244,29.694797889655757,-98.06953992543622,82587.0,165.174
245,29.627806365780167,-95.28221750517488,91596.0,183.192
246,32.749045839076366,-96.89980476408738,106709.0,213.418
247,29.68790558819198,-95.0574321685733,38025.0,76.05
248,29.29418174533115,-94.80484865400383,43908.0,87.816
249,32.86692098645044,-96.86085899566936,107605.0,215.21
250,33.95353886351384,-98.51835124038226,24486.0,48.972
251,33.96691283952254,-98.96285568355437,3770.0,7.54
252,30.03001284850575,-97.83202906741617,101489.0,202.978
253,29.539777922107962,-98.59094846737173,204899.0,409.798
254,34.840077,-101.5097,12.0,0.024
255,34.019064,-102.419954,1127.0,2.254
256,33.17028123598637,-97.08172998203779,71038.0,142.076
257,31.799217,-102.633009,0.0,0.0
258,32.837557169945114,-96.7724374229477,121145.0,242.29
259,31.58214,-102.977116,913.0,1.826
260,32.335729,-102.697303,18227.0,36.454
261,31.278279,-105.31166,1689.0,3.378
262,33.021097009658156,-96.99509289824364,83867.0,167.734
263,32.82333291640124,-96.96008022166517,152586.0,305.172
264,32.73686189724559,-97.09523058667327,109134.0,218.268
