ZCTA,LAT,LON,POP,LOAD_MW
10567,41.289619,-73.89695,20094,40.188
10570,41.130067,-73.78667,12780,25.560000000000002
10573,41.015742,-73.677303,38749,77.498
10576,41.221577,-73.572332,5036,10.072000000000001
10577,41.038225,-73.710736,6387,12.774000000000001
10578,41.320276,-73.678991,1386,2.7720000000000002
10579,41.395364,-73.839053,8250,16.5
10580,40.979049,-73.693202,17185,34.37
10583,40.988647,-73.788879,41087,82.174
10588,41.334854,-73.823003,3102,6.204
10589,41.327512,-73.700685,8080,16.16
10590,41.256234,-73.53786,7208,14.416
10591,41.090064,-73.840898,23059,46.118
10594,41.113294,-73.774353,5587,11.174
10595,41.085897,-73.782645,8439,16.878
10596,41.255981,-73.959468,1051,2.102
10597,41.293021,-73.596568,699,1.3980000000000001
10598,41.288223,-73.792203,28708,57.416000000000004
10601,41.032947,-73.765058,10256,20.512
10603,41.0544,-73.779287,18862,37.724000000000004
10604,41.071512,-73.747093,11132,22.264
10605,41.010566,-73.745129,19849,39.698
10606,41.020766,-73.775882,16199,32.398
10607,41.039089,-73.811368,7162,14.324
10701,40.945468,-73.880497,61367,122.73400000000001
10703,40.959842,-73.880251,22636,45.272
10704,40.919729,-73.862651,31110,62.22
10705,40.919742,-73.88999,39848,79.696
10706,40.989836,-73.867513,8622,17.244
10707,40.960504,-73.822734,9713,19.426000000000002
10708,40.938267,-73.829922,22212,44.424
10709,40.954635,-73.808184,9369,18.738
10710,40.967157,-73.846339,25104,50.208
10801,40.91757,-73.784858,40445,80.89
10803,40.900458,-73.807138,12492,24.984
10804,40.946859,-73.788035,14365,28.73
10805,40.897721,-73.779258,21331,42.662
10901,41.140772,-74.104976,23860,47.72
10910,41.28157,-74.137957,0,0.0
10911,41.319158,-74.008159,0,0.0
10913,41.068872,-73.956016,5294,10.588000000000001
10914,41.417717,-74.200026,391,0.782
10915,41.545359,-74.359321,79,0.158
10916,41.442343,-74.250577,4582,9.164
10917,41.319679,-74.117639,1650,3.3000000000000003
10918,41.344192,-74.262177,12286,24.572
10919,41.525959,-74.387618,1286,2.572
10920,41.156495,-73.938239,8919,17.838
10921,41.332065,-74.363422,3812,7.6240000000000006
10922,41.33276,-73.996452,1778,3.556
10923,41.203116,-74.002718,7753,15.506
10924,41.381156,-74.352485,13538,27.076
10925,41.200556,-74.315728,3886,7.772
10926,41.301894,-74.119908,3482,6.964
10927,41.191052,-73.967562,12076,24.152
10928,41.34897,-73.998495,4132,8.264
10930,41.366227,-74.121286,9789,19.578
10931,41.149536,-74.162106,1031,2.062
10932,41.48216,-74.464285,47,0.094
10933,41.368021,-74.512999,417,0.834
10940,41.446544,-74.478741,49430,98.86
10941,41.490413,-74.345272,13384,26.768
10950,41.317346,-74.199881,53013,106.026
10952,41.111118,-74.07854,43374,86.748
10953,41.404964,-74.077432,112,0.224
10954,41.098819,-74.013262,25870,51.74
10956,41.157191,-73.993416,30697,61.394
10958,41.371913,-74.432479,3236,6.472
10960,41.092068,-73.924648,15757,31.514
10962,41.050066,-73.958585,5927,11.854000000000001
10963,41.463529,-74.543423,4367,8.734
10964,41.016347,-73.914324,1506,3.012
10965,41.061561,-74.007832,15493,30.986
10968,41.037017,-73.921259,2466,4.932
10969,41.294858,-74.488006,1098,2.196
10970,41.180265,-74.102057,10433,20.866
10973,41.380516,-74.480462,2510,5.0200000000000005
10974,41.168058,-74.178013,3189,6.378
10975,41.267079,-74.172263,91,0.182
10976,41.02296,-73.928488,2300,4.6000000000000005
10977,41.118914,-74.048154,64677,129.354
10979,41.182489,-74.31551,36,0.07200000000000001
10980,41.239234,-74.056261,13923,27.846
10983,41.031088,-73.947703,5597,11.194
10984,41.203123,-74.022156,2661,5.322
10985,41.583519,-74.373188,149,0.298
10986,41.285235,-73.99871,1836,3.672
10987,41.186924,-74.23735,3499,6.998
10988,41.302081,-74.548556,596,1.192
10989,41.122955,-73.938031,8415,16.830000000000002
10990,41.267448,-74.364011,20735,41.47
10992,41.426089,-74.164664,8830,17.66
10993,41.209904,-73.973872,5044,10.088000000000001
10994,41.098072,-73.972649,7115,14.23
10996,41.3937,-73.972175,6342,12.684000000000001
10998,41.324076,-74.541179,3428,6.856
11001,40.723317,-73.704949,26542,53.084
11003,40.699176,-73.706166,44712,89.424
11004,40.746205,-73.711482,15297,30.594
11005,40.756643,-73.71424,2249,4.498
11010,40.700592,-73.675021,25318,50.636
11020,40.771442,-73.714819,6325,12.65
11021,40.784319,-73.731488,18181,36.362
11023,40.798909,-73.733653,9479,18.958000000000002
11024,40.816251,-73.742872,7869,15.738
11030,40.793409,-73.688549,18450,36.9
11040,40.745347,-73.680292,41523,83.046
11042,40.758545,-73.697204,475,0.9500000000000001
11050,40.839895,-73.693123,30699,61.398
11096,40.621346,-73.75699,8155,16.31
11101,40.74756,-73.938942,32537,65.074
11102,40.772884,-73.926295,28359,56.718
11103,40.762576,-73.913457,35419,70.83800000000001
11104,40.744647,-73.920203,25037,50.074
11105,40.778971,-73.90625,37452,74.904
11106,40.762211,-73.931528,37094,74.188
11109,40.745979,-73.957524,6127,12.254
11201,40.6937,-73.989859,64798,129.596
11203,40.64959,-73.934374,77589,155.178
11204,40.618777,-73.984831,75840,151.68
11205,40.694662,-73.966241,47866,95.732
11206,40.701954,-73.942358,87599,175.198
11207,40.670757,-73.894209,90867,181.734
11208,40.66855,-73.870991,102626,205.252
11209,40.621993,-74.030134,68368,136.736
11210,40.628144,-73.946323,62423,124.846
11211,40.712597,-73.953098,104561,209.122
11212,40.662932,-73.913019,74037,148.074
11213,40.671079,-73.936342,67382,134.764
11214,40.599148,-73.99609,90372,180.744
11215,40.662688,-73.98674,69995,139.99
11216,40.680769,-73.949313,59567,119.134
11217,40.682306,-73.978099,42461,84.922
11218,40.643477,-73.976042,73280,146.56
11219,40.632667,-73.996669,87812,175.624
11220,40.641087,-74.016552,90657,181.314
11221,40.69134,-73.927879,85582,171.16400000000002
11222,40.72779,-73.947605,36710,73.42
11223,40.597143,-73.973426,80500,161.0
11224,40.577372,-73.988706,45587,91.174
11225,40.663046,-73.954219,56072,112.144
11226,40.646448,-73.956649,96332,192.66400000000002
11228,40.616698,-74.013066,43878,87.756
11229,40.601293,-73.944493,81909,163.818
11230,40.622164,-73.96511,87188,174.376
11231,40.677916,-74.005154,37796,75.592
11232,40.657364,-74.004736,26501,53.002
11233,40.678302,-73.919936,79796,159.592
11234,40.606436,-73.909725,90372,180.744
11235,40.583949,-73.949096,76921,153.842
11236,40.639413,-73.900664,98821,197.642
11237,40.70416,-73.921139,46772,93.544
11238,40.679169,-73.9638,55102,110.20400000000001
11239,40.647694,-73.879143,12832,25.664
11351,40.780753,-73.825434,0,0.0
11354,40.768213,-73.827392,52351,104.702
11355,40.751463,-73.820996,81358,162.716
11356,40.784923,-73.841548,24178,48.356
11357,40.785129,-73.810037,40118,80.236
11358,40.760473,-73.796372,36665,73.33
11359,40.791605,-73.776724,0,0.0
11360,40.780348,-73.781548,18892,37.784
11361,40.764191,-73.772775,28531,57.062000000000005
11362,40.756632,-73.735333,18694,37.388
11363,40.772348,-73.746292,6834,13.668000000000001
11364,40.745293,-73.760583,35866,71.732
11365,40.739634,-73.79449,43730,87.46000000000001
11366,40.728157,-73.785017,14109,28.218
11367,40.730145,-73.82703,40141,80.282
11368,40.749737,-73.853045,108661,217.322
11369,40.763445,-73.872334,30693,61.386
11370,40.765393,-73.893191,29366,58.732
11371,40.774411,-73.873272,0,0.0
11372,40.751675,-73.883666,63107,126.214
11373,40.738843,-73.878539,96495,192.99
11374,40.726467,-73.861515,43173,86.346
11375,40.720963,-73.84614,72615,145.23
11377,40.74482,-73.905161,82021,164.042
11378,40.724744,-73.909639,39033,78.066
11379,40.716753,-73.879598,37780,75.56
11385,40.700647,-73.889423,105025,210.05
11411,40.694025,-73.736223,20473,40.946
11412,40.698096,-73.75899,37987,75.974
11413,40.67117,-73.752063,41810,83.62
11414,40.657604,-73.844804,27672,55.344
11415,40.707896,-73.828297,18464,36.928
11416,40.684625,-73.849583,26087,52.174
11417,40.676434,-73.844467,31156,62.312000000000005
11418,40.700203,-73.836012,37666,75.33200000000001
11419,40.688638,-73.822942,47955,95.91
11420,40.673563,-73.817829,47266,94.532
11421,40.694062,-73.858626,39654,79.308
11422,40.660065,-73.736012,32786,65.572
11423,40.715608,-73.768493,29532,59.064
11424,40.714317,-73.82724,40,0.08
11425,40.607719,-74.023923,0,0.0
11426,40.736438,-73.722362,20222,40.444
11427,40.730918,-73.745621,25096,50.192
11428,40.721008,-73.742255,19830,39.660000000000004
11429,40.709781,-73.738733,27808,55.616
11430,40.646809,-73.786169,220,0.44
11432,40.715359,-73.793072,64282,128.564
11433,40.698151,-73.786912,36929,73.858
11434,40.677857,-73.777073,62590,125.18
11435,40.701225,-73.809635,59392,118.784
11436,40.675818,-73.796661,18955,37.910000000000004
11451,40.70119,-73.795943,0,0.0
11501,40.746286,-73.638905,19675,39.35
11507,40.770846,-73.652249,7051,14.102
11509,40.587963,-73.728528,1790,3.58
11510,40.650127,-73.607709,33949,67.898
11514,40.749892,-73.612477,4644,9.288
11516,40.625774,-73.726668,7476,14.952
11518,40.637472,-73.666807,9819,19.638
11520,40.649401,-73.582951,43451,86.902
11530,40.726854,-73.637009,27669,55.338
11542,40.872605,-73.628622,27666,55.332
11545,40.826321,-73.589365,12686,25.372
11547,40.83367,-73.642687,625,1.25
